"kMEblack"	"kMEblue"	"kMEgreen"	"kMEgrey"	"kMEturquoise"	"kMEyellow"
"TRINITY_DN4725_c0_g1_i1"	-0.0583011545880665	0.889775146420555	0.207621907340094	-0.357372957587144	0.86980497549355	-0.330074321582712
"TRINITY_DN4773_c0_g1_i1"	0.27603940617393	0.601314544187026	-0.240013046358465	-0.205194284146413	0.964194239487825	-0.113082146463526
"TRINITY_DN4727_c0_g1_i1"	0.363495729581389	0.5415559044229	-0.224964654454732	-0.149243689742423	0.940574207814834	-0.118280128601859
"TRINITY_DN4757_c0_g1_i1"	-0.319341926926802	-0.132766064450212	0.129691149646423	0.698975194592289	-0.0312202431740959	-0.120106509591035
"TRINITY_DN4752_c0_g1_i1"	0.299150050382232	0.604572450826637	-0.208731626702643	-0.177113158817673	0.988648407605572	-0.155043231025718
"TRINITY_DN44_c0_g2_i2"	-0.480089307181269	0.817275153572759	0.656524626790794	-0.462050043724546	0.278448142679358	-0.512823260682296
"TRINITY_DN16_c0_g1_i2"	0.313860142391135	0.58219847887717	-0.236530828091235	-0.1642443508569	0.97723787749187	-0.108148908694023
"TRINITY_DN4_c0_g1_i3"	0.314766955648847	-0.576799859151399	-0.518969547337016	0.0323819413520177	-0.52727231715706	0.824448174996281
"TRINITY_DN32_c0_g1_i6"	0.135664862936003	0.584255074642185	-0.0800714619693633	-0.0452433242525182	0.948759023609683	-0.276356823908219
"TRINITY_DN49_c0_g1_i1"	0.0939861668049429	0.876191685724078	0.0361556782541744	-0.465029637851816	0.903024453683523	-0.228556848345562
"TRINITY_DN58_c0_g1_i1"	0.231525376077968	0.590474595043812	-0.11481854914568	-0.145770328730202	0.959156602873059	-0.233808563436088
"TRINITY_DN37_c0_g1_i1"	0.28263421738557	0.582471779041598	-0.17288133845409	-0.148129417560188	0.952016174136497	-0.196230121796583
"TRINITY_DN11_c0_g1_i9"	0.307944781949305	0.559725143444307	-0.183875019247433	-0.145098252057328	0.941740459485544	-0.161980125817965
"TRINITY_DN11_c0_g1_i11"	0.305347126184028	0.585517068279866	-0.243659941230666	-0.2022656502271	0.978035311736312	-0.122483870070604
"TRINITY_DN85_c0_g1_i1"	-0.679506662724465	0.685506842586931	0.787985344133577	-0.166004203032578	0.366971264923616	-0.810150335472772
"TRINITY_DN85_c0_g2_i1"	0.230675589670563	0.597907694836476	-0.117873764067874	-0.0969885186847503	0.95833042986214	-0.2053233676109
"TRINITY_DN41_c0_g2_i1"	-0.605769410828031	0.201516424437524	0.750652947279885	-0.16782567355852	-0.266939485988079	-0.450916081678989
"TRINITY_DN62_c0_g1_i1"	0.19569938530309	0.588609541116235	-0.144792531850184	-0.0752746655024715	0.97573983177691	-0.207361814580899
"TRINITY_DN88_c0_g1_i4"	0.248652945865028	0.547521497874665	-0.162501638627483	-0.0586502069899737	0.943784423082287	-0.198639361085744
"TRINITY_DN88_c0_g2_i3"	0.388456783769645	0.517692484301298	-0.224064378436473	-0.0773941234780817	0.908333964375303	-0.110689103708419
"TRINITY_DN38_c0_g2_i1"	0.331178958550862	0.58469491871097	-0.233658396125834	-0.196690043429114	0.975526711702389	-0.132467111060755
"TRINITY_DN10_c0_g1_i10"	0.373308797839709	0.549926705374047	-0.254888346085662	-0.124855597268707	0.944279687883449	-0.134055781468784
"TRINITY_DN10_c0_g1_i9"	0.07019379067694	0.748452997412692	0.17378991778799	-0.418935596400647	0.679185777471478	-0.345068127555428
"TRINITY_DN10_c2_g1_i1"	-0.108242882513657	0.900907265867269	0.334590593257602	-0.624940933163876	0.549474683134525	-0.331970427447482
"TRINITY_DN10_c2_g1_i2"	-0.0957842926636483	0.943297995878115	0.217316899022097	-0.512198057851102	0.725901521784841	-0.262090583417628
"TRINITY_DN42_c0_g1_i4"	0.280890511660031	0.595466346161842	-0.23778313399705	-0.159301865574805	0.975056006192726	-0.102925115495566
"TRINITY_DN12_c0_g3_i1"	0.29505545246571	0.601405637318346	-0.174401878577562	-0.11025031254193	0.974758060842079	-0.170740142331965
"TRINITY_DN31_c0_g1_i2"	0.140400229774651	0.486809854513755	-0.197401781546597	-0.183666599940051	0.803708473103809	-0.119347501002308
"TRINITY_DN21_c0_g1_i14"	-0.000462441708593637	0.914090127023521	0.119511102807577	-0.508636744973042	0.835610097446567	-0.249742592707924
"TRINITY_DN21_c0_g1_i2"	0.307306770879652	0.581346516392941	-0.221075398097869	-0.186929378200735	0.979660981239827	-0.156907357969992
"TRINITY_DN21_c0_g1_i7"	0.217549319831743	0.60287630630292	-0.173770107064946	-0.13469669091819	0.970763765326457	-0.142887960802257
"TRINITY_DN21_c0_g1_i3"	0.171106204152164	0.56801618191589	-0.1326582816406	-0.0103062981521046	0.955316073007548	-0.231087186509151
"TRINITY_DN21_c0_g1_i8"	0.185538367421547	0.593554276982615	-0.0929201698488419	-0.0671911583479128	0.945784621298324	-0.217521645593718
"TRINITY_DN29_c0_g1_i11"	0.0238850827097465	0.0886053539891757	0.140064110465731	-0.0851076602042164	-0.0774970532625534	0.103881921735145
"TRINITY_DN29_c0_g1_i8"	0.186434813299459	0.15789539448601	-0.0892441583283118	-0.136701458899491	0.138623929786779	0.051463701511658
"TRINITY_DN29_c0_g1_i1"	-0.0957007284438069	0.840271933578084	0.187439380148366	-0.35987779544332	0.864395988878824	-0.378841938401011
"TRINITY_DN29_c0_g1_i7"	-0.595521055928218	0.475488608922514	0.384795308181532	-0.108540308702039	0.192098729219925	-0.261800105458712
"TRINITY_DN29_c0_g1_i2"	-0.270080471407575	0.587272660317164	0.196301397848058	-0.126404530811735	0.654346535430799	-0.378399297767251
"TRINITY_DN64_c0_g1_i5"	0.27656680164106	0.597981531055907	-0.213716196529742	-0.174795537283221	0.977938815412313	-0.145221914181625
"TRINITY_DN8_c0_g2_i2"	0.321738603685984	0.565948293852783	-0.20643606133189	-0.169726029796766	0.962707834186326	-0.139186127278073
"TRINITY_DN8_c0_g1_i1"	0.024352792153345	0.561735687910128	-0.0615643002042054	0.0192795709616502	0.903429903354617	-0.232869267252553
"TRINITY_DN8_c0_g1_i8"	0.210292352033738	0.607566094681528	-0.110844696981034	-0.0928916845769198	0.965150682088158	-0.204554193241823
"TRINITY_DN8_c0_g1_i3"	0.302249116009315	0.581925310054104	-0.18447410855322	-0.142167018862573	0.971701273599046	-0.157764023604056
"TRINITY_DN8_c0_g1_i5"	0.179389442811303	0.596509010461059	-0.0778101296645403	-0.0880411460560699	0.932295384685528	-0.210278498624345
"TRINITY_DN86_c0_g2_i1"	0.0378274239870721	0.768254992021606	0.03754627260372	-0.204646216700341	0.936290608147624	-0.319510517133693
"TRINITY_DN86_c0_g1_i1"	0.264973440972783	0.572987884498175	-0.230799194761232	-0.233298839197027	0.967543330389823	-0.166859627657202
"TRINITY_DN43_c0_g2_i1"	0.330181899235195	0.586898953953762	-0.230465897099849	-0.158274088320694	0.979001334184224	-0.125043946672528
"TRINITY_DN63_c0_g1_i3"	0.302179944226566	0.590587644536538	-0.242146311313539	-0.199883412931703	0.982066650469382	-0.118486635833809
"TRINITY_DN63_c0_g1_i2"	0.261784207016868	0.601442346074121	-0.209720981053115	-0.189225961511196	0.959236998954006	-0.144371576836869
"TRINITY_DN22_c0_g1_i6"	0.227592127236202	0.596707408368485	-0.224049454122921	-0.168982134843418	0.960337192010289	-0.0972151028951945
"TRINITY_DN74_c0_g1_i1"	0.153866423528192	0.584143253982549	-0.0603269761612793	-0.0839561742844679	0.920582379636082	-0.248391266661504
"TRINITY_DN15_c0_g1_i1"	0.12325142726777	0.786152417642161	-0.0640913499241028	-0.383007715140035	0.930322027380523	-0.189093366571969
"TRINITY_DN72_c0_g1_i5"	-0.206377564668751	0.346754917180465	0.108188493042681	-0.366167866534498	0.273946916041267	-0.0793395863273908
"TRINITY_DN72_c0_g1_i13"	0.00467098842365764	-0.00887032521938477	-0.0471554818269951	-0.213781760936849	-0.167255365712055	0.27721876645977
"TRINITY_DN72_c0_g1_i7"	-0.19043315132888	0.274691452550713	0.0944664081982884	-0.294753948188374	0.184231997623687	-0.0678546931366568
"TRINITY_DN72_c0_g1_i9"	0.0142822148052569	-0.1028084785462	-0.038433259685789	-0.153837956156811	0.0134518827533478	-0.183908765232753
"TRINITY_DN72_c0_g1_i12"	-0.412228017803365	0.644240950311292	0.453046414356642	-0.332842929963	0.537822971884012	-0.541979123651402
"TRINITY_DN72_c0_g1_i8"	-0.785484883018341	0.291191037271616	0.851125028315773	-0.0813156200887148	-0.190990311370729	-0.671870564292837
"TRINITY_DN55_c0_g1_i1"	-0.772732985078255	0.589304800508509	0.845791355240088	-0.194975217795237	0.0823745117175771	-0.632052462643936
"TRINITY_DN51_c0_g2_i1"	0.0491646027056156	0.748379440145853	0.0463693974558782	-0.19679622344489	0.946251369113084	-0.298306348539553
"TRINITY_DN51_c0_g1_i1"	0.00475285035131423	0.747849788163919	0.0555237261436959	-0.180405799459105	0.924748355595202	-0.269358191823719
"TRINITY_DN91_c0_g2_i1"	0.890857259785021	-0.477345861394426	-0.763557480598543	0.0930510648900899	-0.0634086564218579	0.727422730752369
"TRINITY_DN40_c0_g1_i3"	0.258636032456648	0.607047111985473	-0.195617530474841	-0.167294805127378	0.984272263787515	-0.163157345699095
"TRINITY_DN40_c0_g1_i2"	0.277504613717829	0.61045774429084	-0.183219144369332	-0.150784214666474	0.986134325836529	-0.17690759065341
"TRINITY_DN50_c0_g1_i4"	0.184276082141057	0.580280319817764	-0.152281254344487	-0.0784034059435118	0.967588116935357	-0.201087304555496
"TRINITY_DN50_c0_g1_i1"	0.111989045997498	0.76916128142493	0.0803955200849948	-0.293633511275325	0.868670138933494	-0.298376080586488
"TRINITY_DN60_c0_g1_i2"	-0.0306807489155158	0.899803806137726	0.117391838510926	-0.478467633864738	0.833795810993055	-0.248517834994151
"TRINITY_DN81_c0_g1_i7"	-0.350441607593675	0.946215396740467	0.530328928779112	-0.469277034483096	0.613433550250401	-0.533887067009986
"TRINITY_DN81_c0_g1_i19"	-0.344798125020015	0.93713582050225	0.590389702045499	-0.565067519386525	0.432217300315243	-0.473791409217523
"TRINITY_DN81_c0_g1_i13"	-0.538775750292515	0.667176003476754	0.777955669219502	-0.339153340155681	0.0204798346000642	-0.487337903906631
"TRINITY_DN81_c0_g1_i28"	-0.384129802036186	0.959863480460019	0.579237354786169	-0.474372057552609	0.524644400519624	-0.500767029031685
"TRINITY_DN81_c0_g1_i1"	-0.402469811142187	0.901676182199103	0.592672074017482	-0.438098908535711	0.484400792558045	-0.530566053216791
"TRINITY_DN81_c0_g1_i10"	0.102708886970928	0.725726402797233	-0.0924347147636034	-0.423447886628105	0.845458405840779	-0.1425296924784
"TRINITY_DN81_c0_g1_i20"	-0.317303530895171	0.948324456705438	0.412672914549441	-0.575800496385487	0.557398518318812	-0.372727197739541
"TRINITY_DN3882_c0_g1_i1"	0.264571991684845	0.597998702217765	-0.236370019318153	-0.208582556335868	0.972822210775889	-0.116577344025423
"TRINITY_DN3810_c0_g1_i1"	-0.671071938092888	0.46527099964848	0.882926178552165	-0.185190709733177	-0.023683227019349	-0.841149438413082
"TRINITY_DN3814_c0_g1_i1"	0.323676579295328	0.585636922307865	-0.221501186956259	-0.181379230750211	0.977115775509019	-0.141568916599163
"TRINITY_DN3852_c0_g1_i2"	0.263890416173038	0.607281262096485	-0.208317132741988	-0.182878641488626	0.965968798398782	-0.145372750810332
"TRINITY_DN3844_c0_g1_i1"	-0.449802064807487	0.736350052858207	0.654650112613076	-0.271929414134642	0.460626986417247	-0.776225435391377
"TRINITY_DN3873_c0_g1_i1"	0.337635523900975	0.57538875259775	-0.2574720776286	-0.177198949285513	0.968829032424691	-0.0907916963456675
"TRINITY_DN2969_c0_g1_i2"	-0.30007499087872	0.883480109146349	0.529367570339045	-0.600102236849257	0.289518693816972	-0.340637281007862
"TRINITY_DN2969_c0_g1_i3"	-0.271517836941902	0.913631415006091	0.506818224233026	-0.627569964078833	0.397218006516366	-0.425439610570552
"TRINITY_DN2987_c0_g1_i1"	0.483235314649934	-0.256187889603052	-0.580139138810182	0.153084426956962	0.00508055831631337	0.570883094208286
"TRINITY_DN2092_c0_g1_i1"	0.294359681825448	0.577567608506514	-0.145898045651989	-0.0717782761851511	0.942709180154189	-0.181112195692097
"TRINITY_DN2099_c0_g1_i1"	0.301180960133534	0.578705112995797	-0.243672439717301	-0.19694247853418	0.974116336307061	-0.121585129477106
"TRINITY_DN412_c0_g1_i1"	0.0644006796179673	0.339067009940026	-0.130108613205239	-0.383573525455856	0.133516197357865	0.437930977652613
"TRINITY_DN429_c0_g3_i1"	-0.782074035273938	0.497632217676572	0.864323731602099	-0.0213450338817013	0.0158424327291572	-0.706231770128919
"TRINITY_DN438_c0_g1_i1"	0.06454797743532	0.846916799204298	0.121581665575214	-0.450569642950535	0.832236152606623	-0.293174170116254
"TRINITY_DN404_c0_g1_i7"	-0.184638812133306	0.573956977873266	0.222960877823424	-0.106000002869479	0.692730260719549	-0.475380790138415
"TRINITY_DN404_c0_g1_i5"	0.114502761783109	0.74344110406702	0.0296887230151674	-0.247678874421864	0.93547704671579	-0.261520668288594
"TRINITY_DN404_c0_g1_i3"	0.19927705563238	0.602935593724683	-0.181626564431945	-0.178057532182762	0.965308494100285	-0.159369374672733
"TRINITY_DN1188_c0_g1_i1"	-0.0498699976533137	0.821237319745496	0.133846071461029	-0.302487420369012	0.898955695016511	-0.363504898316793
"TRINITY_DN1127_c1_g1_i1"	-0.656237895627326	0.254230254294997	0.781520698175259	-0.20935705839152	-0.237558666513006	-0.473863953856591
"TRINITY_DN1167_c0_g1_i1"	0.211339187161667	0.563020824697567	-0.224810255913105	-0.189936548099524	0.920931035083204	-0.087129096585308
"TRINITY_DN804_c0_g1_i1"	0.312556369003844	0.579831138972254	-0.220737004107363	-0.152159569690199	0.976485587269609	-0.126964891413978
"TRINITY_DN825_c1_g1_i1"	-0.257947927591782	0.933738084967687	0.461541140968971	-0.642085121937173	0.41428645825866	-0.35760637472945
"TRINITY_DN805_c0_g2_i1"	-0.704069718708557	0.269538643489921	0.61523605637258	-0.0712274426399906	-0.34526833439943	-0.220017918596565
"TRINITY_DN836_c0_g1_i2"	0.623004857722084	-0.150394308834483	-0.634019227122517	-0.296778623895257	-0.0191692988014906	0.699084921154917
"TRINITY_DN836_c0_g1_i1"	0.675519784635365	-0.16348515995412	-0.619650970925757	-0.114654798699757	0.0230589772925827	0.76680443223938
"TRINITY_DN868_c0_g1_i1"	-0.179166655115004	0.925207123870503	0.395697652494909	-0.645915159853032	0.466020899858388	-0.335734871220968
"TRINITY_DN5114_c0_g1_i1"	0.249055429500567	0.606323770420295	-0.221533700576959	-0.159199624528526	0.970584825404924	-0.112175988843364
"TRINITY_DN5198_c0_g1_i1"	-0.0445258514341013	0.928247862934233	0.163258260603958	-0.533596642611069	0.785459430309893	-0.244235527147732
"TRINITY_DN5162_c0_g1_i1"	0.928646977336274	-0.14312959765859	-0.789521584903607	-0.105679289447541	0.304277770475091	0.626884763294846
"TRINITY_DN5174_c0_g1_i1"	-0.198865047568464	0.957361661323889	0.415131827655378	-0.654313429682895	0.516503286998432	-0.330046168963703
"TRINITY_DN5195_c0_g1_i1"	0.0818426995165756	0.578812413713496	-0.033335255414855	-0.0800286821632567	0.881579196395551	-0.245339525539676
"TRINITY_DN4288_c0_g1_i1"	0.924330077928255	-0.243292024496729	-0.849093782666512	0.123428567524027	0.261561589949702	0.748617020045128
"TRINITY_DN4200_c0_g1_i1"	0.333751405858585	0.584168342148485	-0.235190232500107	-0.167524534928596	0.978851917833324	-0.118794949455431
"TRINITY_DN4264_c0_g1_i1"	0.858952606629018	-0.337424583516273	-0.844945985457816	-0.0837627620076599	0.198394648130677	0.632661266346966
"TRINITY_DN4233_c0_g1_i1"	0.309816190313659	0.577627071534527	-0.184202273207776	-0.117235037304687	0.962984553686013	-0.160254163105145
"TRINITY_DN4238_c0_g1_i1"	-0.465032717902348	0.834254186124504	0.46641940862185	-0.397752251916155	0.546777819584231	-0.470242362705533
"TRINITY_DN4263_c0_g1_i1"	-0.593663195010666	-0.0227602682648868	0.604513816138396	0.0470661544868299	-0.571249389318448	-0.343519812419084
"TRINITY_DN4279_c0_g1_i1"	0.118323819575823	0.572893443694889	-0.135389880284922	-0.100295625465771	0.931717379166841	-0.21401984759386
"TRINITY_DN4518_c0_g1_i1"	0.00851402739065229	0.802001457287572	0.13381854060641	-0.466652562335244	0.806574058037468	-0.363562943390296
"TRINITY_DN4534_c0_g1_i1"	0.277510841007182	0.596518834806177	-0.246885993909781	-0.189554037248904	0.973596939897265	-0.0946466860363485
"TRINITY_DN4541_c0_g1_i1"	0.263831630675206	0.614013627662227	-0.197216278841585	-0.164148952230587	0.987783580254023	-0.155586937619885
"TRINITY_DN4548_c0_g1_i1"	0.712639797938028	-0.281577608285807	-0.766504833094162	-0.0588270680538501	-0.00927367127707687	0.917874391311272
"TRINITY_DN3614_c0_g1_i1"	0.219455244786301	0.560803545592143	-0.217573462273287	-0.245209816925173	0.941393159691917	-0.173947191759761
"TRINITY_DN3640_c0_g1_i1"	0.285410284864982	0.595837528500693	-0.234479260717531	-0.208989270822502	0.967401945017131	-0.121731473070846
