"kMEblue"	"kMEbrown"	"kMEgreen"	"kMEgrey"	"kMEturquoise"
"TRINITY_DN4725_c0_g1_i1"	0.157869810095056	0.911407534065723	-0.26383831795942	-0.30953395367019	0.849710762714728
"TRINITY_DN4773_c0_g1_i1"	-0.307278500184351	0.639410358452747	0.0572718108167036	-0.141533824804	0.97679675634329
"TRINITY_DN4727_c0_g1_i1"	-0.383601382401965	0.593368399988036	0.160882107046008	-0.154733044395161	0.969776005136037
"TRINITY_DN4757_c0_g1_i1"	0.18414936468598	-0.283151841998592	-0.209643900641558	0.775621083335214	-0.141444685048029
"TRINITY_DN4752_c0_g1_i1"	-0.299689204640481	0.639814537915102	0.0482916817746934	-0.167578793647906	0.987169462135885
"TRINITY_DN44_c0_g2_i2"	0.622680274445441	0.779319100948823	-0.561797314636078	-0.49902597109723	0.229286200316235
"TRINITY_DN16_c0_g1_i2"	-0.362897343893645	0.618040860882887	0.117564354575724	-0.141582337186062	0.984509772945117
"TRINITY_DN4_c0_g1_i3"	-0.498644452630411	-0.64175583651648	0.708294155625428	0.22897728820978	-0.538329142982915
"TRINITY_DN32_c0_g1_i6"	-0.150725626306589	0.613815458061924	-0.126131393152498	-0.0172610595966395	0.940218204323414
"TRINITY_DN49_c0_g1_i1"	-0.0386444203484536	0.906458362523816	-0.0928188092154915	-0.446449958471706	0.887658077290828
"TRINITY_DN58_c0_g1_i1"	-0.221464621745608	0.606237812433133	-0.0148190536774867	-0.178590354038049	0.951583276584754
"TRINITY_DN37_c0_g1_i1"	-0.266321418914477	0.645455440203232	0.0227956081212367	-0.148701220365537	0.973679407374446
"TRINITY_DN11_c0_g1_i9"	-0.29491666451428	0.616209963419067	0.0709550420039713	-0.122533952769473	0.959769881252932
"TRINITY_DN11_c0_g1_i11"	-0.351216105261673	0.615839896016947	0.0879803119733116	-0.174409002957684	0.975606653087217
"TRINITY_DN85_c0_g1_i1"	0.792415947274879	0.608257751399097	-0.879597970077442	-0.148454183082119	0.286122463867238
"TRINITY_DN85_c0_g2_i1"	-0.222976320550592	0.617061204852397	-0.00155970919793913	-0.110276884835571	0.955181029067383
"TRINITY_DN41_c0_g2_i1"	0.797942072817497	0.104331211875889	-0.625515588464431	-0.0749168339381369	-0.384590825180363
"TRINITY_DN62_c0_g1_i1"	-0.230592725028763	0.614848750046307	-0.0337121408405775	-0.0329329646713714	0.97228347133697
"TRINITY_DN88_c0_g1_i4"	-0.279764313440214	0.600714748916191	0.0120937906492789	-0.0592828193428561	0.968457567631718
"TRINITY_DN88_c0_g2_i3"	-0.390412262545503	0.580432296985074	0.189326466840893	-0.15687054489215	0.951922319910969
"TRINITY_DN38_c0_g2_i1"	-0.348561868682392	0.61789884145431	0.0948399228385933	-0.207466563010122	0.975328265185387
"TRINITY_DN10_c0_g1_i10"	-0.36671519638302	0.598439619471173	0.135401942751509	-0.186960071825191	0.958077937567021
"TRINITY_DN10_c0_g1_i9"	0.0894655737690618	0.888325290943475	-0.174285888168965	-0.568143138754163	0.750954970673005
"TRINITY_DN10_c2_g1_i1"	0.235492683654474	0.921870340000523	-0.231021817221628	-0.694545021173938	0.530844981402312
"TRINITY_DN10_c2_g1_i2"	0.171823582867034	0.958718035317371	-0.212572858983565	-0.449175384840607	0.716746245150813
"TRINITY_DN42_c0_g1_i4"	-0.330866810230692	0.623267510754942	0.0913028413339186	-0.0847985628942699	0.970792904345685
"TRINITY_DN12_c0_g3_i1"	-0.278099492602717	0.646320679912936	0.0472924607244318	-0.0985979804067334	0.981773989046988
"TRINITY_DN31_c0_g1_i2"	-0.23883170493868	0.511574779639722	-0.00974438447420909	-0.079991898020238	0.805503778046293
"TRINITY_DN21_c0_g1_i14"	0.0698615854019057	0.946085959418924	-0.165178989439301	-0.468141340170649	0.835267245351156
"TRINITY_DN21_c0_g1_i2"	-0.333987254262223	0.608397680659733	0.069824579778629	-0.146051371634001	0.97939526806494
"TRINITY_DN21_c0_g1_i7"	-0.248268987209438	0.623146770555533	0.019571662006635	-0.082863265454603	0.970995976575556
"TRINITY_DN21_c0_g1_i3"	-0.20563235327211	0.59825004555352	-0.0530415531748607	0.00233325041398023	0.951506998335296
"TRINITY_DN21_c0_g1_i8"	-0.188723783852714	0.609553828282926	-0.0215502735383674	-0.0546253690065767	0.939082662208539
"TRINITY_DN29_c0_g1_i11"	0.10662297626734	0.107698655284025	0.0719864428553993	-0.370131634853862	-0.0540789502431707
"TRINITY_DN29_c0_g1_i8"	-0.106660810355003	0.198942439098541	0.112678256166268	-0.56455788826896	0.179270734892639
"TRINITY_DN29_c0_g1_i1"	0.139784954002815	0.879080074481426	-0.300321158989773	-0.366514565671736	0.865456595180118
"TRINITY_DN29_c0_g1_i7"	0.514234730302034	0.42840419069163	-0.524584997256575	0.165828784390353	0.135044902052294
"TRINITY_DN29_c0_g1_i2"	0.198849799330853	0.597770830733619	-0.388557005647821	0.100083564885482	0.67500519375
"TRINITY_DN64_c0_g1_i5"	-0.309947027506671	0.632896804343105	0.0510231734621527	-0.133481461055176	0.974854445186848
"TRINITY_DN8_c0_g2_i2"	-0.336372664116027	0.606453718893925	0.111049043772087	-0.164317741716328	0.973891160894378
"TRINITY_DN8_c0_g1_i1"	-0.103732460324031	0.574470262875669	-0.128313792387534	0.100856893124408	0.915545303656728
"TRINITY_DN8_c0_g1_i8"	-0.207823721640541	0.62796013036878	-0.0174070747536879	-0.0696796153989663	0.958198948343912
"TRINITY_DN8_c0_g1_i3"	-0.307627835460149	0.624577488185746	0.0742578076125296	-0.153049536421195	0.980827506487352
"TRINITY_DN8_c0_g1_i5"	-0.154127257197022	0.608010151957063	-0.0494005267341223	-0.0812019092210075	0.925504613062107
"TRINITY_DN86_c0_g2_i1"	-0.00833985729318117	0.811678146589136	-0.194503816676847	-0.205681958321595	0.92530200909963
"TRINITY_DN86_c0_g1_i1"	-0.320561525904511	0.591777445214529	0.0302979073014686	-0.145660741520727	0.959172631874148
"TRINITY_DN43_c0_g2_i1"	-0.355214293137098	0.623626238473972	0.112664380263827	-0.147714256595812	0.98611235879534
"TRINITY_DN63_c0_g1_i3"	-0.346942617105397	0.620830090383861	0.0863555184725784	-0.166981461352312	0.979291903637791
"TRINITY_DN63_c0_g1_i2"	-0.267732405984531	0.643861012947286	0.0223745730185649	-0.1515856669992	0.973197837489074
"TRINITY_DN22_c0_g1_i6"	-0.28594835802804	0.636159787381611	0.0463730420141784	-0.0712763483258022	0.976150660478246
"TRINITY_DN74_c0_g1_i1"	-0.156512670335353	0.59143120703993	-0.0735934453151113	-0.0976754676190376	0.906813257648119
"TRINITY_DN15_c0_g1_i1"	-0.113603627644171	0.831734501612752	-0.0755859323771016	-0.316201904784009	0.932729367122917
"TRINITY_DN72_c0_g1_i5"	0.137121375645313	0.341168025879787	-0.23432417699948	-0.210311822176219	0.28105530492124
"TRINITY_DN72_c0_g1_i13"	-0.0537948743186465	-0.0436624874258374	0.179554978226954	-0.253711684523132	-0.197843837406479
"TRINITY_DN72_c0_g1_i7"	0.123160326516065	0.248640478017607	-0.193137989107633	-0.170075860115804	0.171004776386633
"TRINITY_DN72_c0_g1_i12"	0.48998344340201	0.63834116849565	-0.648181471974012	-0.272596021784304	0.524549508175878
"TRINITY_DN72_c0_g1_i8"	0.957145699177849	0.268863143116744	-0.865018366301785	-0.0425524493966063	-0.244971555814151
"TRINITY_DN55_c0_g1_i1"	0.853802792760865	0.522392384847419	-0.776510180541252	-0.114485293418328	0.00826468620504497
"TRINITY_DN51_c0_g2_i1"	-0.0240609032661445	0.77660078631707	-0.170991453605398	-0.192105666921509	0.935452136719519
"TRINITY_DN51_c0_g1_i1"	0.0209715783965919	0.788923015502926	-0.206806815125261	-0.156231496334866	0.917173165929489
"TRINITY_DN91_c0_g2_i1"	-0.827286426748437	-0.491492478723949	0.893822476397408	-0.0678669179364248	-0.0847142486627268
"TRINITY_DN40_c0_g1_i3"	-0.276036049983441	0.643866376125865	0.0197924515931698	-0.131193079625176	0.981308976437109
"TRINITY_DN40_c0_g1_i2"	-0.271307932580442	0.650523738082522	0.0204666783065393	-0.130842478807976	0.984709770328531
"TRINITY_DN50_c0_g1_i4"	-0.24352005302164	0.600766487571517	-0.0294950121135482	-0.0270606437963979	0.961997764962047
"TRINITY_DN60_c0_g1_i2"	0.0768685077118328	0.931592292204521	-0.183046947105349	-0.399223611855395	0.829855788693235
"TRINITY_DN81_c0_g1_i7"	0.490255939773609	0.94369968532646	-0.502571600027689	-0.460184988998742	0.581476344042389
"TRINITY_DN81_c0_g1_i19"	0.537873992212628	0.920028092474802	-0.460423394719478	-0.613320919779805	0.398954152594863
"TRINITY_DN81_c0_g1_i28"	0.532799280385505	0.942813902024267	-0.501034379180961	-0.474816865360813	0.489072211979396
"TRINITY_DN81_c0_g1_i1"	0.542305723969406	0.883213576785131	-0.510564938592694	-0.505192106184267	0.445898182961887
"TRINITY_DN81_c0_g1_i10"	-0.152150039700345	0.792776288072666	-0.0198765699211014	-0.343986936395688	0.876022137716116
"TRINITY_DN81_c0_g1_i20"	0.389933789975789	0.959910819595207	-0.397094537518468	-0.485303783178692	0.552865995185874
"TRINITY_DN3882_c0_g1_i1"	-0.304251262205206	0.637221872148114	0.0481691849944685	-0.154775900812681	0.988154930608073
"TRINITY_DN3810_c0_g1_i1"	0.935087479240194	0.447400006248991	-0.902125654035719	-0.319568674024599	-0.0983801690118752
"TRINITY_DN3814_c0_g1_i1"	-0.343937699645353	0.624455465971375	0.0873731991016192	-0.190310054605856	0.982698146676372
"TRINITY_DN3852_c0_g1_i2"	-0.266787167508776	0.649886872411784	0.0215305512208101	-0.137105840966692	0.979675178946067
"TRINITY_DN3844_c0_g1_i1"	0.677734904043274	0.787902292339425	-0.763414749069731	-0.352347007705372	0.448851648876323
"TRINITY_DN3873_c0_g1_i1"	-0.383668918118847	0.604083667921096	0.144397408961205	-0.155689715553991	0.969999743827288
