"kMEblack"	"kMEbrown"	"kMEgreen"	"kMEgrey"	"kMEpink"	"kMEyellow"
"TRINITY_DN4725_c0_g1_i1"	-0.249254754707347	0.854002843852365	0.775770935369716	-0.191130547234938	-0.546875258741187	0.233369860290601
"TRINITY_DN4773_c0_g1_i1"	0.326671068081683	0.95284579720695	0.393096919061541	-0.412669638269464	-0.144142548406082	-0.36934036991869
"TRINITY_DN4751_c0_g1_i1"	-0.398681899434917	0.235644503771727	0.1205508189616	-0.222704469549605	-0.214390534494348	0.199739999886034
"TRINITY_DN4727_c0_g1_i1"	0.405621004216072	0.907189337303306	0.302408742913716	-0.137079793633383	-0.153647253943421	-0.352695957752996
"TRINITY_DN4796_c0_g1_i1"	0.310015627775301	0.96401849774359	0.391688482688867	-0.235473607238785	-0.214408909831242	-0.2850836165574
"TRINITY_DN4757_c0_g1_i1"	-0.0459696749381928	0.115193128418792	-0.112053719153824	-0.316287095791884	-0.0389736481360863	0.00676488189736891
"TRINITY_DN4752_c0_g1_i1"	0.336692637103706	0.979093592325237	0.389513752781867	-0.217340902768284	-0.210556904893608	-0.329045552965512
"TRINITY_DN44_c0_g2_i2"	-0.473876832173201	0.36120173687282	0.905923898878243	0.167830366249896	-0.563437809558573	0.560351762506786
"TRINITY_DN16_c0_g1_i2"	0.369327964336876	0.952685741124207	0.338677008633037	-0.190903855212956	-0.0967641685769861	-0.385453894419348
"TRINITY_DN4_c0_g1_i3"	0.321127405027615	-0.596139787688055	-0.637628692006841	-0.113859047938761	0.840608064722706	-0.38681342531701
"TRINITY_DN4_c0_g1_i7"	0.329139223326844	0.975298663958718	0.362116436339652	-0.261610490893506	-0.117322624378238	-0.364940982299298
"TRINITY_DN14_c0_g1_i3"	0.332065386708448	0.944687879002935	0.387238855848074	-0.390829068201956	-0.14381128329898	-0.372757069224588
"TRINITY_DN32_c0_g1_i6"	0.300449478828	0.961289076622443	0.402505422979016	-0.191710438015974	-0.258743409839421	-0.267700733552184
"TRINITY_DN49_c0_g1_i1"	0.012674667764227	0.900547115655481	0.745375216508354	-0.110865368281197	-0.334085075841868	-0.0327693174172327
"TRINITY_DN7_c0_g1_i1"	0.355717545970529	0.934664768043734	0.375647186476591	-0.252519177601503	-0.184714299267072	-0.338136667127749
"TRINITY_DN77_c0_g1_i1"	-0.371080177316133	0.630392897406591	0.932024311209151	0.0945185302559358	-0.522217095387397	0.347260982165468
"TRINITY_DN58_c0_g1_i1"	0.243536426428642	0.930425975213457	0.338964425118423	-0.216500480072108	-0.27166092000871	-0.249912288459443
"TRINITY_DN37_c0_g1_i1"	0.319623860463825	0.918772944070887	0.365711169053289	-0.296042736123717	-0.285133455140535	-0.261656006032602
"TRINITY_DN11_c0_g1_i9"	0.309288207591186	0.919494941766524	0.36562279165429	-0.28425581784158	-0.286069456468675	-0.253881130534557
"TRINITY_DN11_c0_g1_i11"	0.360943246577585	0.957625198482992	0.357677611688654	-0.236963599656503	-0.134673388586426	-0.392382839447184
"TRINITY_DN85_c0_g1_i1"	-0.678366957364274	0.435203201709729	0.775960697530052	0.0197988891306536	-0.783902476071402	0.673771173463403
"TRINITY_DN85_c0_g2_i1"	0.224467144095729	0.920548701135085	0.350092672227172	-0.0998714259228397	-0.276061188676084	-0.218811067486181
"TRINITY_DN41_c0_g2_i1"	-0.688432945083968	-0.275651486601288	0.385923973848403	0.224248334790163	-0.342744980497242	0.778147426186038
"TRINITY_DN62_c0_g1_i1"	0.34376551989055	0.970697737053419	0.365810630887017	-0.202391690741495	-0.161347150190934	-0.337145169707847
"TRINITY_DN88_c0_g1_i4"	0.439522971903374	0.908181040158696	0.275828565095125	-0.144633313439998	-0.122617075964232	-0.400264020270997
"TRINITY_DN88_c0_g2_i1"	0.268851362798464	0.971826026051666	0.417020081977707	-0.434524439911345	-0.200134229525594	-0.32700655120487
"TRINITY_DN88_c0_g2_i3"	0.438912528583862	0.862216890845253	0.263346730218506	-0.00758417711417343	-0.147812644877386	-0.365832257597353
"TRINITY_DN38_c0_g2_i1"	0.386562178365427	0.946002919925081	0.346671942613976	-0.133576325151301	-0.150128135390202	-0.376810961222422
"TRINITY_DN38_c0_g1_i1"	0.285767814800673	0.974651224833556	0.419205971637415	-0.419564460019631	-0.206336894467529	-0.321808832737519
"TRINITY_DN10_c0_g1_i10"	0.472192649837562	0.897924380924928	0.273268286481956	-0.093033411323439	-0.146811722644779	-0.429224732175677
"TRINITY_DN10_c0_g1_i9"	-0.0119761416053386	0.582113371400147	0.601412628489063	0.0836981728749259	-0.564517328844438	0.178894884153453
"TRINITY_DN10_c2_g1_i1"	-0.271244191032658	0.514303794818853	0.845076377230442	0.217780311657315	-0.523693761136895	0.343132920388297
"TRINITY_DN10_c2_g1_i2"	-0.233122505739148	0.751843172117354	0.863145882360334	-0.200635877154897	-0.422008090605863	0.198469851680603
"TRINITY_DN13_c0_g1_i1"	0.294873324562809	0.977920751141807	0.41568401953111	-0.289927039649811	-0.247443773923322	-0.28052777675833
