"kMEblack"	"kMEblue"	"kMEgreen"	"kMEgrey"	"kMEpink"
"TRINITY_DN4725_c0_g1_i1"	-0.202332720762776	0.89433852966	0.415592283405316	-0.07881086969969	-0.538362909051382
"TRINITY_DN4773_c0_g1_i1"	0.322642222010484	0.960831910793129	-0.11090017115435	-0.105769326237846	-0.179439273623593
"TRINITY_DN4751_c0_g1_i1"	-0.414671192321462	0.213383015416286	0.248595530676314	0.0528681394402358	-0.225107230739506
"TRINITY_DN4727_c0_g1_i1"	0.389964103042658	0.911755265777141	-0.133267309941586	0.0566054064762291	-0.209378006720369
"TRINITY_DN4796_c0_g1_i1"	0.312423266831539	0.964860479293448	-0.0742698204864638	-0.00164834487485133	-0.244884069436496
"TRINITY_DN4757_c0_g1_i1"	-0.0475867673861062	0.109370519035651	0.0124446020906469	-0.0871628247390639	-0.0320805720232048
"TRINITY_DN4752_c0_g1_i1"	0.332510878887505	0.979486894364585	-0.0921955975232499	-0.0285928469137734	-0.238663675708261
"TRINITY_DN44_c0_g2_i2"	-0.537256335352216	0.303146480353822	0.745524960366722	0.0768574914822464	-0.56726283626583
"TRINITY_DN16_c0_g1_i2"	0.350661609061924	0.958142430100471	-0.150608677481695	0.122549507095503	-0.14263318412802
"TRINITY_DN4_c0_g1_i3"	0.316033214969752	-0.593692489304983	-0.522856684693006	-0.17852298399305	0.84644015590881
"TRINITY_DN4_c0_g1_i7"	0.31710823159457	0.976179874585828	-0.133598267180561	0.022936601660672	-0.149763523503849
"TRINITY_DN14_c0_g1_i3"	0.32836278837978	0.951096863774225	-0.114922566063585	-0.0942347212990575	-0.180104475500925
"TRINITY_DN32_c0_g1_i6"	0.305673911434706	0.961284256847157	-0.0589798547747662	0.025051262436382	-0.277714725832334
"TRINITY_DN49_c0_g1_i1"	0.023393380729155	0.924416995585864	0.226594689603069	0.0441461776897922	-0.366554524672742
"TRINITY_DN7_c0_g1_i1"	0.351882754817778	0.944907334888148	-0.104137360529817	0.0217708696820578	-0.21870050240671
"TRINITY_DN77_c0_g1_i1"	-0.449781385930679	0.570446406409615	0.631639707880379	0.130779000791107	-0.545584797999218
"TRINITY_DN58_c0_g1_i1"	0.253971396464659	0.948555835912041	-0.039478597207402	-0.0324291204893169	-0.292888070172972
"TRINITY_DN37_c0_g1_i1"	0.326382715298931	0.926106133761983	-0.0655693973289254	-0.170892747846574	-0.303043934713871
"TRINITY_DN11_c0_g1_i9"	0.315433622520165	0.932401258431741	-0.0639292889550262	-0.124691514423452	-0.304507742701707
"TRINITY_DN11_c0_g1_i11"	0.342045718358243	0.96483488909542	-0.142770917959477	0.0582151478856755	-0.171796904914811
"TRINITY_DN85_c0_g1_i1"	-0.709670622944008	0.411777455429772	0.828195072126813	-0.0596362979957543	-0.784862137196683
"TRINITY_DN85_c0_g2_i1"	0.241495565504336	0.932183696397478	-0.0139857614731119	0.0579988355816486	-0.300907736786793
"TRINITY_DN41_c0_g2_i1"	-0.687137517064623	-0.260426440165854	0.690307556528476	-0.086458327060015	-0.331426162262594
"TRINITY_DN62_c0_g1_i1"	0.337141665553929	0.974372962621516	-0.111168935829744	0.0230551535133115	-0.199722284456388
"TRINITY_DN88_c0_g1_i4"	0.408865856754564	0.920954154623431	-0.16729416925884	0.142824619917876	-0.183323270272125
"TRINITY_DN88_c0_g2_i1"	0.264879660955178	0.972625968204895	-0.0822921539317481	-0.128921392299426	-0.223091172346434
"TRINITY_DN88_c0_g2_i3"	0.419229548505298	0.860116686871407	-0.148943367114429	0.20921876451372	-0.201497639239767
"TRINITY_DN38_c0_g2_i1"	0.37596480191444	0.952646206261455	-0.133623588689923	0.0756858518625284	-0.192622193352527
"TRINITY_DN38_c0_g1_i1"	0.286766854169085	0.977769117765106	-0.0767878478639206	-0.147575413856446	-0.230693118331323
"TRINITY_DN10_c0_g1_i10"	0.453071470086469	0.904179187957231	-0.186892067242951	0.126771767558502	-0.194592883306255
"TRINITY_DN10_c0_g1_i9"	-0.0105191062591147	0.603305833629438	0.331332357398733	-0.171723366862777	-0.581252755509452
"TRINITY_DN10_c2_g1_i1"	-0.353017091942417	0.480116147293474	0.609360986375437	0.10444346380569	-0.567782696000225
"TRINITY_DN10_c2_g1_i2"	-0.264741834105369	0.753223734033296	0.47547350886174	-0.063571191464138	-0.461430523099366
"TRINITY_DN13_c0_g1_i1"	0.296064394483696	0.980856311526376	-0.0614161822254277	-0.0387482098597447	-0.263518240647672
"TRINITY_DN42_c0_g1_i4"	0.316626878180029	0.963578543906701	-0.133971982828669	0.0116347334599766	-0.140163285874096
"TRINITY_DN42_c0_g2_i3"	0.269089412523277	0.973760114513545	-0.0809716993547999	-0.133810382584053	-0.226006724707347
"TRINITY_DN12_c0_g3_i1"	0.321245247194868	0.957986811550582	-0.0654692978632268	-0.00115668163895841	-0.256065464088229
"TRINITY_DN31_c0_g1_i2"	0.15295678524469	0.809538421264372	-0.0904879332321367	-0.0312042165235443	-0.171153821019411
"TRINITY_DN21_c0_g1_i5"	0.272561782208077	0.953351359764259	-0.0775129353305724	-0.12818972076978	-0.241941607739506
"TRINITY_DN21_c0_g1_i14"	-0.114514291976381	0.860228753755306	0.342555669846146	-0.0437228701075176	-0.41841166252444
"TRINITY_DN21_c0_g1_i2"	0.372223300943142	0.964801425105908	-0.141367582910314	0.0748563632371659	-0.168432662862842
