"kMEblack"	"kMEblue"	"kMEgreen"	"kMEgrey"	"kMEmagenta"
"TRINITY_DN4725_c0_g1_i1"	-0.544309816307782	0.885889687869377	-0.232933929756112	-0.202903374943454	0.216426025211057
"TRINITY_DN4773_c0_g1_i1"	-0.157320324651986	0.952242721240087	0.324685481446346	-0.411522054421186	-0.359610009823747
"TRINITY_DN4751_c0_g1_i1"	-0.219010849195909	0.228858862488037	-0.404793053501469	-0.224517920247374	0.201581245028542
"TRINITY_DN4727_c0_g1_i1"	-0.174861155994425	0.9017571315502	0.399299518266068	-0.14012995119076	-0.348253684128688
"TRINITY_DN4796_c0_g1_i1"	-0.225739062246247	0.960006034139873	0.310970130857603	-0.242528774160193	-0.290719355420913
"TRINITY_DN4757_c0_g1_i1"	-0.0365721548433544	0.105584456997345	-0.0462697895534881	-0.316211383337673	0.00334831741021763
"TRINITY_DN4752_c0_g1_i1"	-0.220826267491917	0.974716498193535	0.334845301304211	-0.235293721475444	-0.327407256514221
"TRINITY_DN44_c0_g2_i2"	-0.566935606778751	0.378077223437749	-0.496615621807703	0.183423317216878	0.58284193878943
"TRINITY_DN16_c0_g1_i2"	-0.114743686866945	0.948169611180698	0.362053871522075	-0.205920372563066	-0.38352350242434
"TRINITY_DN4_c0_g1_i3"	0.843404327329554	-0.612927859059078	0.319673587015028	-0.112091512912388	-0.38418680008464
"TRINITY_DN4_c0_g1_i7"	-0.12972521393939	0.969784279350521	0.324645246854186	-0.280270762356283	-0.36500738168753
"TRINITY_DN14_c0_g1_i3"	-0.157469527917659	0.943438667490288	0.330295750307208	-0.387888232233405	-0.362457478092649
"TRINITY_DN32_c0_g1_i6"	-0.265494041020315	0.957584306659453	0.302220880804721	-0.19856532969913	-0.273926047460967
"TRINITY_DN49_c0_g1_i1"	-0.34717432570499	0.922896815219997	0.0147036727754055	-0.125945079443193	-0.0275181531404138
"TRINITY_DN7_c0_g1_i1"	-0.197315745237452	0.934292654445518	0.354198654798322	-0.26013218416506	-0.337039691895505
"TRINITY_DN77_c0_g1_i1"	-0.531815143370632	0.642262323944015	-0.398839812052211	0.0932737783262381	0.381031033383061
"TRINITY_DN58_c0_g1_i1"	-0.280155112343135	0.932097601555194	0.246737625332503	-0.228987719216006	-0.252650365297398
"TRINITY_DN37_c0_g1_i1"	-0.291554484622196	0.917937547310844	0.322180918879564	-0.296676405542665	-0.264903835189255
"TRINITY_DN11_c0_g1_i9"	-0.292648527911917	0.920375697280908	0.311553936763851	-0.286945788024056	-0.259945940260636
"TRINITY_DN11_c0_g1_i11"	-0.148890025760301	0.954938396076175	0.353711620198892	-0.25652196446191	-0.387101110119451
"TRINITY_DN85_c0_g1_i1"	-0.784931569004537	0.458065635848037	-0.68829583690566	0.0265165124166262	0.684891948655822
"TRINITY_DN85_c0_g2_i1"	-0.286164748658194	0.92030048138455	0.229860027468529	-0.11560253743971	-0.223447055833845
"TRINITY_DN41_c0_g2_i1"	-0.338610092380671	-0.244894282523985	-0.687860268131618	0.224515377410604	0.766412260117711
"TRINITY_DN62_c0_g1_i1"	-0.175921576900854	0.966332117833076	0.34122337273157	-0.220473054529199	-0.338469799875286
"TRINITY_DN88_c0_g1_i4"	-0.145498947698708	0.904427477157483	0.427602931324112	-0.151849289929697	-0.394458537925106
"TRINITY_DN88_c0_g2_i1"	-0.208405857373261	0.96901268102227	0.267482565432097	-0.438965833912273	-0.322209247715109
"TRINITY_DN88_c0_g2_i3"	-0.167472536887354	0.853612034121059	0.431195505648109	-0.0122850727633425	-0.360397442031782
"TRINITY_DN38_c0_g2_i1"	-0.166096735752331	0.942772224790774	0.382195386222766	-0.148058334178774	-0.371703182426599
"TRINITY_DN38_c0_g1_i1"	-0.21515206557272	0.972538749181459	0.286120528827358	-0.422376291045887	-0.316917493351888
"TRINITY_DN10_c0_g1_i10"	-0.165196683843344	0.89248582205733	0.464784185481634	-0.103747131525907	-0.419933057104333
"TRINITY_DN10_c0_g1_i9"	-0.571440237428939	0.603977387672652	-0.012694082836028	0.0798379590433944	0.185587120699334
"TRINITY_DN10_c2_g1_i1"	-0.541057266065701	0.533631365361767	-0.298730255060793	0.227151813399631	0.380871175121472
"TRINITY_DN10_c2_g1_i2"	-0.43638406086205	0.777057622071172	-0.243732314899292	-0.195348818412672	0.219231416899677
"TRINITY_DN13_c0_g1_i1"	-0.253125392118989	0.975483411147	0.295325178643249	-0.302691561917749	-0.285513825846467
"TRINITY_DN42_c0_g1_i4"	-0.118714435759472	0.955710450319998	0.325078252597389	-0.372789728261358	-0.370122960987304
"TRINITY_DN42_c0_g2_i3"	-0.210967771537241	0.969894087229881	0.271129679814838	-0.43617991679059	-0.321160168213809
"TRINITY_DN12_c0_g3_i1"	-0.236683160079053	0.953411219800379	0.317987389861696	-0.220331744512413	-0.278963262137949
"TRINITY_DN31_c0_g1_i2"	-0.156937876147209	0.804209828508963	0.152288745236692	-0.416013044849696	-0.294453901571967
"TRINITY_DN21_c0_g1_i5"	-0.225420016954833	0.954749425001423	0.274881950774791	-0.391907195481226	-0.31525016262657
"TRINITY_DN21_c0_g1_i14"	-0.393681807818213	0.865128352472713	-0.112678989085509	-0.17108434244968	0.0846455190810827
"TRINITY_DN21_c0_g1_i2"	-0.136006012352846	0.953872471885104	0.381990630248628	-0.171454831154404	-0.38045577593793
"TRINITY_DN21_c0_g1_i7"	-0.187776823974	0.943181723469241	0.234409397442043	-0.284824543075696	-0.298881676647888
"TRINITY_DN21_c0_g1_i3"	-0.185196318887143	0.9425273039554	0.374510248555695	-0.200984230142305	-0.363448400901649
"TRINITY_DN21_c0_g1_i8"	-0.313383763854888	0.904671418710138	0.18203394893721	-0.242839806009666	-0.185659313611344
"TRINITY_DN29_c0_g1_i11"	-0.221905642696997	-0.280607848664857	-0.244372587818096	0.00534343828441255	0.404174506168082
"TRINITY_DN29_c0_g1_i8"	-0.0937956424553536	0.129177487666162	0.161571220696949	-0.147315827441398	-0.144312076264155
"TRINITY_DN29_c0_g1_i1"	-0.489368652057664	0.882403460125317	-0.160611634465847	-0.298038098698715	0.108860924540964
"TRINITY_DN29_c0_g1_i7"	-0.42295747970812	0.398998493222378	-0.599804478622286	-0.00357079204633805	0.423770636186231
"TRINITY_DN29_c0_g1_i2"	-0.259526783087254	0.627653865648063	-0.122736605488113	-0.406759910765444	0.0396127856965956
"TRINITY_DN64_c0_g1_i3"	-0.148089242733284	0.96243959489762	0.287628736280161	-0.462106347185098	-0.330304434408596
"TRINITY_DN64_c0_g1_i5"	-0.195536644730512	0.961409755376934	0.309345737886712	-0.30262757761001	-0.336361026131958
"TRINITY_DN8_c0_g2_i2"	-0.159450793244439	0.935339333937211	0.364112545285347	-0.319424817908347	-0.34894082189295
"TRINITY_DN8_c0_g1_i1"	-0.218564964474093	0.89050328097487	0.184436399497634	-0.411264385733567	-0.260801695519749
"TRINITY_DN8_c0_g1_i8"	-0.261450578903001	0.940150548029315	0.198261700114174	-0.293564972054363	-0.222190334958162
"TRINITY_DN8_c0_g1_i3"	-0.17894761291963	0.945253156727607	0.338112365002948	-0.231658415773745	-0.32198629456031
"TRINITY_DN8_c0_g1_i5"	-0.276867016411681	0.914420241604812	0.159239358570982	-0.297811123360372	-0.182584510233169
"TRINITY_DN86_c0_g2_i1"	-0.36205829076523	0.958701727422411	0.143055528311821	-0.166172710079679	-0.141597680254322
