"kMEblack"	"kMEblue"	"kMEbrown"	"kMEgrey"	"kMEred"	"kMEyellow"
"TRINITY_DN4725_c0_g1_i1"	-0.54339730485916	0.840843770092147	0.890828249112066	-0.206450571754717	-0.227856183154335	0.212004196997334
"TRINITY_DN4773_c0_g1_i1"	-0.161197598881987	0.959242946350295	0.630149403047944	-0.411180185727203	0.324197539712037	-0.360105538539204
"TRINITY_DN4751_c0_g1_i1"	-0.220227696048637	0.229877193983121	0.149367594510201	-0.224940978211907	-0.406544147284975	0.207215129428945
"TRINITY_DN4727_c0_g1_i1"	-0.181014334795637	0.924742154462119	0.516886658470978	-0.141254679601829	0.397530732954032	-0.34314682859566
"TRINITY_DN4796_c0_g1_i1"	-0.229085503996852	0.971759842717114	0.612265096092328	-0.244627805754707	0.311235012949799	-0.288320576567876
"TRINITY_DN4757_c0_g1_i1"	-0.035826855902112	0.13478013039687	-0.0748365622353883	-0.316180479010463	-0.0464108921211623	0.00525142787595725
"TRINITY_DN4752_c0_g1_i1"	-0.223891918297354	0.985509309615798	0.624389891809409	-0.240402289917975	0.334351300936076	-0.324795468035025
"TRINITY_DN44_c0_g2_i2"	-0.56755461588013	0.263669645081539	0.841965767554468	0.188055146348563	-0.503467954721576	0.588626396408694
"TRINITY_DN16_c0_g1_i2"	-0.119841308499762	0.966334845688699	0.572424501078295	-0.21042162488485	0.359972621676381	-0.379266693972468
"TRINITY_DN4_c0_g1_i3"	0.844113129208343	-0.572501366763896	-0.655662552813521	-0.111626193949871	0.319158548251028	-0.388928306003197
"TRINITY_DN4_c0_g1_i7"	-0.133315166817558	0.982689345244244	0.608727272025448	-0.285558089952883	0.323312671978165	-0.362508693722018
"TRINITY_DN14_c0_g1_i3"	-0.161471393399162	0.950736613309653	0.621507445617732	-0.387018547978401	0.329855066698167	-0.363536888959966
"TRINITY_DN32_c0_g1_i6"	-0.267554977271575	0.968094241937325	0.616256764321846	-0.200594034861843	0.302774401746722	-0.27068756690124
"TRINITY_DN49_c0_g1_i1"	-0.350811887771776	0.879137139652481	0.892573682698311	-0.130266623784023	0.0157088996369607	-0.0310715826306129
"TRINITY_DN7_c0_g1_i1"	-0.201055081200085	0.948298006947245	0.589114260395476	-0.26238271039785	0.353762999426276	-0.33495098860111
"TRINITY_DN77_c0_g1_i1"	-0.534480275472899	0.538906440239249	0.963067644806128	0.0935993375700695	-0.40736624603929	0.386879983347824
"TRINITY_DN58_c0_g1_i1"	-0.282510434535435	0.953613262122387	0.556281551177822	-0.232830999617524	0.247823928623763	-0.253209211516915
"TRINITY_DN37_c0_g1_i1"	-0.293505915675086	0.931289736858509	0.5767343606954	-0.296765989351905	0.322920426441202	-0.264918951109698
"TRINITY_DN11_c0_g1_i9"	-0.294651730608203	0.935320383046651	0.574886211535972	-0.287779174350487	0.312222479626271	-0.258689210940278
"TRINITY_DN11_c0_g1_i11"	-0.152993004069169	0.969830474790296	0.593917205762597	-0.262183490399881	0.351613306899393	-0.384375090451782
"TRINITY_DN85_c0_g1_i1"	-0.785128937615279	0.384493919991594	0.716782188346178	0.0287744955281367	-0.691581801326104	0.687018428619498
"TRINITY_DN85_c0_g2_i1"	-0.288940118539848	0.939847793351534	0.555907342985307	-0.120338729521125	0.231655687955308	-0.221881905353278
"TRINITY_DN41_c0_g2_i1"	-0.337373257876706	-0.309968462830833	0.200116660601367	0.224623082381677	-0.687705937870983	0.772332475849728
