Accession_ID,pvalue
Q5TJF5,0.437216439628053
O42161,0.293161427574819
Q29RY4,0.88694593684693
Q5ZLN8,0.223097926065753
P35505,0.784185605765027
Q9C9L0,0.0732553119816882
O62742,NA
Q9Y259,0.70701479730108
Q84WJ9,NA
O65039,NA
P48553,0.486131386043693
Q9Z273,0.263901956025211
Q5JG47,0.138293865166369
Q14833,NA
Q8T6B9,0.592512032357664
Q7RTR2,NA
Q7ZYC4,0.173182406706448
P14091,NA
P57071,0.598556180709492
Q09353,0.271205029209189
Q6C2Y6,0.276590885063067
Q640T2,0.160438063217143
O18640,0.897756973988485
P87061,0.70701479730108
B1H2N3,0.164555588731627
P13496,0.72511488939737
Q9JL18,0.168902935129459
Q9VXD9,0.0638062210887863
Q6P7G6,0.891788502818045
Q90ZA1,0.348894072598865
Q9VGY5,0.666049520946003
O75832,NA
Q9NPG3,0.445469194493193
P20241,0.572149929121657
P50430,NA
P50430,NA
Q03720,0.136485491848623
Q03720,0.136485491848623
Q54Z69,0.854782164705631
Q3JAJ9,0.226562168829748
Q0D5B9,NA
Q5ZLC8,NA
Q9XG77,NA
P62866,0.0111657416538647
Q9X248,0.881733238159686
Q06732,NA
Q55BN8,NA
O96647,1.08092169635044e-11
P27484,0.0410773982743152
P58375,NA
O96624,0.32760473911043
Q94A97,NA
D3Z9Z9,0.976994707673226
Q0VD22,0.382819196767474
P34429,0.206112304920769
Q7ZVR8,0.03665265741085
Q9H7R5,0.122838406299665
P46595,NA
P49505,0.0189485714331442
Q2FJ78,NA
Q8BL97,0.585436252087695
Q9W0T5,0.626938106385749
Q02356,0.0124175565437321
Q8N9K5,NA
Q8RVL1,0.11145864280695
Q5EB68,0.124581339360486
P25843,0.133309869682964
Q5R7P4,NA
A6QLG5,0.63601326229626
O04716,0.399073006942734
Q5XH14,NA
F1RD40,0.729788943619333
P62253,0.855561507949552
P62253,0.855561507949552
Q0P5H9,NA
Q4UMH6,0.0778048253678154
Q5F3N1,NA
P37818,NA
Q64560,NA
G3V909,2.58928995178331e-05
P0CS69,NA
P91622,0.24423409156306
C0HL13,0.188759421871585
O23894,0.0600845064328353
A6QP81,0.799120234954674
Q64520,0.443371227879629
O13755,NA
Q8N3R9,0.598922009889178
Q3UVR3,0.0984462428974896
P90850,NA
P39736,0.854217434656459
P31353,NA
O00468,0.708990807008891
P53034,0.349803878967022
Q9NBX4,0.14766829145692
Q5W0Z9,NA
P93484,0.217520857332973
B1H3D5,0.0894123817925998
Q9LT17,0.0388231738854194
A2VDZ9,0.579627443536149
Q55BZ4,NA
Q769F9,0.548966705547337
Q9LYU8,NA
Q5QN75,0.349223694052811
P49595,NA
Q07157,0.301730687964702
Q44020,0.177144169032455
O64642,0.764713655697699
Q8NFA0,NA
Q32P85,0.699126811566408
Q8CCB4,0.383661670143543
Q921I2,0.91003299151409
Q8KAF0,0.00107124998942019
P56079,0.606412820609942
A4YGN2,0.799120234954674
Q9SLK2,NA
Q5G268,NA
P30795,0.07664766743844
O15085,NA
P13796,0.471121728365726
P31230,0.0597288546460285
Q54EY1,0.0329560657744067
P70269,NA
Q9H0R5,NA
Q7ZVI7,0.685393622450084
Q3UDE2,NA
Q9Y2B0,0.0674998332845445
O35445,NA
