Accession_ID,pvalue
P21327,0.970951319393126
Q5QN75,0.223015203067197
Q9ULJ7,0.56291005454737
O75821,0.03193490554177
P0CS69,0.0584743318059227
Q8W4I9,NA
Q9VK89,5.1976287652131e-16
Q95SX7,NA
Q8BZW8,0.0945908900647905
Q6DLR9,0.123888859766638
Q6MFY6,0.405642797117694
Q37705,NA
Q99504,0.869133318138575
Q95V34,NA
Q91784,2.63459604282241e-15
Q9NSE4,0.771697128494495
Q9CX11,0.602805958241584
A8MXY4,0.707609690741384
O75027,0.950950048354597
O75027,0.950950048354597
Q9H8X2,NA
Q9VVY3,0.78104326176922
P05661,0.647069282853385
Q6NXM2,0.0110863357582914
Q80TL1,0.76010972789888
Q80TL1,0.76010972789888
Q6ZMW2,0.996443178733138
Q01295,0.920151224068388
Q8BRK9,0.883330540953726
P44569,0.993941401126953
P06734,0.644488272150526
Q963B7,0.940328900639132
A7TSF4,0.24406756804819
Q8NC42,0.118824493125292
Q9UI26,0.373329653051005
Q2YDD9,NA
Q9WVM3,0.357538922401092
P83740,0.985751354413151
P27484,0.00439790965667155
Q8L518,0.349964353420204
P13732,0.770020301399713
Q13530,0.00303300665246788
Q6NLV4,NA
Q58465,NA
Q8BI79,NA
Q3ZBJ0,0.25355003147779
Q7DBF3,0.623746415295369
Q9SIC9,0.623746415295369
Q8UWA5,0.409022642286897
Q95QN6,0.0024822746808834
A5JYX5,NA
P42232,0.700418629066579
Q80YE7,0.0598259937207451
O70579,0.218392072856613
Q6K3R5,0.00249120826412712
Q12955,NA
Q8Q0U0,0.357326526402284
Q54BC9,NA
Q9NY47,0.48002415125661
Q9V3L1,0.225863749182619
Q54XK2,0.217905472917787
Q4LB35,NA
Q12WH8,0.623746415295369
Q8H4S6,0.000271308274636829
O00217,0.668512132036143
Q6L4S0,0.0684462349362309
Q9ER04,0.568710620902933
Q9Z1N4,0.00392382243060733
P14091,0.0248886003128028
Q8HXQ5,0.536717366829276
Q9V5L3,0.117827073802109
Q3SWT6,NA
Q5RJV1,0.843739186841675
P17014,0.891188704013466
P17014,0.891188704013466
Q7Z3E1,NA
Q0P5F9,0.877034898097938
O76360,0.50406545355535
P18600,NA
Q5UAP0,0.75398790124015
Q6L6S1,NA
Q6L6S1,NA
Q93105,0.786654944953771
Q9LMM5,0.0501474251558706
Q00438,0.353834668445467
Q9GP16,0.567574155622347
Q6Q1P4,0.567574155622347
Q84M24,0.504703120078323
Q5ZLW3,NA
Q8GW48,0.017656637151784
Q6EJ98,NA
Q54BV6,0.00441544544000407
Q8NDN9,NA
Q8NDN9,NA
Q64729,0.679097055093191
Q9FXT6,0.00333595892201385
Q6ICH7,0.765796729429617
Q27268,0.0536645602013551
Q9YIC0,NA
Q8CE47,0.301892972023625
Q6P8E9,0.0616110991897144
P32604,NA
Q9Y4I1,0.229894325376151
Q67W29,0.00907703501314023
Q8RXV3,0.0237650244720411
Q6NTV6,0.485705245217223
Q769F9,0.269565466364171
Q5ZMD4,0.544659125450608
Q59ZX3,NA
Q8W4A7,0.38132174208983
Q8BLQ7,0.991859923158381
P46793,0.0212642891565011
Q96LI5,NA
O75533,NA
Q92887,0.0643778414071951
Q92887,0.0643778414071951
Q704U0,0.000844696694002878
A9RA96,NA
Q4U2V3,NA
Q8VZ10,NA
Q7K566,0.948870714640169
Q29FC9,0.423510648423564
Q7T0X5,NA
Q58CW5,0.749678604016742
O75896,0.82292731289656
Q8VZ10,0.812235270620213
Q9QX47,0.28799761070525
Q9QX47,0.28799761070525
P41115,0.749678604016742
F1N2W9,0.749678604016742
A2X8M8,NA
B4PZ52,0.501665924830585
P58202,NA
P48598,0.790090816753122
Q3MI05,0.375717398834339
Q8NEB5,0.00715315412464387
Q54WR9,NA
Q29397,0.0430788988502356
F4K2E9,1.00856069638252e-15
P70266,0.475259129550739
O15297,NA
P32456,0.0341314128214036
Q06730,0.682341947299285
O75179,0.0695568532923886
A2VEY9,0.651382651675326
Q6DFV5,0.991657088391901
Q9HGM9,NA
Q32PL1,0.238872777862192
Q9NUJ1,0.927323440571566
Q94571,0.348420369362267
Q7TMK9,0.584720522281549
Q9VL78,0.991657088391901
Q99583,0.708839615961112
P98021,0.912687458556621
Q9VTC4,0.0892861971415624
Q8HXQ3,0.777184876512394
Q3B7N9,0.805370122145919
Q00963,0.772423278002674
Q8C0V0,NA
Q9VIM5,0.0995464766991596
P56192,0.87629498645672
Q86I95,0.979867088467121
A2QIL2,NA
Q5F359,7.51976933888042e-14
Q8LC68,0.00229041553351586
Q92PX0,0.100552354457738
Q57661,0.508780538388384
Q6EV23,0.633402907078842
P12007,NA
P12007,NA
Q6V9R5,NA
Q9D7X3,0.31888168670579
Q8NFU5,0.00639569547228644
Q9JLI6,0.515572148742825
Q9VN03,0.360285618517741
Q9UHG3,0.852455112486624
Q20065,0.930886037607648
P36616,NA
O52402,NA
Q02525,0.0432623947841897
P55196,0.448185487755312
Q9UHG3,0.503873494608269
Q21997,0.00310671024269696
Q402E2,NA
Q3KRD5,0.0556360713228845
Q9VE46,0.550822303215587
Q8IY18,NA
Q39230,0.00163891996646768
Q00416,0.833660231432129
Q03392,0.644488272150526
P55345,0.0474977566578273
O74850,0.00282485597524628
Q5BL31,0.493230420071004
Q9URX8,0.103014707397847
Q9FL69,0.10606325906436
Q8TF45,0.694191844148181
Q29411,0.852977559019498
O88986,0.0037627121350349
Q8ENQ1,0.0772556952930286
Q5JJ32,NA
Q9UT28,NA
Q5R4N8,0.0573098083788533
Q8VIG3,NA
Q5R621,0.529309932808528
Q6PBK3,0.355402224537195
Q9C9Z1,0.93349896675503
P32770,0.440510282879452
P29503,0.751371979109937
Q54YR4,0.0480666236147538
P0C605,NA
P17038,0.524214810290385
Q9C505,0.0115423016363074
Q9W1B0,NA
Q58DR2,0.151255654871178
Q39016,NA
Q09820,0.0345983297131379
Q5ZI78,NA
O44001,0.00428581230304133
Q68FX1,0.763190255535747
Q92963,0.889504984204915
Q8SQZ7,NA
Q6DDM4,NA
Q6DDM4,NA
Q6NYA0,7.84526585053962e-05
P54802,NA
P04323,0.540128314814467
Q5F3A2,0.204200502004931
Q9LT78,0.00937956353681323
Q9GZH4,0.0128435606257644
O35141,NA
P40383,0.908943587787954
Q13356,0.776009462564789
P39869,0.239314108287636
O00429,NA
Q8MIP0,0.605644066652092
Q91ZT9,NA
Q5T4D3,0.538460465848743
Q5T4D3,0.538460465848743
P94478,NA
P18603,0.560028866518359
A8ILK1,0.0463872792222301
Q922R0,0.0495081182819923
Q9NJU9,NA
O19105,0.567574155622347
P56567,0.749398664291868
Q8ICR0,0.328315463086191
A8WE67,NA
P29881,0.785268443271079
Q5ZJH5,0.0242181853053074
Q9XF67,0.013415363632915
D3ZFD0,0.166313979548113
Q174R2,NA
Q6AZB8,0.121653963084382
Q8JFW1,0.507552661238909
Q9UMR5,0.320862776737794
Q9SK39,NA
P48223,0.0155103309078295
Q27294,0.992389001369166
Q803S3,0.801708382978492
Q3LGD4,0.849817383292299
Q90965,NA
Q6ZI17,NA
Q8N653,0.779544893320643
Q8L7M0,0.385493889555357
Q04451,0.0757530895785276
Q3ZCI1,0.0352855757879004
Q9V8R9,NA
Q5SRY7,NA
Q2TA37,0.328315463086191
Q9VEX9,0.269565466364171
B4F6W9,0.883330540953726
A5VUZ8,0.000351123380428412
Q24174,0.548917225956344
Q75HE6,0.987440150129425
P18722,0.641758781609116
O15068,0.869133318138575
