Accession_ID,pvalue
Q75VR0,NA
Q8AAB1,NA
Q8R4P9,NA
P30415,NA
B4PZ52,0.712761699825956
P11144,NA
P40501,NA
P51824,NA
Q1LZ75,NA
Q9BXW9,0.553129038233885
Q9WV30,0.00234611842435514
P42210,0.29445381143073
Q7T3E4,0.865961326783258
P42695,NA
Q6GPQ6,0.512815521191022
Q9Y4E6,0.231327466696476
P42695,NA
Q9UK59,0.179495591147029
Q9UK59,0.179495591147029
A1A5B4,NA
Q6P2X9,0.10414245105328
Q6P2X9,0.10414245105328
A4Z943,0.547590992240973
Q9V410,0.615317043806321
Q9VSH9,0.615317043806321
P53033,NA
Q1JQC1,NA
P02586,NA
Q8C8U0,0.93186561126787
Q5E9J7,0.818330084749783
Q4QRK0,0.484264379831342
Q6QNL9,NA
Q91YS8,NA
P18562,NA
D4AUF1,NA
Q95SX7,NA
P28345,0.761612774431659
Q964R0,0.74952207130017
P21327,0.662036450371148
A8ILK1,NA
P97675,0.707588467902228
O05399,NA
Q9GP34,NA
B8JJV5,0.910974419215683
Q9DCZ1,NA
O61231,0.45921491886776
Q8GUN2,NA
O15865,NA
Q3MHW6,0.639685658284219
Q9P299,NA
Q9VQX4,NA
B6YTE4,NA
Q6NWH5,0.629886063984091
P31692,NA
Q9SY09,0.789024217463569
Q5U4Q0,0.666382946075534
Q5U4Q0,0.666382946075534
P90648,NA
Q863I2,NA
Q93XW5,NA
Q84ME1,NA
Q96RT7,0.210269104929952
P00397,0.521818047478566
Q95SX7,0.844215116569086
P90850,0.615531894377798
Q6C537,NA
Q55512,NA
O97067,0.655015987785085
Q7ZW24,0.428620522255827
Q08DH5,0.622595550720177
Q5E9S2,0.979532712098045
Q39238,NA
Q90687,NA
P32770,0.79795502250303
Q6DLR9,NA
Q8BW94,NA
O35254,0.553615067853783
B7FAL5,NA
P38166,NA
Q99LE6,0.868611214038759
V6CLA2,NA
Q21882,NA
Q9R1P3,0.742531003305791
P25159,0.532673968104096
Q8BMZ5,0.994382668265077
Q15650,NA
Q8TGM7,NA
Q93ZC9,NA
P0C0L0,NA
Q3MI05,0.526236604201264
P49354,0.900374874824046
P49354,0.900374874824046
Q94K85,0.673088370159046
P0A593,0.615317043806321
Q9ULJ7,NA
Q8N5L8,NA
Q91V92,0.90123686942613
F4ILR7,0.865961326783258
Q8K2D6,NA
Q8L8T2,NA
P10815,NA
Q3T138,0.566859330116921
O05399,NA
Q8BMG8,NA
P29937,NA
O28597,NA
Q0IMS9,NA
Q32Q07,0.762941160783121
P57071,0.906525679055292
Q9SYB0,NA
Q8SS29,NA
O88196,0.583275113003509
A7MBL8,0.724659934310662
F1PBJ0,0.0822510130540272
Q7SXM7,NA
Q55E68,NA
Q16QL3,0.903197421232115
Q5ZJH5,NA
G3V909,NA
O54975,NA
Q8WYN3,NA
Q9VJ33,0.718321218602976
Q17LR9,0.774386915359948
Q99JY4,NA
Q8LBZ4,NA
Q54V55,NA
Q54KD1,NA
Q5MGM6,0.789024217463569
Q2KJ44,NA
P21328,0.918735109399224
P31396,0.0251418979441404
Q6GPQ4,NA
P11157,0.774386915359948
Q3BAI2,0.615317043806321
Q9BZJ0,NA
A7T0W1,NA
Q9UBB5,0.369592148725734
P27484,NA
A0A8M2,NA
Q9FLL3,NA
Q9FJ79,NA
Q9VQH2,NA
Q17QF0,NA
B8B9K6,NA
Q6TU48,NA
Q84XU2,NA
Q8BFX3,NA
P28668,0.444117711845733
Q6P7Q4,0.717507122434304
Q5F478,NA
P00687,NA
P51824,NA
Q95SX7,0.450408785531312
Q3SEK2,NA
Q9VKQ9,NA
O00429,NA
Q9ULJ7,NA
Q9VTU3,0.24280401623997
Q0P5H9,NA
O82244,NA
Q9JHE4,0.615317043806321
Q9D6G5,NA
Q7QCK2,0.865961326783258
P42791,0.965511017173394
Q54QP7,NA
Q8TF77,NA
Q44020,NA
P82650,0.591005870660533
Q9Z2X3,NA
Q9NR82,0.881834552376647
Q9NWY4,0.190138877380436
Q06563,NA
Q8K4K3,NA
Q6ZN57,0.581780694881813
O18973,5.23965019119449e-10
O76082,NA
Q9URX7,NA
Q3U0J8,NA
Q9Y230,NA
P37287,0.876781998851601
Q8TAT5,0.665248798978594
Q8VWG7,NA
O35130,NA
Q8NBU5,0.441179374642286
Q9JX23,NA
F4ISQ7,NA
Q6CFS7,NA
P23246,0.811783137749958
Q9ZW33,NA
Q28CW2,0.865961326783258
Q96PP9,NA
Q9D1P2,0.0468815453141707
O73817,0.612912328726112
P48876,0.432927327712357
Q5ZIH0,NA
Q7Z4L5,NA
Q6CFS7,NA
Q95KI5,NA
P37039,NA
Q96CN4,NA
Q653S3,NA
Q9D2N9,0.904555998595479
P42283,0.313080878988042
Q23356,0.774808708075933
Q9UKN8,0.249841135440514
Q15256,0.700272343737224
Q24020,0.611827951588723
Q05746,0.56356876837533
Q3KRE0,NA
P91621,0.865961326783258
Q40255,NA
Q8N7Q3,NA
Q9SQN2,NA
Q53FZ2,NA
Q53FZ2,NA
Q9Z175,0.608025331094199
C4NZN9,NA
Q5ZC88,NA
P13607,0.926829771368215
E1BMN8,0.774386915359948
Q32LL2,0.791557559640434
B0BYW4,0.0230755478226118
Q9ULC3,NA
Q55EA1,NA
P13060,NA
Q12905,0.7404706244446
Q6AXT8,NA
Q08431,NA
Q9D554,0.670330056963984
P00637,NA
B1AS42,0.350143269463473
Q6PG37,NA
P27797,0.774386915359948
O14678,0.865961326783258
Q8T1C6,NA
Q5PP37,NA
Q54NS8,NA
Q921M7,0.168216625529596
Q8N7Q3,0.728848662356313
Q9UK13,0.698855361141615
Q99LE6,NA
Q8LPF4,NA
Q5TYW6,NA
Q7SYH5,NA
P55320,0.594673526223714
O95352,0.789780687159086
B0YC65,0.728628018235034
Q6GNX5,0.909005336383305
P70705,0.893164194835141
Q96RE9,0.897901979388452
