"SPNO","Species_Name","Sex","Size","Chela","Shell_Condition","Egg_Color","Egg_Cond","Clutch","Random","Collection_Comments","VISUAL","BCS_PCR_results","Year","Specific_Location","General_Location","Collected_By","ReferenceNO","Plate","DNA_Well_No","Host_Tissue","Preservative","Sample_Status","C_V_H","Cruise","Vessel","Haul","Date","Stratum","Latitude","Longitude","StationID","Depth","Surface_Temp","Bottom_Temp","Haul_Date"
20140101,"Chionoecetes bairdi",2,83,NA,3,4,1,6,NA,NA,NA,0,2014,"2014Index2","BS","SAP",NA,"1","A1","Leg muscle","Frozen at sea, then transferred to 100% EtOH","Used Up/Thrown Away","201401_94_110",201401,94,110,2014-07-06 15:47:44,32,56.64976,-168.91079,"F-19",101,9.4,3.2,2014-07-06 15:47:44
20140102,"Chionoecetes bairdi",2,78,NA,3,4,1,6,NA,NA,NA,0,2014,"2014Index2","BS","SAP",NA,"1","B1","Leg muscle","Frozen at sea, then transferred to 100% EtOH","Used Up/Thrown Away","201401_94_110",201401,94,110,2014-07-06 15:47:44,32,56.64976,-168.91079,"F-19",101,9.4,3.2,2014-07-06 15:47:44
20140103,"Chionoecetes bairdi",2,75,NA,3,4,1,5,NA,NA,NA,0,2014,"2014Index2","BS","SAP",NA,"1","C1","Leg muscle","Frozen at sea, then transferred to 100% EtOH","Used Up/Thrown Away","201401_94_110",201401,94,110,2014-07-06 15:47:44,32,56.64976,-168.91079,"F-19",101,9.4,3.2,2014-07-06 15:47:44
20140104,"Chionoecetes bairdi",2,82,NA,3,4,1,5,NA,NA,NA,1,2014,"2014Index2","BS","SAP",NA,"1","D1","Leg muscle","Frozen at sea, then transferred to 100% EtOH","Used Up/Thrown Away","201401_94_110",201401,94,110,2014-07-06 15:47:44,32,56.64976,-168.91079,"F-19",101,9.4,3.2,2014-07-06 15:47:44
20140105,"Chionoecetes bairdi",2,73,NA,3,4,1,5,NA,NA,NA,0,2014,"2014Index2","BS","SAP",NA,"1","E1","Leg muscle","Frozen at sea, then transferred to 100% EtOH","Used Up/Thrown Away","201401_94_110",201401,94,110,2014-07-06 15:47:44,32,56.64976,-168.91079,"F-19",101,9.4,3.2,2014-07-06 15:47:44
20140106,"Chionoecetes bairdi",2,81,NA,3,4,1,5,NA,NA,NA,0,2014,"2014Index2","BS","SAP",NA,"1","F1","Leg muscle","Frozen at sea, then transferred to 100% EtOH","Used Up/Thrown Away","201401_94_110",201401,94,110,2014-07-06 15:47:44,32,56.64976,-168.91079,"F-19",101,9.4,3.2,2014-07-06 15:47:44
20140107,"Chionoecetes bairdi",1,32,NA,2,NA,NA,NA,NA,NA,NA,0,2014,"2014Index2","BS","SAP",NA,"1","G1","Leg muscle","Frozen at sea, then transferred to 100% EtOH","Used Up/Thrown Away","201401_94_110",201401,94,110,2014-07-06 15:47:44,32,56.64976,-168.91079,"F-19",101,9.4,3.2,2014-07-06 15:47:44
20140108,"Chionoecetes bairdi",2,84,NA,3,4,1,5,NA,NA,NA,0,2014,"2014Index2","BS","SAP",NA,"1","H1","Leg muscle","Frozen at sea, then transferred to 100% EtOH","Used Up/Thrown Away","201401_94_110",201401,94,110,2014-07-06 15:47:44,32,56.64976,-168.91079,"F-19",101,9.4,3.2,2014-07-06 15:47:44
20140109,"Chionoecetes bairdi",1,101,NA,2,NA,NA,NA,NA,NA,NA,0,2014,"2014Index2","BS","SAP",NA,"1","A2","Leg muscle","Frozen at sea, then transferred to 100% EtOH","Used Up/Thrown Away","201401_94_110",201401,94,110,2014-07-06 15:47:44,32,56.64976,-168.91079,"F-19",101,9.4,3.2,2014-07-06 15:47:44
20140110,"Chionoecetes bairdi",1,92,NA,2,NA,NA,NA,NA,NA,NA,0,2014,"2014Index2","BS","SAP",NA,"1","B2","Leg muscle","Frozen at sea, then transferred to 100% EtOH","Used Up/Thrown Away","201401_94_110",201401,94,110,2014-07-06 15:47:44,32,56.64976,-168.91079,"F-19",101,9.4,3.2,2014-07-06 15:47:44
