"id178_TPM"	"id359_TPM"	"id463_TPM"
"TRINITY_DN88474_c0_g1_i2"	36.2408	53.3159	0
"TRINITY_DN21433_c0_g2_i8"	4.02433	6.42354	0
"TRINITY_DN21454_c1_g1_i2"	4.66903	12.0645	0
"TRINITY_DN5644_c12_g1_i16"	6.53457	16.0678	0
"TRINITY_DN5644_c0_g1_i9"	15.9434	26.0038	0
"TRINITY_DN5644_c7_g1_i1"	4.39673	9.12079	0.029264
"TRINITY_DN5612_c12_g1_i1"	10.8356	21.0292	0
"TRINITY_DN5632_c0_g1_i10"	24.0342	40.3141	0
"TRINITY_DN5662_c12_g1_i7"	4.64583	11.1841	0.1654
"TRINITY_DN5637_c1_g1_i4"	7.7515	25.2343	0
"TRINITY_DN5616_c0_g1_i12"	33.823	63.2628	0.229411
"TRINITY_DN37810_c0_g1_i7"	10.6329	19.1685	0
"TRINITY_DN28797_c0_g3_i7"	1.76531	23.8989	0.00137614
"TRINITY_DN28787_c0_g1_i1"	6.61717	10.2511	0
"TRINITY_DN79478_c1_g1_i1"	23.99	54.2522	0.442049
"TRINITY_DN12449_c0_g1_i3"	4.9664	10.0283	0
"TRINITY_DN12440_c0_g2_i1"	29.2558	65.9738	0.0703091
"TRINITY_DN12400_c5_g1_i1"	0	10.9117	0
"TRINITY_DN12487_c0_g1_i6"	7.86234	26.1553	0
"TRINITY_DN12487_c0_g1_i1"	4.97584	17.496	0.139418
"TRINITY_DN12487_c0_g1_i5"	5.67833	12.8365	0
"TRINITY_DN12416_c0_g1_i2"	94.5155	211.288	0.488133
"TRINITY_DN96656_c1_g3_i1"	4.9596	21.3291	0
"TRINITY_DN4775_c2_g3_i2"	3.40042	8.39924	0
"TRINITY_DN4791_c0_g1_i1"	13.0613	52.2576	0.138614
"TRINITY_DN4727_c0_g1_i10"	4.51066	9.7276	0
"TRINITY_DN4727_c0_g1_i6"	4.67265	14.4253	0.12466
"TRINITY_DN4727_c0_g1_i2"	3.11945	8.89525	0
