"118"	"349"	"481"
"TRINITY_DN21434_c5_g1_i3"	67.15	1.13823	5.74844
"TRINITY_DN5644_c14_g1_i3"	24.999	0.340665	1.97403
"TRINITY_DN5650_c0_g1_i5"	0.0210364	0	0
"TRINITY_DN5650_c0_g1_i2"	0.0210364	0	0
"TRINITY_DN5617_c0_g1_i1"	0.174144	0	0
"TRINITY_DN5662_c1_g1_i17"	10.9559	0	0
"TRINITY_DN5605_c6_g1_i1"	0.196798	0	0
"TRINITY_DN37814_c0_g1_i3"	137.06	8.23015	17.4038
"TRINITY_DN37810_c4_g1_i3"	2.1574	0	0
"TRINITY_DN28726_c0_g1_i9"	0.114739	0	0
"TRINITY_DN28706_c0_g1_i2"	0.121248	0	0
"TRINITY_DN12476_c0_g1_i1"	0.06734	0	0
"TRINITY_DN12416_c0_g1_i2"	141.08	0	18.7134
"TRINITY_DN12416_c0_g1_i4"	280.286	0	36.2697
"TRINITY_DN96656_c1_g2_i2"	177.426	0.719851	12.9661
"TRINITY_DN96656_c1_g3_i1"	33.3063	0	0.733367
"TRINITY_DN96678_c2_g1_i1"	2.97342	0	0
"TRINITY_DN4795_c0_g1_i22"	20.1743	0.210334	0.190753
"TRINITY_DN4775_c4_g1_i1"	104.91	1.40917	13.7235
"TRINITY_DN4778_c1_g1_i2"	18.1187	1.23272	1.77897
"TRINITY_DN4776_c5_g1_i2"	2.1239	0	0
"TRINITY_DN4789_c0_g3_i1"	2.41325	0	0.00432811
"TRINITY_DN4789_c0_g1_i6"	6.34171	0	0.588049
"TRINITY_DN4777_c9_g1_i2"	1.2595	0	0
"TRINITY_DN4705_c0_g1_i27"	0.0116721	0	0
"TRINITY_DN4702_c1_g1_i13"	27.3339	1.2739	2.57164
"TRINITY_DN28802_c1_g1_i2"	39.0892	2.16276	5.32192
"TRINITY_DN28889_c0_g1_i1"	0.0203837	0	0
"TRINITY_DN54027_c3_g1_i12"	16.316	2.1193	2.09523
"TRINITY_DN54027_c3_g1_i2"	26.8908	0.925192	1.6296
"TRINITY_DN0_c2183_g1_i1"	81.8842	0.28994	6.61857
"TRINITY_DN0_c10636_g1_i1"	2228.08	4.11842	80.8797
"TRINITY_DN0_c2715_g4_i1"	33.527	0.12467	0.558763
"TRINITY_DN4_c1_g1_i30"	76.2244	0	6.68662
"TRINITY_DN4_c1_g1_i19"	78.4868	18.3928	13.3457
"TRINITY_DN4_c9_g2_i3"	10.5193	0.110055	0.371086
"TRINITY_DN7_c2_g1_i1"	8.46437	0.0477535	0.641644
"TRINITY_DN88_c1_g1_i1"	5.54823	0	0.583573
"TRINITY_DN10_c6_g3_i4"	118.854	0.263458	10.6728
"TRINITY_DN10_c37_g1_i1"	27.9178	0	1.79928e-05
"TRINITY_DN10_c6_g5_i1"	118.854	0.263458	10.6728
"TRINITY_DN48_c3_g1_i10"	1.9814	0	7.82653e-05
"TRINITY_DN48_c3_g1_i7"	0.996562	0.00652048	0.00467639
"TRINITY_DN48_c3_g1_i3"	0.125677	0.00148404	0.00069624
"TRINITY_DN26_c0_g1_i5"	13.3468	0	0.495109
"TRINITY_DN64_c0_g1_i1"	0.0494224	0	0
"TRINITY_DN22_c12_g1_i10"	12.4062	7.90897	2.41375
"TRINITY_DN22_c12_g1_i9"	12.4062	1.25113	0.890145
"TRINITY_DN3_c0_g1_i83"	144.862	0.433965	0.0232211
"TRINITY_DN3_c37_g1_i3"	0.0351138	0	0
"TRINITY_DN3_c26_g1_i11"	17.7044	0	0
"TRINITY_DN3_c45_g1_i7"	59.495	17.2949	8.5301
"TRINITY_DN3_c119_g2_i1"	53.867	0.0310763	2.92809
"TRINITY_DN3_c1_g6_i7"	36.5932	4.57017	4.28984
"TRINITY_DN3_c13_g3_i2"	54.7634	0	5.41427
"TRINITY_DN3_c145_g2_i1"	3.59715	0.0291614	0.189938
"TRINITY_DN3_c30_g2_i5"	60.5949	1.40645	1.53367
"TRINITY_DN40_c1_g1_i4"	0.149037	0.0932339	0
"TRINITY_DN60_c0_g1_i9"	66.5223	0	0
"TRINITY_DN1_c1_g1_i6"	10.8996	0	0.380675
"TRINITY_DN1_c0_g1_i4"	147.263	0	17.9426
"TRINITY_DN1_c0_g1_i18"	130.573	0.70697	2.77254
"TRINITY_DN1_c63_g1_i1"	4.56775	1.09044	0.831946
"TRINITY_DN20692_c3_g1_i31"	13.0065	0.250335	1.69222
"TRINITY_DN20692_c3_g1_i19"	19.7874	0	0.00722589
"TRINITY_DN3826_c0_g1_i5"	19.0416	0	0
"TRINITY_DN3826_c0_g1_i10"	123.397	15.3043	1.89858
"TRINITY_DN3803_c0_g5_i1"	16.1205	0.0453865	1.88479
"TRINITY_DN3882_c0_g2_i3"	40.2088	0	3.17875
"TRINITY_DN3821_c1_g1_i1"	56.9703	0.304321	4.3033
"TRINITY_DN3843_c1_g1_i9"	7.83692	0	1.02808
"TRINITY_DN3898_c0_g1_i3"	0.316251	0	0
"TRINITY_DN3880_c4_g1_i1"	18.5342	16.4224	12.3848
"TRINITY_DN3837_c0_g1_i7"	71.5432	0	1.07182
"TRINITY_DN3837_c0_g1_i19"	54.1644	0	0.0526742
"TRINITY_DN3837_c0_g1_i20"	27.7056	0	0.531075
"TRINITY_DN3837_c0_g1_i6"	103.524	0.0615597	0.9168
"TRINITY_DN3837_c0_g1_i8"	163.269	0.0447511	2.0764
"TRINITY_DN71371_c0_g1_i10"	0.665828	0	0
"TRINITY_DN71334_c0_g3_i1"	3.53346	0	0
"TRINITY_DN71349_c0_g2_i1"	30.6079	1.09509	0
"TRINITY_DN27947_c0_g1_i1"	0.11285	0.0441762	0.0205727
"TRINITY_DN27917_c1_g1_i1"	31.6341	11.1742	2.81056
"TRINITY_DN27920_c1_g1_i4"	29.5358	0	3.28278
"TRINITY_DN11670_c0_g1_i12"	7.16854	0	0
"TRINITY_DN2973_c1_g2_i1"	0.0376571	0	0
"TRINITY_DN2969_c0_g1_i1"	392.357	4.27726	5.48606
"TRINITY_DN2969_c2_g2_i1"	9.38544	0.6673	0.768492
"TRINITY_DN2912_c0_g1_i9"	0.112813	0	0
"TRINITY_DN2992_c0_g1_i33"	1.40005	0.586753	0
"TRINITY_DN2920_c14_g1_i1"	0.167027	0	0
"TRINITY_DN2908_c1_g1_i11"	72.4916	1.41487	3.52408
"TRINITY_DN2995_c0_g1_i10"	7.9861	0.104665	0
"TRINITY_DN2961_c0_g1_i1"	0.052594	0	0
"TRINITY_DN2994_c1_g1_i4"	8.63552	0	0.423021
"TRINITY_DN2910_c1_g1_i9"	46.8609	0.211864	1.75991
"TRINITY_DN2933_c5_g1_i2"	30.5895	0.613752	4.04178
"TRINITY_DN53231_c3_g1_i1"	16.6844	3.71051	1.62544
"TRINITY_DN70422_c1_g1_i1"	2.81761	0	0.326463
"TRINITY_DN18987_c3_g2_i1"	11.8304	1.37728	2.63846
"TRINITY_DN18942_c0_g1_i20"	33.8825	0	1.04755
"TRINITY_DN18978_c2_g1_i3"	6.78418e-05	0	0
"TRINITY_DN18965_c0_g3_i4"	84.2539	2.12725	6.1814
"TRINITY_DN18980_c0_g1_i1"	0.0717945	0	0
"TRINITY_DN18998_c0_g1_i1"	0.0955416	0	0
"TRINITY_DN44135_c4_g1_i1"	32.2809	0	4.38878
"TRINITY_DN70575_c0_g1_i5"	4.04543	1.93294	0.880107
"TRINITY_DN70510_c0_g1_i4"	11.3332	0	1.53875
"TRINITY_DN70573_c0_g1_i2"	19.1836	0	1.6514
"TRINITY_DN77704_c0_g1_i5"	0.625244	0	0
"TRINITY_DN44233_c0_g1_i9"	0.0510143	0	0
"TRINITY_DN44233_c0_g1_i3"	0.290282	0	0
"TRINITY_DN44224_c5_g1_i7"	372.962	0	13.2468
"TRINITY_DN44224_c5_g1_i1"	134.716	0.264793	6.30384
"TRINITY_DN44275_c0_g1_i1"	3.65505	0.25488	0.570821
"TRINITY_DN9682_c0_g1_i2"	0.00897393	0	0
"TRINITY_DN9682_c0_g1_i4"	0.00897393	0	0
"TRINITY_DN9674_c0_g1_i14"	2.13706e-08	0	0
"TRINITY_DN9674_c0_g1_i10"	0.0762756	0	0
"TRINITY_DN9678_c0_g1_i5"	6.12427	0	0.513751
"TRINITY_DN35155_c1_g1_i3"	36.1077	1.08524	5.72308
"TRINITY_DN35145_c6_g1_i1"	24.4017	1.43388	2.41268
"TRINITY_DN10882_c0_g1_i2"	0.0434106	0	0
"TRINITY_DN10829_c0_g1_i3"	4.15566	0	0.318691
"TRINITY_DN10884_c0_g1_i1"	0.0591262	0	0
"TRINITY_DN10884_c2_g1_i5"	3767.32	4.69446	450.182
"TRINITY_DN10880_c1_g1_i10"	61.4048	0	3.11949
"TRINITY_DN10880_c1_g1_i3"	2.84368	0	0.208339
"TRINITY_DN10880_c1_g1_i19"	6.97105	0.0658315	0.519221
"TRINITY_DN10801_c1_g1_i7"	9.79342	0	0
"TRINITY_DN10801_c1_g1_i3"	8.11196	5.15598	1.86363
"TRINITY_DN10817_c0_g1_i3"	0.465504	0	0
"TRINITY_DN10847_c2_g1_i1"	12.5948	1.91343	0.548388
"TRINITY_DN26022_c0_g1_i2"	18.8452	7.84285	4.119
"TRINITY_DN52495_c3_g1_i1"	59.1087	0	1.31297
"TRINITY_DN8767_c0_g1_i6"	0.215858	0	0
"TRINITY_DN8785_c2_g1_i7"	5.71285	0	0.000136199
"TRINITY_DN8758_c1_g1_i8"	0.0787269	0	0
"TRINITY_DN8786_c9_g1_i1"	53.9334	0.176192	5.0401
"TRINITY_DN2029_c0_g1_i5"	25.0247	0	0
"TRINITY_DN2081_c0_g1_i11"	42.1959	0	4.35868
"TRINITY_DN2017_c0_g1_i5"	0.0206181	0	0
"TRINITY_DN2034_c1_g1_i1"	0.1171	0	0
"TRINITY_DN2094_c0_g1_i13"	0.0541972	0	0
"TRINITY_DN2019_c8_g1_i1"	7.8647	3.65947	1.1975
"TRINITY_DN2010_c0_g1_i1"	17.3699	0	2.08376
"TRINITY_DN2010_c0_g2_i4"	35.8376	0.109845	4.14004
"TRINITY_DN2095_c0_g1_i28"	0.0457352	0	0
"TRINITY_DN2095_c0_g1_i14"	0.119946	0	0
"TRINITY_DN2074_c8_g2_i1"	6.28233	0	0.812255
"TRINITY_DN2074_c6_g1_i1"	12.5996	0	0.986074
"TRINITY_DN2044_c4_g1_i2"	21.8147	0.106572	0.128273
"TRINITY_DN2053_c1_g1_i1"	28.3565	0.033807	0.243263
"TRINITY_DN26149_c1_g1_i11"	0.486411	0	0
"TRINITY_DN26184_c3_g2_i1"	6.30125	1.25185	1.07357
"TRINITY_DN26176_c3_g1_i3"	100.277	0.371734	9.36593
"TRINITY_DN43312_c1_g1_i1"	34.5933	0.252362	3.00806
"TRINITY_DN43338_c0_g1_i4"	1.90325	0	0
"TRINITY_DN43351_c0_g5_i1"	0.0792331	0	0
"TRINITY_DN94091_c0_g1_i1"	0.18523	0	0
"TRINITY_DN17088_c1_g1_i5"	3.50434	0.058317	0.224879
"TRINITY_DN487_c0_g1_i7"	0.0400398	0	0
"TRINITY_DN487_c0_g1_i16"	0.139969	0	0
"TRINITY_DN470_c2_g1_i11"	0.88303	0	0
"TRINITY_DN470_c4_g1_i7"	0.349908	0	0
"TRINITY_DN460_c0_g1_i8"	3.68619	0.225966	0.343988
"TRINITY_DN453_c0_g1_i1"	0.101842	0	0
"TRINITY_DN429_c0_g1_i8"	5.85079	0	0.151453
"TRINITY_DN403_c1_g1_i1"	0.187236	0	0
"TRINITY_DN455_c0_g1_i3"	0.0364818	0	0
"TRINITY_DN407_c0_g3_i13"	0.0856206	0	0
"TRINITY_DN43472_c1_g2_i1"	36.6687	2.00687	3.91902
"TRINITY_DN60635_c6_g2_i1"	0.15393	0	0
"TRINITY_DN60688_c2_g1_i1"	119.193	0.0982702	4.79436
"TRINITY_DN7818_c2_g1_i16"	108.554	0	7.72603e-07
"TRINITY_DN7861_c0_g1_i3"	2.88823	0	0
"TRINITY_DN7861_c0_g1_i1"	4.47461	0	0.530908
"TRINITY_DN7885_c2_g2_i1"	0.135336	0	0
"TRINITY_DN7885_c13_g1_i4"	2.31501	0	0
"TRINITY_DN1190_c0_g1_i5"	13.1542	0	0.14905
"TRINITY_DN1186_c0_g1_i7"	8.14488	0	0.971143
"TRINITY_DN1137_c1_g1_i4"	0.0474992	0	0
"TRINITY_DN1198_c4_g2_i3"	15.631	1.67558	1.87459
"TRINITY_DN1103_c0_g1_i29"	6.82153	0.192327	0.123961
"TRINITY_DN1103_c13_g1_i9"	0.185404	0	0
"TRINITY_DN1103_c13_g1_i14"	0.356872	0	0
"TRINITY_DN1172_c22_g1_i7"	29.9325	0.266476	0.936762
"TRINITY_DN1172_c38_g3_i1"	46.3193	0	1.17964
"TRINITY_DN1191_c1_g1_i4"	0.0205866	0	0
"TRINITY_DN1179_c0_g1_i4"	16.4314	0.159019	0.161503
"TRINITY_DN1132_c0_g1_i8"	11.6305	0.0313793	0.385895
"TRINITY_DN1148_c0_g1_i18"	7.54375	0	0
"TRINITY_DN1189_c1_g1_i3"	0.308823	0.128324	0
"TRINITY_DN1144_c0_g3_i1"	0.928333	0	0
"TRINITY_DN1144_c0_g1_i1"	7.35926	3.88427	4.20529
"TRINITY_DN1130_c2_g1_i6"	0.342283	0	0
"TRINITY_DN17113_c0_g2_i8"	13.2365	0	0.0774357
"TRINITY_DN17115_c0_g1_i11"	302.433	17.6011	49.5174
"TRINITY_DN17115_c0_g1_i6"	65.5536	2.69476	4.17726
"TRINITY_DN34352_c1_g1_i1"	0.885034	0	0
"TRINITY_DN67962_c0_g3_i2"	34.3894	1.55433	5.34
"TRINITY_DN67939_c0_g1_i12"	0.298253	0	0.0385354
"TRINITY_DN67992_c0_g1_i1"	27.9609	0.83112	3.18299
"TRINITY_DN6976_c0_g1_i19"	0.055379	0	0
"TRINITY_DN6915_c4_g1_i1"	72.2806	0.0416094	8.01729
"TRINITY_DN6990_c3_g1_i5"	22.2418	0	1.24922
"TRINITY_DN6908_c0_g1_i12"	0.179936	0	0
"TRINITY_DN6908_c3_g1_i2"	9.98588	0.497487	0.854728
"TRINITY_DN6919_c0_g2_i9"	26.9251	0.0259682	2.26217
"TRINITY_DN6981_c0_g1_i3"	63.8505	0	4.86398
"TRINITY_DN6981_c0_g1_i1"	306.288	0.346074	38.4873
"TRINITY_DN6950_c1_g1_i1"	45.7529	0.662182	0.491506
"TRINITY_DN6903_c1_g1_i3"	181.109	0	20.3382
"TRINITY_DN93125_c0_g1_i1"	11.2601	3.51527	0
"TRINITY_DN25373_c0_g2_i1"	4.89242	1.87786	0.252339
"TRINITY_DN25373_c0_g2_i3"	10.828	0.20184	1.50027
"TRINITY_DN42506_c0_g1_i25"	8.6476	0.169372	0.285549
"TRINITY_DN58990_c3_g1_i1"	7.27137	0.452125	0
"TRINITY_DN16276_c0_g2_i2"	33.7016	0.121859	2.38169
"TRINITY_DN16276_c0_g1_i1"	2.53874	0	0.29676
"TRINITY_DN16246_c0_g1_i5"	157.859	0.700602	2.21246
"TRINITY_DN16281_c0_g1_i8"	42.2737	0	0.5182
"TRINITY_DN42640_c0_g1_i14"	0.0612002	0	0
"TRINITY_DN42640_c0_g1_i12"	0.402755	0	0
"TRINITY_DN49866_c0_g1_i4"	0.00368497	0	0
"TRINITY_DN49866_c0_g1_i1"	0.118722	0	0
"TRINITY_DN49866_c0_g1_i6"	3.69922e-09	0	0
"TRINITY_DN49847_c0_g1_i1"	0.0261541	0	0
"TRINITY_DN16335_c0_g1_i4"	6.50376	0.121421	0.730017
"TRINITY_DN16302_c1_g1_i3"	0.636942	0.384457	0.355304
"TRINITY_DN16365_c2_g1_i1"	20.6853	1.0493	2.5897
