"118"	"349"	"481"
"TRINITY_DN88409_c0_g1_i3"	1.63235	2.17392	0.402693
"TRINITY_DN0_c718_g1_i1"	7.35285	15.4561	3.35466
"TRINITY_DN4_c1_g1_i5"	1.18228	1.94776	0.462793
"TRINITY_DN7_c0_g3_i16"	26.5922	40.8946	2.51195
"TRINITY_DN7_c0_g3_i8"	52.6697	115.387	11.72
"TRINITY_DN3_c1_g4_i70"	0.198809	0.859284	0
"TRINITY_DN3_c1_g9_i2"	8.26438	8.85706	3.61414
"TRINITY_DN3_c1_g3_i1"	5.88386	16.1099	3.0091
"TRINITY_DN3826_c0_g1_i21"	18.8102	61.1086	0.0990157
"TRINITY_DN3826_c0_g1_i22"	6.77701	33.0116	0
"TRINITY_DN3826_c0_g1_i14"	20.3705	48.8093	0
"TRINITY_DN3826_c0_g1_i9"	17.7577	114.339	0
"TRINITY_DN3826_c0_g1_i20"	7.70161	33.5724	0.138639
"TRINITY_DN3880_c31_g1_i6"	1.90225	2.48357	1.06816
"TRINITY_DN2916_c2_g1_i5"	0.955476	4.59187	0.283446
"TRINITY_DN9678_c0_g1_i8"	0.128327	0.110238	0
"TRINITY_DN26031_c2_g2_i2"	0.0728122	0.085093	0.0264474
"TRINITY_DN2056_c2_g3_i2"	45.6666	52.134	0.841969
"TRINITY_DN2011_c0_g2_i34"	5.53067	12.7243	0.392056
"TRINITY_DN2043_c4_g1_i1"	0.433484	0.706714	0
"TRINITY_DN486_c0_g2_i2"	0.060284	0.0472419	0
"TRINITY_DN17145_c0_g1_i1"	0.0432227	0.0340936	0
"TRINITY_DN6977_c0_g3_i1"	2.70111	3.49636	0.908431
"TRINITY_DN42660_c0_g1_i1"	0.0176416	0.027482	0
"TRINITY_DN49803_c2_g1_i1"	0.512618	0.451641	0
"TRINITY_DN49849_c0_g1_i4"	0.571133	0.532205	0
"TRINITY_DN50827_c3_g1_i1"	1.55844	1.33815	0.50767
"TRINITY_DN6072_c3_g1_i1"	0.162804	0.273703	0
"TRINITY_DN894_c0_g1_i1"	0.0535548	0.127381	0
"TRINITY_DN896_c29_g1_i1"	5.13061	12.9645	3.53331
"TRINITY_DN82506_c2_g1_i5"	0.158848	0.173935	0.129719
"TRINITY_DN14760_c0_g1_i26"	13.6288	20.1817	11.5844
"TRINITY_DN31935_c2_g1_i1"	0.0454159	0.0531923	0
"TRINITY_DN8276_c5_g1_i1"	0.192488	1.36999	0
"TRINITY_DN12090_c1_g1_i1"	22.0572	44.1558	9.23509
"TRINITY_DN12070_c3_g1_i4"	0.0291207	0.0227701	0
"TRINITY_DN20200_c2_g2_i1"	3.99955	3.09484	0.223436
"TRINITY_DN11215_c0_g1_i3"	3.41531	8.9175	0.521146
"TRINITY_DN27645_c1_g3_i2"	0.107135	0.43876	0
"TRINITY_DN5483_c0_g1_i16"	0.0111743	0.0520583	0
"TRINITY_DN77410_c0_g1_i1"	0.130899	0.103104	0
"TRINITY_DN10477_c0_g1_i29"	0.0147031	0.103298	0.000273321
"TRINITY_DN4552_c3_g1_i7"	1.27192	1.20648	0
"TRINITY_DN3688_c0_g1_i3"	0.0325293	0.0866964	0
