"id118_TPM"	"id349_TPM"	"id481_TPM"
"TRINITY_DN88421_c0_g1_i1"	0	7.32629	49.6657
"TRINITY_DN88418_c0_g1_i5"	0	0.977312	20.4789
"TRINITY_DN88495_c1_g2_i3"	0	0.99092	4.79659
"TRINITY_DN88495_c1_g1_i10"	0.128438	0.951378	4.73329
"TRINITY_DN21442_c0_g2_i1"	2.01133	19.0459	176.274
"TRINITY_DN21430_c0_g1_i1"	0.890051	11.5583	274.465
"TRINITY_DN21460_c0_g1_i36"	0.229096	3.38203	24.5865
"TRINITY_DN21460_c0_g1_i31"	0.122065	1.42126	4.18278
"TRINITY_DN5600_c0_g1_i13"	4.84437	173.943	842.505
"TRINITY_DN5600_c0_g1_i7"	0	7.08763	26.5963
"TRINITY_DN5601_c0_g1_i10"	1.90046	0	3.66153
"TRINITY_DN5662_c12_g1_i7"	2.7445	0.0334485	9.23278
"TRINITY_DN5662_c5_g1_i11"	0	1.81255	10.2916
"TRINITY_DN5637_c1_g1_i4"	1.55007	0	3.45525
"TRINITY_DN5616_c8_g1_i1"	18.3066	0.306225	44.7653
"TRINITY_DN5616_c0_g1_i12"	5.88641	0	20.9346
"TRINITY_DN5639_c1_g1_i3"	0	0.599518	4.8008
"TRINITY_DN5631_c0_g1_i2"	1.88641	0.0412285	4.30505
"TRINITY_DN5602_c0_g1_i1"	1.60664	0.0466276	5.29674
"TRINITY_DN37816_c0_g1_i1"	0	0.980711	17.4956
"TRINITY_DN37884_c0_g1_i2"	0	2.94535	20.6448
"TRINITY_DN37868_c0_g1_i1"	0	1.8383	4.96972
"TRINITY_DN37821_c0_g1_i10"	0.62926	5.59965	47.1647
"TRINITY_DN37883_c1_g2_i6"	0	1.55257	4.77275
"TRINITY_DN79355_c0_g1_i7"	0.275202	5.2438	22.6778
"TRINITY_DN63016_c2_g1_i2"	0.183334	0.973783	4.24817
"TRINITY_DN63036_c4_g1_i11"	0	7.18039	18.7699
"TRINITY_DN63081_c0_g1_i8"	0	0.860956	6.45964
"TRINITY_DN63081_c0_g1_i5"	0	1.8971	11.2129
"TRINITY_DN28791_c8_g1_i1"	0.392487	2.98335	41.7141
"TRINITY_DN28791_c8_g1_i4"	0.256788	2.57098	8.9862
