"118"	"349"	"481"
"TRINITY_DN88421_c0_g1_i1"	0	7.32629	49.6657
"TRINITY_DN88418_c0_g1_i5"	0	0.977312	20.4789
"TRINITY_DN88415_c0_g1_i2"	1.25758	32.2685	60.581
"TRINITY_DN21442_c0_g2_i1"	2.01133	19.0459	176.274
"TRINITY_DN21430_c0_g1_i1"	0.890051	11.5583	274.465
"TRINITY_DN5600_c0_g1_i13"	4.84437	173.943	842.505
"TRINITY_DN5600_c0_g1_i7"	0	7.08763	26.5963
"TRINITY_DN5616_c0_g1_i12"	5.88641	0	20.9346
"TRINITY_DN37821_c0_g1_i10"	0.62926	5.59965	47.1647
"TRINITY_DN37883_c1_g2_i7"	0.931129	10.9096	19.0422
"TRINITY_DN79355_c0_g1_i7"	0.275202	5.2438	22.6778
"TRINITY_DN63028_c0_g1_i2"	5.46572	181.554	336.285
"TRINITY_DN28726_c0_g1_i1"	0	0	0.0240002
"TRINITY_DN28726_c0_g1_i3"	0	0	0.00335874
"TRINITY_DN28791_c8_g1_i1"	0.392487	2.98335	41.7141
"TRINITY_DN79407_c0_g1_i7"	0	3.46942	29.8061
"TRINITY_DN12479_c0_g1_i1"	0	0	0.434887
"TRINITY_DN4791_c0_g1_i1"	3.82184	0	23.8466
"TRINITY_DN4727_c0_g1_i6"	0.940946	0	5.03842
"TRINITY_DN4776_c3_g1_i6"	0.966892	0.0350717	6.36624
"TRINITY_DN4739_c0_g1_i10"	75.4613	1.23594	285.18
"TRINITY_DN4740_c0_g1_i4"	2.07377	0.144888	6.40007
"TRINITY_DN28829_c0_g1_i7"	0.18458	1.77316	2.70964
"TRINITY_DN71273_c0_g1_i10"	0	0	20.7818
"TRINITY_DN71273_c0_g1_i8"	0.586966	5.65813	36.093
"TRINITY_DN71214_c0_g2_i6"	0.269878	2.82962	6.98044
"TRINITY_DN19752_c1_g1_i5"	0	0	0.306045
"TRINITY_DN19796_c0_g1_i8"	0.278525	5.45327	37.2212
"TRINITY_DN19737_c0_g1_i17"	6.57051	2.98837e-10	31.5851
"TRINITY_DN19737_c0_g1_i10"	7.30978	0	72.8697
"TRINITY_DN19789_c0_g1_i2"	0	0	0.22606
