"id118_TPM"	"id349_TPM"	"id481_TPM"
"TRINITY_DN88415_c0_g1_i2"	1.25758	32.2685	60.581
"TRINITY_DN88434_c0_g1_i2"	0	2.27989	4.83787
"TRINITY_DN88495_c1_g1_i5"	0.247034	3.76044	7.71114
"TRINITY_DN21492_c0_g2_i1"	0	2.40558	2.7132
"TRINITY_DN21431_c2_g1_i7"	0	4.10726	5.63751
"TRINITY_DN21460_c0_g1_i38"	0.173828	7.29234	13.0825
"TRINITY_DN5644_c10_g1_i4"	0	16.8455	20.5229
"TRINITY_DN5608_c1_g1_i1"	0	11.7062	12.2329
"TRINITY_DN5621_c1_g1_i1"	0	31.6857	33.6809
"TRINITY_DN5662_c5_g1_i3"	0.212875	5.02397	6.9232
"TRINITY_DN37868_c0_g1_i2"	0	15.5752	19.3225
"TRINITY_DN37855_c1_g1_i1"	0	3.22828	3.38386
"TRINITY_DN37883_c1_g2_i7"	0.931129	10.9096	19.0422
"TRINITY_DN63097_c1_g1_i1"	0.139601	3.31562	4.59524
"TRINITY_DN63036_c4_g1_i6"	0	3.41738	7.79046
"TRINITY_DN63036_c4_g1_i1"	0	2.31129	3.39275
"TRINITY_DN63081_c0_g1_i6"	0	2.77814	2.54575
"TRINITY_DN63028_c0_g1_i2"	5.46572	181.554	336.285
"TRINITY_DN80222_c0_g1_i2"	0	4.04435	3.85153
"TRINITY_DN28745_c1_g3_i1"	0	2.42161	3.41525
"TRINITY_DN28745_c1_g1_i5"	0	5.11491	4.95755
"TRINITY_DN28767_c1_g1_i8"	0	19.1105	21.4922
"TRINITY_DN79501_c0_g1_i2"	0	4.17487	3.80397
"TRINITY_DN79491_c0_g1_i4"	0.223145	1.86593	3.11888
"TRINITY_DN12434_c0_g1_i3"	0.0841199	2.6099	3.3611
"TRINITY_DN96625_c0_g1_i2"	0	2.56237	4.4615
"TRINITY_DN96681_c0_g1_i12"	0.17839	3.37968	7.20061
"TRINITY_DN4788_c1_g1_i14"	0	2.88292	3.63904
"TRINITY_DN4723_c0_g1_i5"	0	6.58076	14.7553
"TRINITY_DN4793_c1_g1_i10"	0	7.67649	7.78451
"TRINITY_DN4736_c0_g4_i1"	0	7.50854	6.86112
"TRINITY_DN4738_c0_g1_i20"	0	2.39586	3.96448
"TRINITY_DN80318_c0_g1_i10"	0	5.56996	7.29786
"TRINITY_DN80330_c0_g1_i3"	0.0800649	5.32761	5.90625
"TRINITY_DN80400_c0_g1_i1"	0	4.09249	4.21318
"TRINITY_DN28877_c0_g1_i5"	0	4.56926	3.99919
"TRINITY_DN54014_c0_g1_i3"	0	8.25622	8.4789
"TRINITY_DN19760_c0_g1_i2"	0	6.02412	9.57467
"TRINITY_DN0_c6878_g1_i1"	0	4.19141	8.31617
"TRINITY_DN0_c1047_g1_i4"	0.136286	4.05715	6.7314
"TRINITY_DN0_c6870_g6_i1"	0	4.81619	10.514
"TRINITY_DN0_c2086_g2_i1"	0.461789	1.67544	3.00085
"TRINITY_DN0_c10658_g1_i1"	0.0984635	6.1571	9.90704
"TRINITY_DN0_c157_g4_i3"	0	4.61058	5.21232
"TRINITY_DN0_c7038_g3_i1"	0	1.46874	3.81489
"TRINITY_DN0_c1334_g2_i3"	0	16.0325	14.3521
"TRINITY_DN0_c3104_g1_i5"	0	1.96245	5.0526
