"id132_TPM"	"id334_TPM"	"id485_TPM"
"TRINITY_DN21406_c11_g1_i1"	3.7992	9.78523	8.88182
"TRINITY_DN21486_c0_g1_i4"	2.30182	6.67157	6.49905
"TRINITY_DN5668_c0_g1_i11"	4.77344	8.30202	7.79353
"TRINITY_DN5644_c6_g1_i4"	1.53394	5.83622	4.70635
"TRINITY_DN5644_c0_g1_i9"	20.0672	22.2508	21.4431
"TRINITY_DN37867_c0_g1_i22"	5.32506	8.27048	7.18219
"TRINITY_DN28786_c0_g1_i13"	2.52837	4.68964	4.46483
"TRINITY_DN28770_c0_g1_i2"	5.02347	19.9438	11.685
"TRINITY_DN79463_c0_g1_i14"	5.07799	10.0469	8.22811
"TRINITY_DN12479_c0_g1_i17"	5878.08	7881.82	7088.79
"TRINITY_DN12479_c0_g1_i18"	1.1638	9.15683	2.36404
"TRINITY_DN12479_c0_g1_i14"	21.0905	100.601	36.0907
"TRINITY_DN96666_c3_g1_i2"	5.44516	10.7697	7.53443
"TRINITY_DN4795_c0_g1_i22"	17.3141	39.2093	26.8679
"TRINITY_DN4718_c7_g1_i2"	8.44296	12.9058	13.224
"TRINITY_DN54027_c2_g1_i7"	2.73042	8.90187	9.69442
"TRINITY_DN71220_c0_g1_i10"	2.95404	11.8229	6.48752
"TRINITY_DN71220_c0_g1_i14"	3.48093	7.24995	4.74575
"TRINITY_DN71228_c0_g2_i11"	3.64851	8.69022	9.42263
"TRINITY_DN0_c718_g1_i1"	3.62627	4.20838	3.83698
"TRINITY_DN7_c86_g1_i6"	6.7307	13.8115	13.2402
"TRINITY_DN7_c17_g1_i3"	1.81574	7.27547	9.15692
"TRINITY_DN37_c0_g1_i6"	11.0986	15.8176	16.0916
"TRINITY_DN88_c0_g1_i8"	3.33653	5.3953	4.76176
"TRINITY_DN38_c1_g1_i10"	6.89411	14.6377	8.85545
"TRINITY_DN10_c17_g1_i6"	2.37053	8.57048	3.78492
"TRINITY_DN13_c0_g1_i19"	2.12246	5.26785	3.03621
"TRINITY_DN17_c0_g2_i1"	2.68638	4.9975	4.20718
"TRINITY_DN68_c0_g1_i2"	2.85034	6.01366	7.15627
"TRINITY_DN42_c0_g1_i1"	2.51717	5.46179	3.54979
"TRINITY_DN67_c0_g1_i3"	2.05445	8.90113	3.67545
"TRINITY_DN24_c0_g1_i3"	4.64717	15.3866	10.2389
"TRINITY_DN23_c0_g1_i25"	1.8644	4.18859	4.17361
"TRINITY_DN23_c0_g1_i11"	3.80562	13.4028	9.38628
"TRINITY_DN73_c0_g1_i1"	3.20115	4.7316	3.75196
"TRINITY_DN36_c0_g1_i3"	1.44225	8.16165	2.9706
"TRINITY_DN3_c13_g3_i2"	23.4513	47.9119	39.8392
"TRINITY_DN40_c0_g1_i4"	4.84087	4.93376	4.95486
"TRINITY_DN40_c1_g1_i2"	10.4622	21.5308	13.1253
"TRINITY_DN20614_c1_g1_i6"	2.98765	4.07336	3.66553
"TRINITY_DN3840_c7_g1_i1"	5.19583	14.1192	10.889
"TRINITY_DN3891_c1_g2_i1"	0.872396	5.71461	3.57467
"TRINITY_DN3891_c1_g1_i14"	0.305519	8.68999	5.5288
"TRINITY_DN3826_c0_g1_i21"	14.1908	47.4598	27.0075
"TRINITY_DN3826_c0_g1_i25"	0.919719	4.61086	5.07152
"TRINITY_DN3826_c0_g1_i24"	3.90559	5.42444	4.39126
"TRINITY_DN3826_c0_g1_i10"	122.695	317.604	362.362
"TRINITY_DN3803_c15_g1_i2"	5.54296	9.09819	6.88408
"TRINITY_DN3850_c0_g1_i5"	13.1657	18.9692	20.3845
"TRINITY_DN3892_c0_g1_i1"	2.63755	14.4213	11.6381
"TRINITY_DN3822_c3_g1_i1"	25.665	27.7765	26.0609
"TRINITY_DN3823_c0_g2_i16"	10.2979	12.9811	11.8605
"TRINITY_DN3843_c1_g1_i7"	20.1533	38.1551	25.2702
"TRINITY_DN3802_c0_g1_i35"	4.56829	10.4958	6.02269
"TRINITY_DN3809_c0_g1_i2"	9.32996	27.8562	13.8974
"TRINITY_DN3837_c0_g1_i20"	17.3793	35.961	35.055
"TRINITY_DN3837_c0_g1_i6"	70.943	281.342	220.575
"TRINITY_DN3868_c0_g2_i6"	3.04757	3.98069	3.57998
"TRINITY_DN71403_c0_g1_i1"	4.75439	15.6264	10.4988
"TRINITY_DN11690_c0_g1_i34"	1.32004	4.98479	6.25885
"TRINITY_DN11614_c0_g1_i32"	1.71169	4.92456	4.50643
"TRINITY_DN11676_c1_g1_i3"	2.29276	7.37999	4.86174
"TRINITY_DN2992_c0_g2_i6"	1.89084	6.41887	4.66368
"TRINITY_DN2929_c0_g1_i12"	2.25678	6.34599	3.15336
"TRINITY_DN2958_c2_g1_i17"	2.16931	5.72232	6.05434
"TRINITY_DN2965_c0_g1_i45"	3.94797	6.54623	7.2311
"TRINITY_DN2999_c0_g1_i1"	1.98251	4.1032	4.64324
"TRINITY_DN2972_c0_g1_i6"	4.03762	6.28964	6.45027
"TRINITY_DN2933_c0_g2_i4"	2.07768	5.04194	3.10904
"TRINITY_DN2960_c0_g1_i9"	3.08646	4.57327	3.41651
"TRINITY_DN53121_c0_g1_i7"	3.48492	4.54567	4.18433
"TRINITY_DN53268_c0_g1_i11"	4.13226	5.83292	5.58125
"TRINITY_DN70433_c2_g1_i1"	0.573258	6.17588	6.41064
"TRINITY_DN18954_c1_g1_i1"	2.66184	10.3139	5.04931
"TRINITY_DN77753_c0_g1_i1"	5.78068	12.4816	13.309
"TRINITY_DN9646_c0_g1_i4"	2.12623	4.29093	4.36912
"TRINITY_DN9675_c0_g2_i4"	9.17357	14.3838	14.4964
"TRINITY_DN77808_c0_g1_i43"	5.56706	7.62168	6.55201
"TRINITY_DN10844_c0_g1_i10"	1.85559	6.43068	2.67762
"TRINITY_DN10858_c0_g1_i5"	5.31094	7.61571	5.83086
"TRINITY_DN10851_c1_g1_i17"	2.18739	5.24796	3.20621
"TRINITY_DN8787_c0_g1_i2"	3.18771	6.02505	4.01425
"TRINITY_DN8707_c0_g1_i7"	2.0197	6.40299	5.5448
"TRINITY_DN2024_c0_g1_i22"	5.71857	8.89304	7.88556
"TRINITY_DN2024_c0_g1_i25"	3.222	7.66061	7.39081
"TRINITY_DN2025_c0_g1_i18"	1.23068	5.22886	5.56395
