"id151_TPM"	"id254_TPM"	"id445_TPM"
"TRINITY_DN88474_c0_g1_i2"	84.5264	57.9113	33.1837
"TRINITY_DN21482_c1_g1_i1"	5.13632	5.12012	1.64956
"TRINITY_DN21433_c0_g2_i6"	20.346	12.2346	3.63819
"TRINITY_DN21454_c1_g1_i2"	41.3967	24.778	0
"TRINITY_DN21406_c0_g1_i10"	7.56988	6.50708	3.1203
"TRINITY_DN5656_c1_g1_i2"	12.5821	7.43087	4.59421
"TRINITY_DN5612_c3_g1_i6"	6.03438	3.44184	3.15915
"TRINITY_DN5612_c17_g1_i3"	13.9102	10.294	0.958401
"TRINITY_DN5612_c10_g4_i2"	207.738	190.982	83.8629
"TRINITY_DN5643_c3_g1_i3"	6.21317	3.26027	0.897252
"TRINITY_DN5634_c0_g1_i5"	9.29104	8.25937	2.15859
"TRINITY_DN5632_c0_g2_i2"	31.3192	23.4024	6.77155
"TRINITY_DN5662_c1_g1_i15"	5.87523	3.62175	2.83913
"TRINITY_DN5662_c0_g1_i10"	5.97728	2.81896	1.8287
"TRINITY_DN5622_c0_g1_i4"	9.27603	9.09171	3.90765
"TRINITY_DN5622_c0_g1_i7"	70.7	64.8037	32.1816
"TRINITY_DN5637_c1_g1_i4"	27.7227	21.5	16.1004
"TRINITY_DN5616_c8_g1_i1"	336.945	267.878	89.3522
"TRINITY_DN5616_c0_g1_i12"	122.466	71.6389	58.0509
"TRINITY_DN5616_c11_g1_i1"	16.6468	16.6314	3.26511
"TRINITY_DN5602_c0_g2_i1"	11.0072	6.35221	5.83831
"TRINITY_DN5602_c0_g1_i1"	12.1649	9.87125	7.26804
"TRINITY_DN37855_c0_g2_i5"	7.60681	4.39467	0
"TRINITY_DN37810_c0_g1_i7"	30.9537	32.03	10.5718
"TRINITY_DN28779_c0_g1_i9"	18.1748	15.5681	3.06788
"TRINITY_DN28787_c0_g1_i1"	11.1963	8.91282	5.57797
"TRINITY_DN28722_c2_g1_i1"	335.254	167.398	53.3751
"TRINITY_DN79479_c0_g1_i3"	5.63107	5.22061	2.7809
"TRINITY_DN12440_c0_g2_i1"	63.0362	65.0774	21.5173
"TRINITY_DN12422_c10_g2_i1"	6.74774	5.31063	1.19064
"TRINITY_DN12400_c0_g1_i1"	5.62617	4.12435	1.74568
"TRINITY_DN12428_c0_g2_i1"	6.31884	4.74987	2.8708
"TRINITY_DN12487_c0_g1_i1"	77.5661	45.277	13.983
"TRINITY_DN12419_c2_g1_i1"	7.95409	4.58616	3.01908e-09
"TRINITY_DN12416_c0_g1_i2"	117.623	101.372	84.7519
"TRINITY_DN4775_c7_g1_i2"	13.2775	6.35753	2.29405
"TRINITY_DN4718_c4_g1_i2"	7.21471	5.10488	4.38254
"TRINITY_DN4727_c0_g1_i6"	30.8224	20.9503	17.2807
"TRINITY_DN4776_c3_g1_i1"	16.6923	14.6231	4.89009
"TRINITY_DN4789_c3_g4_i1"	5.67802	4.76458	2.57449
"TRINITY_DN4789_c6_g1_i1"	52.5095	25.1654	25.0531
"TRINITY_DN4728_c1_g1_i2"	5.7535	5.60016	4.68461
"TRINITY_DN4739_c0_g2_i8"	846.098	636.446	120.568
"TRINITY_DN4739_c0_g2_i17"	7.34213	2.9112	1.70272
"TRINITY_DN4739_c0_g3_i7"	4218.38	1871.11	501.79
"TRINITY_DN4739_c5_g1_i5"	7.31872	3.64322	0.812373
"TRINITY_DN4739_c0_g1_i5"	2413.78	1910.11	206.407
"TRINITY_DN4739_c0_g1_i35"	123.008	121.156	26.6265
"TRINITY_DN4739_c0_g1_i17"	6766.17	2560.51	537.449
"TRINITY_DN4739_c0_g1_i10"	5132.11	3700.33	716.244
