"151"	"254"	"445"
"TRINITY_DN21434_c5_g1_i3"	230.817	334.111	17.5582
"TRINITY_DN21406_c11_g1_i1"	10.4266	17.0631	5.05908
"TRINITY_DN5644_c12_g1_i16"	23.3089	30.7846	14.492
"TRINITY_DN5644_c0_g1_i9"	32.6997	42.6831	17.7876
"TRINITY_DN5612_c10_g4_i2"	207.738	190.982	83.8629
"TRINITY_DN5622_c0_g1_i7"	70.7	64.8037	32.1816
"TRINITY_DN5616_c8_g1_i1"	336.945	267.878	89.3522
"TRINITY_DN5616_c0_g1_i3"	28.5018	54.3402	2.06432
"TRINITY_DN5616_c0_g3_i5"	21.855	24.6002	0
"TRINITY_DN37810_c0_g1_i7"	30.9537	32.03	10.5718
"TRINITY_DN28742_c0_g1_i10"	46.716	64.8036	13.5441
"TRINITY_DN28779_c0_g1_i3"	54.2404	64.1047	4.11227
"TRINITY_DN28779_c0_g1_i9"	18.1748	15.5681	3.06788
"TRINITY_DN28769_c0_g1_i1"	1.43293	2.02859	0
"TRINITY_DN12483_c0_g1_i3"	23.0584	27.1895	3.06345
"TRINITY_DN12440_c0_g2_i1"	63.0362	65.0774	21.5173
"TRINITY_DN12416_c0_g1_i4"	231.604	302.56	179.818
"TRINITY_DN4776_c5_g1_i2"	34.5107	56.2211	0.467693
"TRINITY_DN4714_c2_g1_i1"	58.8516	75.259	24.1065
"TRINITY_DN4739_c0_g2_i8"	846.098	636.446	120.568
"TRINITY_DN4739_c0_g1_i5"	2413.78	1910.11	206.407
"TRINITY_DN4739_c0_g1_i13"	60.1205	77.1907	10.801
"TRINITY_DN4739_c0_g1_i35"	123.008	121.156	26.6265
"TRINITY_DN4712_c0_g1_i12"	28.1291	28.2596	7.37261
"TRINITY_DN4750_c0_g1_i4"	23.3098	34.7275	0
"TRINITY_DN19726_c0_g1_i1"	45.2511	45.0393	11.6286
"TRINITY_DN0_c1334_g2_i3"	0.352681	0.547834	0.219722
"TRINITY_DN0_c952_g2_i1"	4.45934	5.13524	0
"TRINITY_DN0_c2183_g1_i1"	67.4266	108.699	20.9194
"TRINITY_DN4_c1_g1_i30"	84.7965	148.011	10.9257
"TRINITY_DN4_c1_g1_i19"	110.669	113.952	37.9013
"TRINITY_DN4_c9_g2_i3"	42.5754	49.9845	20.2984
"TRINITY_DN4_c130_g1_i3"	0.422749	0.436099	0.100285
"TRINITY_DN4_c25_g1_i4"	2.42841	1.99086	0
"TRINITY_DN14_c67_g1_i5"	6.5812	8.18982	3.78848
"TRINITY_DN14_c1_g1_i5"	59.9656	55.0439	22.0579
