"id151_TPM"	"id254_TPM"	"id445_TPM"
"TRINITY_DN21468_c0_g1_i25"	0.217586	13.946	0
"TRINITY_DN21430_c0_g1_i1"	2.0327	15.2227	9.42215
"TRINITY_DN5651_c0_g1_i3"	10.9847	19.2245	9.19584
"TRINITY_DN5612_c6_g1_i9"	3.29449	6.78785	4.37139
"TRINITY_DN5612_c12_g1_i1"	16.5128	18.8348	17.3279
"TRINITY_DN5621_c1_g1_i1"	0	10.7883	0
"TRINITY_DN5600_c0_g1_i13"	1.93359	27.4756	14.8916
"TRINITY_DN37855_c0_g2_i3"	4.48796	9.55715	4.35078
"TRINITY_DN63028_c0_g1_i2"	7.39747	60.9729	3.63326
"TRINITY_DN28777_c0_g2_i1"	1.06526	13.0097	0.500721
"TRINITY_DN4791_c0_g1_i1"	67.3346	88.0817	68.7902
"TRINITY_DN4796_c0_g1_i5"	39.2131	72.6237	35.4874
"TRINITY_DN4789_c0_g3_i1"	2.78711	6.0452	2.24418
"TRINITY_DN4739_c0_g3_i2"	0	9.62827	2.44707
"TRINITY_DN28872_c3_g1_i4"	3.64733	6.13955	3.50348
"TRINITY_DN71258_c0_g1_i5"	2.50948	8.02573	5.16572
"TRINITY_DN0_c2926_g4_i1"	14.799	24.6684	17.6895
"TRINITY_DN4_c1_g1_i5"	1.35389	13.8083	1.85893
"TRINITY_DN4_c1_g1_i59"	5.43366	11.9121	10.0334
"TRINITY_DN4_c0_g1_i31"	1.9839	8.69026	0.622976
"TRINITY_DN4_c0_g1_i57"	0.591313	11.0337	1.84254
"TRINITY_DN4_c0_g1_i64"	0	23.5939	0
"TRINITY_DN14_c26_g1_i5"	0	14.8	0.347484
"TRINITY_DN14_c26_g1_i2"	0.300968	11.0358	0
"TRINITY_DN7_c2_g1_i1"	4.29011	5.46005	4.48368
"TRINITY_DN10_c0_g1_i4"	1.63859	14.8743	0.535131
"TRINITY_DN10_c0_g2_i31"	2.48342	4.32586	3.78772
"TRINITY_DN10_c0_g2_i17"	1.7566	13.682	0.917841
"TRINITY_DN10_c0_g2_i44"	0.869055	17.9495	1.05559
"TRINITY_DN96_c9_g1_i1"	7.50766	10.7562	7.84051
"TRINITY_DN22_c12_g1_i9"	3.10887e-08	21.0328	1.15683
"TRINITY_DN3_c1_g5_i9"	0.906166	9.24259	0.141601
"TRINITY_DN3_c1_g4_i56"	0.765364	9.70489	2.31476
"TRINITY_DN3_c1_g4_i60"	4.60663	24.741	6.23737
"TRINITY_DN3_c1_g4_i44"	1.64618	17.4148	2.13874
