"id113_TPM"	"id222_TPM"	"id425_TPM"
"TRINITY_DN5644_c14_g1_i3"	15.7202	1.19692	0.970207
"TRINITY_DN37814_c0_g1_i3"	335.215	45.1789	120.544
"TRINITY_DN37814_c0_g1_i9"	7.78355	1.20381	3.61659
"TRINITY_DN37883_c0_g2_i3"	8.45356	0.597968	2.74835
"TRINITY_DN28790_c1_g2_i4"	19.8219	0	0.259945
"TRINITY_DN28779_c0_g1_i9"	18.4248	4.67519e-08	1.46132
"TRINITY_DN96666_c1_g1_i1"	10.0732	1.76796	6.25119
"TRINITY_DN4778_c1_g1_i2"	31.7958	5.2134	7.60619
"TRINITY_DN28802_c1_g1_i2"	90.8493	14.3478	37.1983
"TRINITY_DN28872_c0_g1_i12"	35.4854	6.9845	6.14965
"TRINITY_DN28800_c2_g1_i1"	6.68757	1.32099	2.24533
"TRINITY_DN54027_c3_g1_i12"	42.4131	3.68137	8.27366
"TRINITY_DN54027_c3_g1_i2"	45.1601	4.99576	13.0749
"TRINITY_DN71283_c0_g1_i2"	6.16352	2.34789	4.15932
"TRINITY_DN0_c1046_g1_i1"	5.78644	1.76403	3.09218
"TRINITY_DN0_c576_g1_i1"	9.62485	0.449803	0.778657
"TRINITY_DN0_c10636_g1_i1"	3237.79	312.755	613.394
"TRINITY_DN0_c2715_g4_i1"	54.7634	5.92868	12.5558
"TRINITY_DN0_c397_g1_i1"	8.29536	1.63026	2.74369
"TRINITY_DN77_c0_g2_i2"	32.7756	0.000330228	3.15372
"TRINITY_DN10_c54_g1_i3"	247.187	0	5.77364
"TRINITY_DN3_c1_g4_i15"	6.38009	2.01138	2.61732
"TRINITY_DN3_c1_g4_i65"	14.224	3.2253	7.34907
"TRINITY_DN3_c119_g2_i1"	55.8017	8.17739	18.8523
"TRINITY_DN3_c1_g6_i7"	46.5308	13.46	17.3447
"TRINITY_DN60_c0_g1_i9"	110.983	4.91476	22.9345
"TRINITY_DN60_c0_g1_i19"	11.4765	1.92165	3.78699
"TRINITY_DN87706_c0_g1_i1"	27.9611	4.3153	11.2684
"TRINITY_DN3828_c0_g1_i12"	14.3042	0.323961	0
"TRINITY_DN71349_c0_g2_i1"	94.1978	7.85836	24.0407
"TRINITY_DN27973_c1_g1_i3"	31.4884	2.69808	9.32052
"TRINITY_DN27990_c1_g1_i1"	15.2623	1.22886	3.84571
"TRINITY_DN27912_c1_g1_i1"	29.6574	4.483	11.4392
"TRINITY_DN11612_c18_g2_i1"	19.87	1.02628	4.35944
"TRINITY_DN2983_c26_g1_i1"	10.1273	0	0.161694
"TRINITY_DN2908_c1_g1_i11"	86.1065	10.8974	24.5486
"TRINITY_DN2905_c7_g2_i1"	23.5871	3.38452	7.90383
"TRINITY_DN69586_c2_g1_i1"	8.86733	1.49896	3.14272
"TRINITY_DN53217_c3_g2_i3"	21.7659	1.13386	1.13956
"TRINITY_DN53231_c3_g1_i1"	13.656	0	1.94316
"TRINITY_DN70489_c0_g2_i1"	58.1068	7.18655	23.184
"TRINITY_DN18987_c3_g2_i1"	27.872	4.4367	7.42011
"TRINITY_DN18965_c0_g3_i4"	207.705	24.7869	74.3337
"TRINITY_DN18965_c0_g3_i5"	6.07254	3.38054	3.76298
"TRINITY_DN18913_c1_g1_i1"	6.03201	1.1285	3.37766
"TRINITY_DN70510_c0_g1_i4"	9.81762	0.0213441	0.677175
"TRINITY_DN44218_c0_g1_i6"	18.8194	3.43803	7.08361
"TRINITY_DN9630_c0_g1_i9"	12.5774	2.43048	2.94853
"TRINITY_DN9600_c4_g1_i7"	8.10493	1.3754	2.17026
"TRINITY_DN77876_c1_g1_i6"	43.705	9.56641	22.4169
"TRINITY_DN35155_c1_g1_i3"	38.7268	9.15037	12.3949
"TRINITY_DN35115_c0_g1_i1"	7.86729	1.04126	2.6589
"TRINITY_DN35145_c6_g1_i1"	57.3031	6.84525	18.8535
"TRINITY_DN10880_c3_g1_i16"	31.0826	2.28748	1.61922
"TRINITY_DN26078_c0_g1_i4"	26.1321	5.3377	13.2714
"TRINITY_DN26063_c0_g1_i12"	21.1952	3.1147	7.44967
"TRINITY_DN26022_c0_g1_i2"	31.4241	8.89207	13.2478
"TRINITY_DN52500_c0_g1_i5"	16.9782	2.4443	6.27643
"TRINITY_DN52495_c3_g1_i1"	61.6303	11.5727	15.8937
"TRINITY_DN8788_c2_g2_i1"	8.75475	0.740295	0.529232
"TRINITY_DN26142_c0_g1_i5"	111.848	19.4737	22.4689
"TRINITY_DN43330_c0_g1_i1"	9.49475	1.55437	5.2102
"TRINITY_DN17092_c0_g2_i15"	9.11622	3.96947	6.65654
"TRINITY_DN470_c8_g1_i6"	7.78295	1.39118	3.52578
"TRINITY_DN43472_c1_g2_i1"	64.4156	6.28662	21.9781
"TRINITY_DN7824_c0_g1_i22"	16.7485	1.36181	6.4718
"TRINITY_DN1198_c1_g1_i5"	15.9071	0	0.287385
"TRINITY_DN1172_c2_g2_i8"	9.5186	0.359778	0.15129
"TRINITY_DN17154_c2_g1_i2"	7.13438	2.70299	3.25287
"TRINITY_DN17115_c0_g1_i11"	610.739	98.432	220.863
"TRINITY_DN17115_c0_g1_i6"	103.925	17.7485	56.2287
"TRINITY_DN34332_c0_g1_i30"	8.43069	0.967098	1.73094
"TRINITY_DN34354_c6_g1_i1"	63.8082	10.5868	16.0799
"TRINITY_DN34337_c4_g1_i1"	14.0404	1.88176	5.48385
"TRINITY_DN67962_c0_g3_i2"	60.2601	5.37727	20.4688
"TRINITY_DN67939_c0_g1_i12"	12.1074	0	0
"TRINITY_DN67992_c0_g1_i13"	21.8353	0.689369	4.344
"TRINITY_DN67992_c0_g1_i1"	42.3248	5.45492	14.4851
"TRINITY_DN67915_c0_g1_i2"	18.701	3.45504	4.07805
"TRINITY_DN51625_c0_g1_i3"	19.0722	2.39379	6.04523
"TRINITY_DN6981_c0_g1_i3"	26.3113	1.1313	1.81078
"TRINITY_DN42506_c0_g2_i1"	166.333	55.4824	103.44
"TRINITY_DN16276_c0_g2_i2"	48.3074	3.95223	13.8452
"TRINITY_DN16246_c0_g1_i5"	303.07	4.81259	13.7423
"TRINITY_DN16238_c2_g2_i8"	18.3639	0	1.12507
"TRINITY_DN16238_c4_g1_i3"	9.82068	1.43085	1.23163
"TRINITY_DN49890_c0_g1_i1"	17.935	4.14528	7.77515
"TRINITY_DN16365_c2_g1_i1"	56.8228	8.91415	21.4535
"TRINITY_DN16328_c1_g1_i10"	22.4379	1.78891	4.87129
"TRINITY_DN92336_c0_g1_i6"	13.6735	3.04557	3.37743
"TRINITY_DN24576_c1_g1_i1"	1213.55	56.5503	193.171
"TRINITY_DN24578_c1_g1_i1"	20.167	1.22483	3.12847
"TRINITY_DN41749_c0_g1_i14"	63.1342	10.6289	25.5284
"TRINITY_DN41721_c0_g1_i9"	8.46781	1.23363	2.55639
"TRINITY_DN41708_c0_g1_i1"	76.925	2.60671	20.2651
"TRINITY_DN41776_c0_g1_i3"	257.9	35.7813	93.8717
"TRINITY_DN15451_c1_g1_i13"	10.3642	9.16869e-10	0
"TRINITY_DN6016_c0_g1_i31"	27.9956	0.67113	7.58784
"TRINITY_DN6047_c1_g1_i2"	24.6968	3.45731	13.2048
"TRINITY_DN6006_c2_g1_i3"	12.5088	0	0.654354
"TRINITY_DN41836_c1_g1_i2"	18.7582	0.690024	0.336956
"TRINITY_DN41809_c0_g1_i16"	22.4167	3.46346	8.11156
"TRINITY_DN41826_c1_g1_i1"	391.92	47.5976	79.725
"TRINITY_DN41826_c1_g1_i2"	9594.13	778.698	2128.87
"TRINITY_DN41868_c1_g1_i6"	473.852	34.5298	75.5271
"TRINITY_DN83360_c0_g1_i1"	164.131	20.989	62.051
"TRINITY_DN15597_c0_g1_i5"	9.57407	0	1.83755
"TRINITY_DN15585_c4_g1_i16"	35.9132	0.362736	0
"TRINITY_DN57098_c0_g1_i2"	5830.11	736.582	1647.52
"TRINITY_DN32734_c2_g1_i1"	5246.85	617.639	1414.76
"TRINITY_DN32738_c0_g3_i1"	9.00548	0.462944	2.17653
"TRINITY_DN817_c2_g2_i4"	12.5571	0.100014	0.701415
"TRINITY_DN5150_c8_g1_i4"	28.9437	3.60849	10.8527
"TRINITY_DN48067_c0_g1_i4"	14.8965	0.160731	5.28502
"TRINITY_DN40931_c1_g1_i7"	59.8841	7.69166	27.6636
"TRINITY_DN40970_c0_g1_i4"	9.12831	1.71257	4.74568
"TRINITY_DN91654_c2_g1_i1"	1438.52	197.243	485.599
"TRINITY_DN4214_c0_g1_i10"	10.3051	0.0583828	0
"TRINITY_DN4295_c6_g1_i1"	4.0095	3.12915	3.39344
"TRINITY_DN65402_c0_g1_i4"	26.2941	8.75713	17.9912
"TRINITY_DN65367_c0_g1_i8"	9.75025	2.21331	2.21105
"TRINITY_DN73518_c0_g1_i2"	279.666	37.1281	92.5149
"TRINITY_DN90002_c1_g1_i1"	11.5681	2.02205	5.0309
"TRINITY_DN22929_c4_g1_i4"	34.8204	4.16648	7.87772
"TRINITY_DN22935_c4_g1_i5"	36.7742	3.13508	10.1237
"TRINITY_DN22982_c0_g2_i5"	10.7213	0.649004	1.85248
"TRINITY_DN64460_c0_g1_i6"	203.954	25.9357	70.4413
"TRINITY_DN38117_c0_g1_i4"	6.57417	2.56304	3.80546
"TRINITY_DN13895_c0_g1_i22"	64.1098	13.3786	21.4758
"TRINITY_DN64584_c0_g2_i8"	10.2834	1.36484	1.30785
"TRINITY_DN81861_c0_g1_i5"	18.2083	0.510561	4.87159
"TRINITY_DN81861_c0_g1_i7"	257.482	38.0554	87.5057
"TRINITY_DN30061_c2_g1_i1"	18.7694	2.20782	4.34983
"TRINITY_DN9113_c0_g1_i2"	8.97268	0.93076	1.1277
"TRINITY_DN9190_c4_g1_i1"	21.9907	4.2968	8.15171
"TRINITY_DN9158_c1_g1_i5"	131.094	14.8934	32.5266
"TRINITY_DN88018_c0_g2_i2"	10.0065	0.818128	1.58007
"TRINITY_DN21095_c0_g1_i3"	34.0005	5.99194	19.8528
"TRINITY_DN21013_c2_g2_i2"	7.84292	1.86924	2.79998
"TRINITY_DN21007_c0_g1_i12"	16.2456	0.821701	0.36931
"TRINITY_DN37467_c1_g1_i5"	53.2645	5.57061	11.348
"TRINITY_DN8217_c0_g1_i1"	11.8776	2.11409	2.42695
"TRINITY_DN79045_c0_g2_i3"	17.2883	1.89017	5.12221
"TRINITY_DN54723_c4_g1_i1"	12.656	0.182949	1.03627
"TRINITY_DN12090_c1_g1_i1"	37.2426	7.57538	19.5706
"TRINITY_DN12022_c0_g1_i2"	238.353	33.2817	85.1357
"TRINITY_DN12032_c1_g2_i1"	22.5567	3.32269	11.5594
"TRINITY_DN12067_c6_g1_i1"	36.4765	6.31386	11.3028
"TRINITY_DN87304_c0_g1_i1"	36.2987	4.14535	12.6528
"TRINITY_DN62988_c0_g1_i4"	8.01126	3.03569	4.60087
"TRINITY_DN62964_c0_g1_i1"	95.8907	13.0615	31.6226
"TRINITY_DN36689_c3_g1_i1"	36.299	5.82301	8.52415
"TRINITY_DN53827_c1_g2_i2"	28.4383	4.00282	11.0201
"TRINITY_DN27599_c0_g2_i2"	52.3564	8.88209	20.9678
"TRINITY_DN27569_c0_g1_i11"	10.1005	2.30749	2.11014
"TRINITY_DN11286_c0_g1_i5"	19.052	1.25707	3.65965
"TRINITY_DN11286_c0_g1_i10"	47.7597	7.11295	18.4629
"TRINITY_DN11234_c16_g1_i6"	11.5336	0.00316629	0.0868468
"TRINITY_DN69200_c0_g1_i1"	117.423	3.30695	22.3285
"TRINITY_DN70034_c0_g2_i1"	8.51604	1.65531	2.83874
"TRINITY_DN18539_c4_g1_i9"	8.78033	1.99156	1.96415
"TRINITY_DN18509_c1_g1_i10"	7.68697	0.621584	1.86575
"TRINITY_DN18535_c0_g2_i8"	50.5911	4.55006	12.1097
"TRINITY_DN18527_c2_g1_i3"	13.0783	0.456387	1.70502
"TRINITY_DN5455_c0_g1_i4"	59.7757	7.72925	6.44979
"TRINITY_DN5455_c0_g2_i2"	12.3298	1.15792	2.15849
"TRINITY_DN5455_c0_g2_i5"	42.37	3.5875	5.15386
"TRINITY_DN5484_c0_g1_i3"	12.284	0.848091	0.778983
"TRINITY_DN5484_c1_g3_i3"	116.291	14.0313	37.3891
"TRINITY_DN70173_c0_g1_i2"	39.1573	0	1.2389
"TRINITY_DN77343_c0_g1_i1"	55.0524	5.60842	14.8006
