"id072_TPM"	"id294_TPM"
"TRINITY_DN21442_c0_g2_i1"	2.36306	5.32807
"TRINITY_DN21433_c0_g2_i6"	0.823744	5.99058
"TRINITY_DN21433_c0_g2_i1"	0.491485	5.21646
"TRINITY_DN21406_c0_g1_i7"	0.62458	9.71509
"TRINITY_DN21406_c0_g1_i10"	3.69316	8.13916
"TRINITY_DN21430_c0_g1_i1"	1.10437	9.68356
"TRINITY_DN5656_c1_g1_i8"	1.08032	5.17228
"TRINITY_DN5656_c1_g1_i2"	0.760621	9.76405
"TRINITY_DN5644_c7_g1_i1"	2.66922	15.3068
"TRINITY_DN5612_c3_g1_i4"	0	5.24464
"TRINITY_DN5612_c20_g3_i3"	4.58477	13.0941
"TRINITY_DN5600_c0_g1_i13"	0.755477	19.2408
"TRINITY_DN5601_c0_g1_i10"	0	6.13033
"TRINITY_DN5662_c12_g1_i7"	0.286851	9.48256
"TRINITY_DN5662_c0_g2_i2"	3.75418	10.7597
"TRINITY_DN5662_c0_g3_i1"	0.193551	9.36169
"TRINITY_DN5637_c1_g1_i3"	2.48822	5.29355
"TRINITY_DN5637_c1_g1_i4"	1.28668	23.1497
"TRINITY_DN5616_c0_g1_i6"	0	6.2816
"TRINITY_DN5616_c0_g1_i3"	3.67941	29.6441
"TRINITY_DN5616_c0_g1_i12"	4.16381	139.429
"TRINITY_DN5639_c1_g1_i1"	0.973206	4.99353
"TRINITY_DN5628_c1_g1_i19"	3.37219	8.05007
"TRINITY_DN5631_c0_g1_i2"	1.41914	4.80788
"TRINITY_DN5602_c0_g2_i1"	2.5911	9.82998
"TRINITY_DN5602_c0_g1_i1"	3.70816	13.5255
"TRINITY_DN37810_c0_g1_i7"	5.80688	52.5337
"TRINITY_DN63028_c0_g1_i2"	1.27383	18.5218
"TRINITY_DN28742_c2_g1_i1"	3.39708	4.95091
"TRINITY_DN28779_c0_g1_i3"	3.55491	16.2765
"TRINITY_DN28787_c0_g1_i1"	0.199471	7.58104
"TRINITY_DN28777_c0_g2_i1"	2.91403	4.78949
"TRINITY_DN79479_c0_g1_i3"	2.46645	5.7496
"TRINITY_DN79445_c4_g1_i1"	0.860337	6.49896
"TRINITY_DN12483_c0_g1_i3"	3.524	31.1953
"TRINITY_DN12449_c0_g1_i3"	2.60191	5.04673
"TRINITY_DN12403_c0_g1_i3"	2.25017	3.5513
"TRINITY_DN12473_c0_g1_i7"	0.626806	5.96892
"TRINITY_DN12479_c0_g1_i22"	1.74486	5.0923
"TRINITY_DN12487_c0_g1_i1"	6.31021	33.9001
"TRINITY_DN12453_c1_g1_i1"	0.844982	6.63687
"TRINITY_DN96693_c0_g2_i1"	4.11872	10.52
"TRINITY_DN96678_c0_g1_i1"	0	5.14077
"TRINITY_DN4775_c2_g1_i5"	1.30635	15.123
"TRINITY_DN4775_c2_g3_i2"	6.91036	22.2809
"TRINITY_DN4791_c0_g1_i1"	2.3471	52.6914
"TRINITY_DN4791_c0_g1_i6"	0	5.1978
"TRINITY_DN4727_c0_g1_i10"	1.03606	11.0179
"TRINITY_DN4727_c0_g1_i6"	0	24.7999
"TRINITY_DN4727_c0_g1_i2"	1.66664	9.6295
"TRINITY_DN4776_c5_g1_i2"	3.04458	7.09199
"TRINITY_DN4796_c0_g1_i5"	12.7384	108.492
"TRINITY_DN4789_c3_g3_i1"	2.53311	13.4519
"TRINITY_DN4754_c0_g1_i6"	0.749892	7.92159
"TRINITY_DN4739_c0_g2_i17"	2.49536	3.67909
"TRINITY_DN4739_c0_g3_i2"	0	5.57079
"TRINITY_DN4739_c0_g1_i49"	1.34931	4.27627
"TRINITY_DN4701_c1_g1_i22"	0	6.55099
