"id072_TPM"	"id294_TPM"
"TRINITY_DN21434_c5_g1_i3"	407.342	132.242
"TRINITY_DN5644_c0_g1_i9"	93.6209	43.6488
"TRINITY_DN5612_c10_g4_i2"	156.524	188.329
"TRINITY_DN79478_c1_g1_i1"	175.192	59.1217
"TRINITY_DN12416_c0_g1_i4"	271.982	149.566
"TRINITY_DN96656_c1_g2_i2"	299.817	132.936
"TRINITY_DN96678_c2_g1_i1"	84.0027	24.908
"TRINITY_DN4775_c4_g1_i1"	722.518	162.783
"TRINITY_DN4789_c0_g1_i6"	388.54	120.885
"TRINITY_DN28872_c0_g1_i14"	127.598	34.1313
"TRINITY_DN54093_c2_g1_i4"	448.762	413.184
"TRINITY_DN0_c1330_g1_i1"	120.003	46.6908
"TRINITY_DN0_c2183_g1_i1"	292.918	13.9612
"TRINITY_DN0_c10636_g1_i1"	2053.84	315.479
"TRINITY_DN4_c1_g1_i30"	345.043	76.5701
"TRINITY_DN4_c1_g1_i19"	424.358	76.9799
"TRINITY_DN4_c4_g1_i25"	102.116	29.4973
"TRINITY_DN7_c0_g3_i10"	181.407	234.042
"TRINITY_DN7_c0_g3_i8"	65.7758	34.7882
"TRINITY_DN77_c0_g2_i4"	332.196	48.3536
"TRINITY_DN10_c6_g3_i4"	268.114	157.697
"TRINITY_DN10_c6_g5_i1"	268.114	157.697
"TRINITY_DN28_c2_g1_i2"	161.911	22.2894
"TRINITY_DN3_c668_g2_i2"	654.82	57.2146
"TRINITY_DN3_c0_g1_i19"	361.963	223.067
"TRINITY_DN3_c0_g1_i83"	260.015	75.0686
"TRINITY_DN3_c45_g1_i16"	681.382	147.951
"TRINITY_DN3_c13_g3_i1"	106.834	48.1568
"TRINITY_DN40_c1_g1_i2"	374.214	39.9093
"TRINITY_DN3821_c1_g1_i1"	146.139	28.2031
"TRINITY_DN3843_c1_g1_i7"	92.4108	28.7172
"TRINITY_DN27917_c1_g1_i1"	182.505	49.0346
"TRINITY_DN27973_c1_g1_i3"	5914.62	178.17
"TRINITY_DN2992_c22_g1_i1"	104.791	16.7466
"TRINITY_DN2995_c3_g1_i2"	113.282	44.896
"TRINITY_DN53114_c0_g1_i16"	446.955	386.681
"TRINITY_DN53114_c0_g1_i10"	384.1	386.681
"TRINITY_DN69510_c0_g1_i10"	239.884	103.823
"TRINITY_DN18942_c0_g1_i9"	95.3799	22.5182
"TRINITY_DN70510_c0_g1_i4"	185.469	60.0664
"TRINITY_DN44224_c5_g1_i7"	931.046	283.561
"TRINITY_DN44224_c5_g1_i1"	596.889	92.7165
"TRINITY_DN9640_c0_g1_i1"	127.256	258.603
"TRINITY_DN9678_c0_g1_i1"	227.424	26.8952
"TRINITY_DN9678_c0_g1_i5"	127.737	16.4893
"TRINITY_DN10847_c0_g1_i3"	123.662	161.361
"TRINITY_DN26056_c6_g1_i1"	317.85	164.913
"TRINITY_DN2053_c1_g1_i1"	99.6898	33.5322
"TRINITY_DN26176_c3_g1_i3"	709.988	83.6228
"TRINITY_DN7818_c2_g1_i8"	148.468	37.734
"TRINITY_DN7818_c2_g1_i5"	246.934	322.488
"TRINITY_DN1172_c2_g2_i39"	65.4186	35.4806
"TRINITY_DN1172_c1_g1_i2"	233.003	113.6
"TRINITY_DN1172_c22_g1_i7"	250.213	25.4869
"TRINITY_DN1172_c38_g3_i1"	65.6934	28.647
"TRINITY_DN6915_c4_g1_i4"	256.598	51.7124
"TRINITY_DN6981_c0_g1_i1"	266.355	137.579
"TRINITY_DN6903_c1_g1_i3"	194.032	67.4216
"TRINITY_DN16231_c1_g2_i1"	114.358	15.8968
"TRINITY_DN75134_c1_g1_i1"	527.294	131.063
"TRINITY_DN50815_c0_g1_i4"	284.245	126.119
"TRINITY_DN15451_c0_g1_i3"	466.097	41.2511
"TRINITY_DN6020_c1_g1_i5"	120.539	40.0568
"TRINITY_DN6005_c0_g2_i2"	272.228	171.404
"TRINITY_DN6007_c0_g1_i2"	320.299	85.2276
"TRINITY_DN6052_c0_g1_i5"	155.702	264.452
"TRINITY_DN6061_c5_g1_i6"	373.208	203.765
"TRINITY_DN6061_c0_g1_i2"	108.156	25.9137
"TRINITY_DN15582_c1_g2_i6"	238.895	12.8614
"TRINITY_DN32734_c2_g1_i1"	119.473	25.9731
"TRINITY_DN896_c26_g1_i5"	254.878	12.8633
"TRINITY_DN5114_c2_g1_i20"	130.397	16.0979
"TRINITY_DN5114_c2_g1_i16"	134.979	40.9986
"TRINITY_DN5114_c2_g1_i26"	1167.8	127.757
"TRINITY_DN5114_c2_g1_i13"	86.191	30.5624
"TRINITY_DN5185_c0_g2_i2"	66.367	36.0812
"TRINITY_DN48091_c0_g2_i3"	78.4729	39.6385
"TRINITY_DN23764_c0_g1_i30"	267.533	85.7715
"TRINITY_DN4283_c0_g1_i27"	1394.45	347.113
"TRINITY_DN4261_c0_g1_i10"	109.064	43.3157
"TRINITY_DN4237_c3_g2_i2"	130.537	23.0524
"TRINITY_DN4237_c3_g2_i1"	121.134	45.2996
"TRINITY_DN65309_c0_g2_i1"	211.23	117.016
"TRINITY_DN82506_c2_g1_i5"	488.338	109.092
"TRINITY_DN14718_c1_g1_i29"	176.723	45.3786
"TRINITY_DN56245_c0_g1_i1"	269.632	88.1635
"TRINITY_DN56293_c2_g1_i1"	314.085	45.754
"TRINITY_DN38167_c1_g2_i1"	75.7276	46.0664
"TRINITY_DN13856_c1_g1_i1"	203.051	9.16293
"TRINITY_DN13873_c0_g1_i5"	226.496	223.772
"TRINITY_DN97015_c3_g1_i1"	103.927	38.7821
"TRINITY_DN9125_c1_g1_i23"	65.3612	29.5579
"TRINITY_DN9186_c1_g1_i8"	227.573	237.348
"TRINITY_DN30136_c11_g1_i1"	255.336	253.688
"TRINITY_DN30134_c3_g2_i16"	403.805	136.202
"TRINITY_DN80991_c0_g1_i1"	141.102	13.0039
"TRINITY_DN8273_c7_g1_i3"	444.12	451.855
"TRINITY_DN28333_c0_g1_i2"	152.02	28.2382
"TRINITY_DN71958_c0_g1_i1"	185.404	17.299
"TRINITY_DN36624_c4_g1_i1"	175.587	296.563
"TRINITY_DN36693_c0_g1_i8"	164.942	65.0842
"TRINITY_DN11223_c1_g1_i10"	227.909	95.672
"TRINITY_DN5401_c6_g2_i9"	208.218	32.9787
"TRINITY_DN5455_c1_g1_i23"	265.684	56.7953
"TRINITY_DN5455_c0_g2_i5"	147.678	41.7562
"TRINITY_DN5467_c0_g1_i1"	186.316	128.21
"TRINITY_DN77399_c0_g1_i13"	164.696	134.586
"TRINITY_DN10415_c2_g1_i3"	120.678	28.1821
"TRINITY_DN4595_c3_g1_i1"	310.386	368.383
"TRINITY_DN4541_c0_g1_i5"	656.546	289.453
"TRINITY_DN4594_c0_g1_i2"	126.779	38.3357
"TRINITY_DN3668_c3_g1_i32"	113.089	255.261
"TRINITY_DN3642_c1_g1_i26"	210.966	186.555
"TRINITY_DN93844_c1_g1_i6"	298.348	295.387
"TRINITY_DN2738_c1_g1_i4"	167.097	145.535
"TRINITY_DN2774_c0_g1_i3"	198.336	22.5025
"TRINITY_DN84841_c3_g1_i2"	197.888	358.381
"TRINITY_DN42238_c0_g1_i1"	216.748	59.9118
"TRINITY_DN8569_c0_g1_i3"	162.692	11.9177
"TRINITY_DN6745_c0_g1_i2"	220.053	15.7553
"TRINITY_DN6719_c0_g2_i2"	887.721	260.041
"TRINITY_DN6719_c0_g2_i4"	888.747	262.846
"TRINITY_DN6740_c4_g1_i1"	598.678	366.639
"TRINITY_DN39619_c0_g1_i4"	655.966	302.048
"TRINITY_DN40560_c4_g1_i3"	88.4224	35.9928
"TRINITY_DN14275_c3_g1_i2"	345.176	93.3579
"TRINITY_DN14275_c3_g1_i1"	345.176	93.3579
"TRINITY_DN213_c7_g1_i1"	177.934	50.202
"TRINITY_DN263_c12_g1_i1"	485.614	130.249
"TRINITY_DN226_c4_g1_i12"	400.09	304.009
"TRINITY_DN270_c3_g1_i7"	121.949	21.0786
"TRINITY_DN270_c3_g1_i4"	139.208	34.9108
"TRINITY_DN82156_c0_g1_i4"	251.47	68.2813
"TRINITY_DN14352_c1_g1_i1"	742.397	358.899
"TRINITY_DN38884_c0_g1_i6"	490.779	66.3584
"TRINITY_DN89583_c0_g1_i33"	261.203	11.9087
"TRINITY_DN39000_c0_g1_i1"	218.875	9.98399
"TRINITY_DN30728_c0_g1_i1"	94.7364	41.7083
"TRINITY_DN3987_c4_g1_i7"	380.505	296.879
"TRINITY_DN3987_c4_g1_i3"	313.873	338.376
"TRINITY_DN3959_c1_g3_i2"	347.602	219.206
"TRINITY_DN4030_c3_g1_i1"	529.558	366.853
"TRINITY_DN96992_c0_g1_i1"	137.485	182.448
"TRINITY_DN3163_c1_g3_i1"	61.323	25.6921
"TRINITY_DN3191_c10_g1_i4"	105.651	31.885
"TRINITY_DN3191_c2_g1_i8"	139.462	38.5558
"TRINITY_DN3155_c5_g1_i3"	363.565	73.3881
"TRINITY_DN3178_c0_g1_i10"	136.282	25.5361
"TRINITY_DN20955_c4_g1_i2"	130.384	46.2945
"TRINITY_DN20979_c0_g1_i12"	290.713	35.84
"TRINITY_DN11953_c1_g2_i5"	284.872	49.5281
"TRINITY_DN11927_c1_g1_i4"	156.207	64.0833
"TRINITY_DN44475_c2_g1_i1"	119.303	46.0006
"TRINITY_DN7930_c0_g1_i21"	156.333	14.3881
"TRINITY_DN7985_c0_g1_i3"	155.18	32.7183
"TRINITY_DN7985_c0_g1_i1"	77.6618	32.7603
"TRINITY_DN7907_c0_g1_i4"	288.589	61.3742
"TRINITY_DN18126_c0_g1_i1"	146.734	12.8977
"TRINITY_DN18160_c3_g1_i2"	134.534	206.71
"TRINITY_DN8020_c8_g1_i1"	153.356	22.2365
"TRINITY_DN8033_c15_g1_i14"	88.471	32.501
"TRINITY_DN25665_c3_g1_i3"	127.492	25.7514
"TRINITY_DN16574_c0_g1_i2"	700.128	83.8699
"TRINITY_DN16574_c0_g1_i13"	532.86	76.5226
"TRINITY_DN5285_c0_g1_i3"	153.682	19.9879
"TRINITY_DN58137_c4_g1_i1"	267.64	209.181
"TRINITY_DN4340_c2_g1_i10"	109.906	163.724
"TRINITY_DN4340_c2_g1_i12"	195.289	65.9197
"TRINITY_DN4395_c2_g1_i6"	222.239	99.6975
"TRINITY_DN4395_c2_g1_i4"	463.069	492.87
"TRINITY_DN83701_c1_g1_i8"	158.162	52.0693
"TRINITY_DN3480_c0_g1_i9"	87.0117	28.768
"TRINITY_DN2546_c6_g1_i24"	337.295	28.0993
"TRINITY_DN2555_c0_g1_i3"	179.399	26.8863
"TRINITY_DN2571_c4_g1_i7"	172.281	22.0964
"TRINITY_DN2589_c1_g1_i2"	395.356	4.73573
"TRINITY_DN2572_c10_g1_i1"	142.477	45.1897
"TRINITY_DN14924_c0_g1_i14"	1173.97	196.1
"TRINITY_DN14924_c0_g1_i8"	150	20.3508
"TRINITY_DN14958_c1_g1_i6"	467.754	211.034
"TRINITY_DN9259_c0_g1_i8"	268.936	330.542
"TRINITY_DN9262_c1_g1_i2"	1275.31	109.35
"TRINITY_DN9206_c0_g1_i8"	492.459	35.6925
"TRINITY_DN8385_c1_g2_i2"	111.019	244.829
"TRINITY_DN89183_c1_g1_i5"	85.5724	41.9291
"TRINITY_DN22198_c1_g1_i1"	613.747	233.832
"TRINITY_DN22151_c11_g1_i2"	426.114	172.913
"TRINITY_DN7418_c0_g1_i10"	1000.72	324.473
"TRINITY_DN7400_c5_g1_i10"	618.825	244.086
"TRINITY_DN13194_c0_g1_i2"	144.322	37.3187
"TRINITY_DN97364_c0_g1_i6"	147.965	18.5859
"TRINITY_DN46776_c1_g1_i1"	212.157	134.548
"TRINITY_DN6555_c38_g1_i1"	111.478	158.078
"TRINITY_DN6555_c0_g3_i7"	92.7208	41.6162
"TRINITY_DN6509_c7_g1_i1"	131.124	241.362
"TRINITY_DN6509_c16_g1_i9"	667.423	88.014
"TRINITY_DN6509_c4_g1_i8"	74.3811	48.5793
"TRINITY_DN37662_c2_g2_i3"	217.157	251.191
"TRINITY_DN37662_c5_g1_i1"	86.1983	45.284
"TRINITY_DN79234_c1_g1_i6"	267.309	95.1945
"TRINITY_DN12217_c1_g1_i4"	182.745	120.861
"TRINITY_DN12294_c0_g1_i11"	384.389	52.2576
"TRINITY_DN12253_c0_g1_i6"	140.939	13.3559
"TRINITY_DN12350_c0_g1_i4"	317.865	156.703
"TRINITY_DN19624_c1_g1_i5"	150.508	26.4782
"TRINITY_DN62090_c0_g1_i1"	252.779	57.5132
"TRINITY_DN11468_c2_g1_i9"	319.006	40.9569
"TRINITY_DN11570_c2_g1_i2"	278.657	169.321
"TRINITY_DN11558_c12_g1_i1"	117.453	29.9251
"TRINITY_DN11558_c12_g1_i12"	787.366	99.1094
"TRINITY_DN11559_c1_g1_i12"	163.148	288.642
"TRINITY_DN11559_c1_g1_i50"	182.363	274.771
"TRINITY_DN11578_c3_g1_i16"	486.922	367.58
"TRINITY_DN3703_c2_g1_i8"	110.495	32.2988
"TRINITY_DN70348_c2_g1_i2"	167.57	346.114
"TRINITY_DN2868_c8_g1_i1"	261.745	37.7669
"TRINITY_DN2866_c1_g2_i25"	228.51	65.4205
"TRINITY_DN2866_c227_g1_i1"	135.095	209.245
"TRINITY_DN2866_c180_g1_i1"	179.725	22.6183
"TRINITY_DN2852_c107_g1_i10"	436.993	455.601
"TRINITY_DN35042_c0_g1_i7"	102.55	29.0367
"TRINITY_DN1980_c0_g1_i12"	189.247	19.0642
"TRINITY_DN1923_c0_g1_i2"	293.79	137.408
"TRINITY_DN1971_c0_g1_i5"	321.505	398.583
"TRINITY_DN34287_c4_g1_i1"	66.9768	23.8341
"TRINITY_DN51591_c1_g1_i4"	150.468	47.494
"TRINITY_DN51591_c1_g1_i1"	313.636	62.2443
"TRINITY_DN7722_c0_g1_i25"	62.1426	25.1545
