"id127_TPM"	"id280_TPM"
"TRINITY_DN5600_c0_g1_i13"	24.7506	1272.69
"TRINITY_DN12479_c0_g1_i17"	1913.44	326.766
"TRINITY_DN4739_c0_g3_i7"	1052.33	160.9
"TRINITY_DN4739_c0_g1_i5"	862.617	115.555
"TRINITY_DN4739_c0_g1_i17"	1175.76	179.318
"TRINITY_DN4739_c0_g1_i10"	850.623	178.686
"TRINITY_DN54093_c2_g1_i4"	303.257	53.7322
"TRINITY_DN19754_c7_g1_i1"	532.403	74.8844
"TRINITY_DN0_c10636_g1_i1"	3005.09	299.136
"TRINITY_DN10_c739_g1_i1"	3758.32	377.613
"TRINITY_DN3_c0_g1_i22"	638.766	66.4967
"TRINITY_DN3_c0_g1_i19"	421.931	50.4202
"TRINITY_DN3_c1_g1_i21"	83.3023	7027.78
"TRINITY_DN1_c0_g1_i18"	535.679	47.7959
"TRINITY_DN9680_c1_g1_i3"	48.2396	655.132
"TRINITY_DN10884_c2_g1_i5"	901.761	59.2588
"TRINITY_DN1172_c1_g1_i2"	2087.4	481.248
"TRINITY_DN1172_c1_g1_i1"	1182.74	208.706
"TRINITY_DN17115_c0_g1_i11"	475.444	88.0517
"TRINITY_DN34321_c0_g2_i3"	65.8554	1968.23
"TRINITY_DN34344_c2_g1_i2"	4355	375.695
"TRINITY_DN92356_c1_g1_i5"	93.7422	678.717
"TRINITY_DN92356_c1_g1_i12"	17.1243	1663.29
"TRINITY_DN24576_c1_g1_i1"	980.934	58.7537
"TRINITY_DN41777_c0_g1_i24"	385.888	78.5693
"TRINITY_DN41812_c1_g1_i7"	321.463	41.2018
"TRINITY_DN41826_c1_g1_i1"	368.635	40.1325
"TRINITY_DN41826_c1_g1_i2"	6790.22	659.09
"TRINITY_DN57098_c0_g1_i2"	4876.33	580.048
"TRINITY_DN32734_c2_g1_i1"	3592.04	494.124
"TRINITY_DN817_c0_g1_i7"	5681.2	752.66
"TRINITY_DN5185_c11_g2_i4"	798.544	82.0379
"TRINITY_DN91654_c2_g1_i1"	1255.93	195.47
"TRINITY_DN4294_c3_g1_i7"	300.222	9316.67
"TRINITY_DN4294_c20_g1_i2"	509.205	64.4681
"TRINITY_DN39062_c0_g1_i8"	589.687	62.3901
"TRINITY_DN90889_c3_g1_i20"	139.658	3412.22
"TRINITY_DN8212_c6_g1_i2"	492.6	87.8339
"TRINITY_DN53854_c17_g1_i2"	621.657	110.805
"TRINITY_DN11237_c0_g1_i59"	948.607	97.5992
"TRINITY_DN11244_c0_g1_i9"	342.658	59.7791
"TRINITY_DN11244_c0_g1_i20"	355.694	45.5035
"TRINITY_DN11283_c1_g2_i4"	71.2541	1246.65
"TRINITY_DN17725_c1_g1_i12"	21.8364	664.928
"TRINITY_DN3642_c1_g1_i22"	532.093	72.8484
"TRINITY_DN2779_c60_g3_i7"	6054.68	830.755
"TRINITY_DN2779_c60_g3_i11"	3285.04	443.53
"TRINITY_DN75838_c1_g2_i1"	836.408	64.2915
"TRINITY_DN24175_c0_g1_i3"	49.0977	2025.13
"TRINITY_DN6732_c3_g1_i1"	460.556	41.6006
"TRINITY_DN39655_c0_g1_i3"	674.559	116.066
"TRINITY_DN91291_c1_g1_i2"	560.214	64.2807
"TRINITY_DN40603_c0_g5_i1"	1021.96	134.41
"TRINITY_DN82184_c1_g1_i1"	424.548	81.5651
