"id127_TPM"	"id280_TPM"
"TRINITY_DN3_c13_g2_i1"	13315.4	2204.66
"TRINITY_DN1172_c1_g1_i5"	16278.4	2831.42
"TRINITY_DN16337_c4_g1_i5"	17663.4	2798.28
"TRINITY_DN4294_c3_g1_i7"	300.222	9316.67
"TRINITY_DN2779_c60_g3_i1"	25255.6	3296.72
"TRINITY_DN2779_c60_g2_i1"	23908.5	3152.15
"TRINITY_DN86667_c1_g1_i22"	286.031	8421.97
"TRINITY_DN44091_c0_g2_i5"	320.96	7370.09
"TRINITY_DN24002_c4_g1_i16"	363.521	9382.96
"TRINITY_DN170_c1_g1_i8"	5491.53	144629
"TRINITY_DN41976_c0_g1_i1"	33871.1	5325.46
"TRINITY_DN35928_c0_g2_i4"	204.786	5510.83
"TRINITY_DN46853_c1_g1_i1"	233.492	6901.34
"TRINITY_DN136469_c1_g1_i8"	198.882	5451.72
"TRINITY_DN105558_c0_g1_i2"	524.598	11445.6
"TRINITY_DN167323_c0_g1_i3"	43895.4	5216.9
"TRINITY_DN134765_c0_g1_i6"	657.292	29257.1
"TRINITY_DN135038_c1_g1_i18"	198.244	5227.4
"TRINITY_DN135818_c0_g1_i6"	279.492	8398.95
"TRINITY_DN298690_c2_g1_i1"	48443	4148.26
"TRINITY_DN264692_c0_g1_i7"	610.749	14946.8
"TRINITY_DN290802_c0_g1_i2"	225.657	5459.76
"TRINITY_DN267003_c0_g1_i1"	4108.55	41192.4
"TRINITY_DN402509_c0_g1_i1"	249.699	4859.12
