"127"	"280"
"TRINITY_DN88409_c0_g1_i3"	0.915192	0.0824406
"TRINITY_DN21452_c2_g1_i8"	2.7285	1.57112
"TRINITY_DN21454_c1_g1_i2"	12.7518	3.00818
"TRINITY_DN21443_c0_g1_i2"	0.237891	4.57219
"TRINITY_DN21406_c11_g1_i1"	4.26856	0.322932
"TRINITY_DN5656_c0_g1_i3"	3.51955	0.349989
"TRINITY_DN5651_c2_g3_i1"	0	2.22266
"TRINITY_DN5632_c0_g2_i2"	9.92853	0.380402
"TRINITY_DN5638_c0_g1_i11"	0.0235379	0
"TRINITY_DN5662_c1_g1_i17"	1.74725	0
"TRINITY_DN5662_c21_g2_i1"	0	2.48199
"TRINITY_DN5616_c0_g3_i5"	2.93155	1.47844
"TRINITY_DN5605_c6_g1_i1"	0.590484	0.113421
"TRINITY_DN37883_c0_g2_i3"	5.10839	0.912104
"TRINITY_DN37810_c4_g1_i3"	1.22734	0
"TRINITY_DN37863_c0_g1_i1"	0	0.0345536
"TRINITY_DN79315_c0_g2_i1"	0	2.02279
"TRINITY_DN63083_c0_g5_i1"	0	0.327077
"TRINITY_DN63034_c1_g1_i3"	0.0539233	0
"TRINITY_DN28742_c0_g1_i10"	6.80164	1.38009
"TRINITY_DN28708_c1_g1_i6"	0	0.000272963
"TRINITY_DN28764_c0_g1_i1"	0	0.0191972
"TRINITY_DN28721_c2_g2_i1"	0	0.586263
"TRINITY_DN28760_c7_g1_i1"	0	6.65925
"TRINITY_DN28777_c1_g1_i1"	0	7.26025
"TRINITY_DN28710_c0_g1_i2"	0	0.219663
"TRINITY_DN28769_c0_g1_i1"	0	2.16801
"TRINITY_DN28767_c1_g1_i1"	0	1.60781
"TRINITY_DN28783_c1_g1_i5"	0	2.06209
"TRINITY_DN28789_c1_g1_i1"	0	2.58604
"TRINITY_DN79422_c1_g1_i1"	0	2.61301
"TRINITY_DN79440_c0_g1_i1"	0	0.206158
"TRINITY_DN12483_c0_g1_i3"	10.6668	1.47413
"TRINITY_DN12479_c0_g1_i14"	0.918698	0
"TRINITY_DN12479_c0_g1_i1"	0.770379	0
"TRINITY_DN12487_c0_g1_i1"	11.3465	1.29007
"TRINITY_DN12476_c0_g1_i7"	0.095299	0
"TRINITY_DN96666_c3_g1_i2"	0	0.0864206
"TRINITY_DN96701_c0_g1_i1"	0	3.65928
"TRINITY_DN96678_c2_g1_i1"	0.765714	0
"TRINITY_DN4775_c4_g1_i1"	0	0.17713
"TRINITY_DN4718_c4_g1_i2"	7.84067	0.920327
"TRINITY_DN4727_c0_g1_i6"	11.6358	1.87104
"TRINITY_DN4776_c5_g1_i2"	1.71706	0
"TRINITY_DN4776_c3_g1_i6"	0.240041	0.0499727
"TRINITY_DN4796_c0_g1_i5"	7.16991	0.535158
"TRINITY_DN4789_c0_g3_i1"	2.97089	0.370045
"TRINITY_DN4789_c0_g1_i6"	2.14241	0
"TRINITY_DN4789_c16_g2_i1"	0.509795	0
"TRINITY_DN4714_c2_g1_i1"	10.9862	0.0157465
"TRINITY_DN4739_c0_g1_i13"	9.40277	1.14986
"TRINITY_DN4777_c9_g1_i2"	4.39601e-05	0
"TRINITY_DN4738_c0_g1_i52"	0	2.28874
"TRINITY_DN4712_c0_g1_i12"	9.48304	1.1249
"TRINITY_DN4750_c0_g1_i8"	12.2624	2.04153
"TRINITY_DN28898_c0_g2_i1"	0.117376	0
"TRINITY_DN28829_c0_g1_i7"	8.41785	1.57404
"TRINITY_DN28837_c0_g1_i1"	1.20119	1.1982
"TRINITY_DN28877_c0_g1_i5"	2.87739	4.85341
"TRINITY_DN71214_c0_g2_i6"	0.0873012	11.0712
"TRINITY_DN71291_c1_g1_i12"	0	3.24951
"TRINITY_DN71291_c1_g1_i6"	0	0.474749
"TRINITY_DN71291_c1_g1_i1"	0.348137	2.28053
"TRINITY_DN71291_c1_g1_i4"	0	0.45314
"TRINITY_DN19752_c1_g1_i3"	0.274935	0
"TRINITY_DN19737_c0_g1_i17"	7.43073	0.693887
"TRINITY_DN0_c65_g1_i6"	0.875238	2.36984
"TRINITY_DN0_c3848_g1_i4"	1.54006	6.3128
"TRINITY_DN0_c922_g6_i2"	0	0.538689
"TRINITY_DN0_c5815_g5_i1"	0	6.78637
"TRINITY_DN0_c693_g1_i1"	0.348276	2.11742
"TRINITY_DN0_c2480_g1_i2"	3.56832	5.4408
"TRINITY_DN0_c4386_g7_i1"	0	0.768071
"TRINITY_DN0_c718_g1_i1"	2.75354	4.89939
"TRINITY_DN4_c1_g1_i5"	0.803238	0
"TRINITY_DN4_c1_g1_i35"	0	1.59146
"TRINITY_DN4_c1_g1_i53"	0.271881	5.6557
"TRINITY_DN4_c388_g2_i1"	0.681955	0.275662
"TRINITY_DN4_c9_g1_i2"	0	3.97796
"TRINITY_DN4_c0_g2_i8"	0	2.62805
"TRINITY_DN4_c0_g2_i9"	0	0.0737401
"TRINITY_DN4_c46_g4_i1"	0	0.0321386
"TRINITY_DN4_c0_g1_i31"	0.713327	4.12939
"TRINITY_DN4_c0_g1_i12"	2.26385	5.12196
"TRINITY_DN4_c0_g1_i35"	0	1.65897
"TRINITY_DN4_c0_g1_i5"	0	0.290622
"TRINITY_DN4_c130_g1_i3"	0	0.141293
"TRINITY_DN4_c4_g1_i25"	7.99457	0.807066
"TRINITY_DN4_c2_g2_i9"	0.410621	4.21196
"TRINITY_DN4_c2_g2_i6"	0	6.38387
"TRINITY_DN4_c2_g2_i3"	0	1.19016
"TRINITY_DN4_c2_g2_i4"	0	1.19016
"TRINITY_DN4_c25_g1_i27"	1.03108	1.50487
"TRINITY_DN4_c25_g1_i4"	1.22542	1.44345
"TRINITY_DN4_c25_g1_i6"	0	0.277029
"TRINITY_DN4_c35_g1_i7"	0	1.15735
"TRINITY_DN4_c35_g1_i21"	0	1.85601
"TRINITY_DN4_c35_g1_i25"	0	1.35212
"TRINITY_DN4_c35_g1_i13"	0	0.396441
"TRINITY_DN14_c67_g1_i5"	1.04045	3.01861
