"id118_TPM"	"id349_TPM"	"id481_TPM"
"TRINITY_DN5612_c17_g1_i3"	5.97651	6.07042	0
"TRINITY_DN96666_c3_g1_i2"	5.73086	52.5311	0.246143
"TRINITY_DN0_c718_g1_i1"	7.35285	15.4561	3.35466
"TRINITY_DN7_c0_g3_i16"	26.5922	40.8946	2.51195
"TRINITY_DN7_c0_g3_i8"	52.6697	115.387	11.72
"TRINITY_DN3_c1_g4_i65"	7.96358	10.4895	4.53149
"TRINITY_DN3_c45_g1_i5"	3.98135	7.63864	0.421486
"TRINITY_DN3_c1_g9_i2"	8.26438	8.85706	3.61414
"TRINITY_DN3_c1_g3_i1"	5.88386	16.1099	3.0091
"TRINITY_DN3826_c0_g1_i21"	18.8102	61.1086	0.0990157
"TRINITY_DN3826_c0_g1_i22"	6.77701	33.0116	0
"TRINITY_DN3826_c0_g1_i14"	20.3705	48.8093	0
"TRINITY_DN3826_c0_g1_i25"	2.41158	10.7462	0
"TRINITY_DN3826_c0_g1_i9"	17.7577	114.339	0
"TRINITY_DN3826_c0_g1_i6"	3.53276	15.7457	0
"TRINITY_DN3826_c0_g1_i20"	7.70161	33.5724	0.138639
"TRINITY_DN3826_c0_g1_i15"	5.74477	20.6822	0
"TRINITY_DN3826_c0_g1_i3"	1.35467	12.7142	0
"TRINITY_DN62258_c0_g1_i2"	2.55687	9.45572	0
"TRINITY_DN53217_c3_g2_i3"	7.1715	8.58798	3.87436
"TRINITY_DN2056_c32_g1_i1"	13.4807	16.2146	0.0894505
"TRINITY_DN2056_c2_g3_i2"	45.6666	52.134	0.841969
"TRINITY_DN2011_c0_g2_i34"	5.53067	12.7243	0.392056
"TRINITY_DN26186_c0_g1_i44"	1.57077	8.25329	0.252481
"TRINITY_DN1162_c1_g1_i14"	1.28841	10.1482	0
"TRINITY_DN896_c29_g1_i1"	5.13061	12.9645	3.53331
"TRINITY_DN14692_c0_g1_i11"	8.04169	29.7758	0
"TRINITY_DN14760_c0_g1_i26"	13.6288	20.1817	11.5844
"TRINITY_DN56218_c0_g1_i7"	1.62267	12.232	0
"TRINITY_DN12090_c1_g1_i1"	22.0572	44.1558	9.23509
"TRINITY_DN62988_c0_g1_i4"	6.19688	7.85089	1.52703
"TRINITY_DN11215_c0_g1_i3"	3.41531	8.9175	0.521146
"TRINITY_DN5462_c0_g1_i9"	4.81694	10.2089	0
"TRINITY_DN8504_c2_g1_i3"	1.67245	10.947	0.521415
"TRINITY_DN92064_c3_g4_i1"	1.76001	8.79436	0.92905
"TRINITY_DN7605_c1_g1_i18"	5.12223	5.49188	2.57798
"TRINITY_DN91243_c0_g4_i1"	65.5599	78.9878	0.52988
"TRINITY_DN22558_c4_g1_i1"	2.84943	9.48767	1.84286
