"132"	"334"	"485"
"TRINITY_DN88416_c0_g2_i1"	0	0.280104	0
"TRINITY_DN21443_c0_g1_i2"	0	0.222056	0
"TRINITY_DN5650_c0_g1_i5"	0	0.0539933	0
"TRINITY_DN5645_c0_g1_i20"	0	0.106708	0
"TRINITY_DN5638_c0_g1_i11"	0	0.0244146	0
"TRINITY_DN5605_c6_g1_i1"	0	0.258616	0
"TRINITY_DN37821_c0_g1_i10"	0	0.0468841	0
"TRINITY_DN37814_c2_g1_i3"	5.51209	9.02772	3.2435
"TRINITY_DN37828_c1_g1_i1"	0	0.22096	0
"TRINITY_DN28760_c7_g1_i1"	0	0.102502	0
"TRINITY_DN12440_c0_g2_i1"	7.77111	12.0221	7.55503
"TRINITY_DN12479_c0_g1_i14"	21.0905	100.601	36.0907
"TRINITY_DN96666_c3_g1_i2"	5.44516	10.7697	7.53443
"TRINITY_DN4795_c0_g1_i22"	17.3141	39.2093	26.8679
"TRINITY_DN4766_c0_g1_i10"	0	0.0346485	0
"TRINITY_DN4789_c16_g2_i1"	2.63021	4.46318	1.26811
"TRINITY_DN71214_c0_g2_i6"	0	0.0913662	0
"TRINITY_DN71291_c1_g1_i1"	0	0.271861	0
"TRINITY_DN19752_c1_g1_i3"	0	0.307656	0
"TRINITY_DN19737_c0_g1_i1"	1.02117	1.96204	0.473641
"TRINITY_DN0_c952_g2_i1"	0	0.218105	0
"TRINITY_DN0_c718_g1_i1"	3.62627	4.20838	3.83698
"TRINITY_DN4_c1_g1_i53"	0	0.184385	0
"TRINITY_DN4_c0_g1_i35"	0	0.00117476	0
"TRINITY_DN4_c4_g1_i25"	29.6046	47.8494	16.9706
"TRINITY_DN14_c11_g1_i4"	0.115777	0.79621	0.106939
"TRINITY_DN14_c36_g1_i4"	0.422931	2.84229	0.738445
"TRINITY_DN14_c15_g1_i15"	0	0.260072	0
"TRINITY_DN32_c28_g1_i11"	0	0.454604	0
"TRINITY_DN32_c8_g1_i10"	0	0.327984	0
"TRINITY_DN32_c8_g1_i13"	0	0.496801	0
"TRINITY_DN10_c54_g1_i3"	5.76415	56.9626	0
"TRINITY_DN10_c0_g2_i48"	0	0.195945	0
"TRINITY_DN10_c0_g2_i33"	0	0.581023	0
"TRINITY_DN48_c3_g1_i10"	2.59045e-07	0.0143161	0
"TRINITY_DN48_c3_g1_i7"	0	1.24988e-05	0
"TRINITY_DN64_c0_g1_i10"	0	0.100131	0
"TRINITY_DN28_c1_g1_i15"	0	0.273325	0
"TRINITY_DN43_c5_g1_i1"	0	0.736621	0
"TRINITY_DN3_c13_g2_i1"	17406.3	30311.1	17018.6
"TRINITY_DN3_c10_g1_i1"	0.456423	5.75293	0.704183
