"132"	"334"	"485"
"TRINITY_DN88418_c0_g1_i5"	0	0	0.196377
"TRINITY_DN88415_c0_g1_i2"	2.66427	2.95615	5.62861
"TRINITY_DN88416_c0_g2_i2"	0	0	2.38307
"TRINITY_DN5651_c2_g3_i1"	0	0.490133	9.71673
"TRINITY_DN5621_c1_g1_i1"	0	0	0.952852
"TRINITY_DN5600_c0_g1_i13"	4.50183	3.49092	15.7114
"TRINITY_DN5657_c0_g1_i7"	0	0	0.0661293
"TRINITY_DN79355_c0_g1_i7"	0.0225151	0	0.732628
"TRINITY_DN63034_c1_g1_i3"	0	0	0.0627786
"TRINITY_DN63028_c0_g1_i2"	4.18771	4.49288	6.12856
"TRINITY_DN28779_c0_g1_i3"	26.7824	33.1682	38.4082
"TRINITY_DN28791_c8_g1_i1"	0	0	0.721328
"TRINITY_DN28789_c1_g1_i1"	0	0	0.908273
"TRINITY_DN79407_c0_g1_i7"	0	0	0.505779
"TRINITY_DN12476_c0_g1_i7"	0	0	0.456025
"TRINITY_DN96702_c0_g2_i3"	0	0	1.08191
"TRINITY_DN4727_c0_g1_i6"	0.480896	0.0860301	7.04943
"TRINITY_DN4778_c1_g1_i2"	0	0	0.690306
"TRINITY_DN4735_c1_g2_i1"	0	0.0486059	0.161768
"TRINITY_DN4750_c0_g1_i8"	0	0	7.28674
"TRINITY_DN28802_c1_g1_i2"	0.212144	0.133043	0.50145
"TRINITY_DN28889_c0_g1_i1"	0.0259644	0.0254582	0.0279654
"TRINITY_DN28824_c0_g1_i15"	1.46017	1.12999	11.5247
"TRINITY_DN54087_c0_g1_i1"	0	0	0.359503
"TRINITY_DN54014_c0_g1_i2"	0	0.471697	3.72433
"TRINITY_DN54027_c3_g1_i12"	0	0	0.646664
"TRINITY_DN71273_c0_g1_i10"	0	0	0.596645
"TRINITY_DN19737_c0_g1_i10"	11.1529	4.06302	33.617
"TRINITY_DN19746_c0_g1_i6"	0	0	0.337582
"TRINITY_DN19726_c0_g1_i1"	22.4171	19.5595	32.9778
"TRINITY_DN0_c3848_g1_i4"	0	0	0.267828
"TRINITY_DN0_c4386_g7_i1"	5.20208	0.856569	30.2898
"TRINITY_DN0_c10636_g1_i1"	65.143	50.5945	112.825
"TRINITY_DN57_c0_g1_i10"	0	0	0.0683949
"TRINITY_DN4_c130_g1_i3"	0	0	0.241081
"TRINITY_DN14_c31_g1_i1"	1.45577	1.16799	3.79958
"TRINITY_DN14_c25_g1_i8"	0	0	1.2499
"TRINITY_DN10_c4_g1_i9"	0	0	0.0553883
"TRINITY_DN48_c3_g1_i3"	0	1.66518e-06	2.67385
"TRINITY_DN26_c0_g1_i5"	24.4411	33.9814	63.3321
"TRINITY_DN43_c1_g1_i5"	0	0	0.233059
"TRINITY_DN18_c1_g1_i6"	0.420209	0.475053	0.557135
"TRINITY_DN3_c1_g4_i60"	0.9087	0.492518	4.12231
"TRINITY_DN3_c1_g4_i44"	0	0	0.917135
"TRINITY_DN3_c0_g1_i82"	0	0	0.960121
"TRINITY_DN3_c37_g1_i3"	0.0590958	0.0578564	0.142549
"TRINITY_DN3_c0_g5_i4"	7.85381	2.9679	49.336
"TRINITY_DN60_c0_g1_i9"	0	0	0.808229
"TRINITY_DN1_c8_g1_i1"	0	0	0.302772
"TRINITY_DN20699_c1_g1_i13"	0	0	1.45688
"TRINITY_DN20637_c0_g1_i5"	2.18711	1.65296	21.0499
"TRINITY_DN3826_c0_g1_i5"	7.90422	42.1489	123.965
"TRINITY_DN3803_c1_g1_i64"	0	0	0.286781
"TRINITY_DN3803_c9_g1_i2"	34.732	3.91449	168.196
"TRINITY_DN3823_c0_g2_i6"	0.226328	0	14.3818
"TRINITY_DN3823_c0_g2_i1"	2.54303	1.71715	10.7592
"TRINITY_DN3898_c0_g1_i3"	0	0	0.180849
"TRINITY_DN3859_c3_g1_i1"	21.2497	5.92752	81.1202
"TRINITY_DN3880_c4_g1_i3"	0	0	4.97844
"TRINITY_DN3837_c0_g1_i7"	33.8598	86.9109	133.675
"TRINITY_DN3837_c0_g1_i19"	47.1124	90.6907	112.823
"TRINITY_DN3837_c0_g1_i8"	60.2173	184.885	343.387
"TRINITY_DN71334_c0_g3_i1"	8.85153	24.3003	43.2687
"TRINITY_DN71349_c0_g2_i1"	0	0	1.58592
"TRINITY_DN27986_c1_g1_i2"	0	0	0.263293
"TRINITY_DN27928_c0_g1_i7"	3.61431	0.26816	19.7253
"TRINITY_DN11610_c4_g1_i6"	0.856669	0.818031	1.7247
"TRINITY_DN11629_c0_g1_i5"	0	0	0.304762
"TRINITY_DN2973_c1_g2_i1"	0.0258433	0.0480528	0.159262
"TRINITY_DN2973_c1_g1_i1"	0	0	0.255905
"TRINITY_DN2978_c1_g3_i5"	0	0	7.10307e-08
"TRINITY_DN2978_c1_g3_i4"	13.4275	11.4189	24.0572
"TRINITY_DN2978_c1_g3_i8"	4.70384	6.43418	7.70803
"TRINITY_DN2969_c0_g1_i1"	549.886	1282.76	1689.92
"TRINITY_DN2927_c0_g1_i6"	0.0585667	0.0575001	0.0636622
"TRINITY_DN2992_c10_g1_i1"	8.12544	3.23207	34.4064
"TRINITY_DN2989_c2_g1_i2"	1.06708	0.348474	7.01368
"TRINITY_DN2908_c1_g1_i11"	0	0.546517	0.974212
"TRINITY_DN2918_c0_g1_i4"	0	0	0.00247512
"TRINITY_DN2923_c0_g1_i15"	0	0	0.216363
"TRINITY_DN2923_c0_g1_i44"	0	0.164198	0.303819
"TRINITY_DN2923_c0_g1_i18"	0	0	0.281703
"TRINITY_DN2933_c18_g1_i4"	0.381783	0.0151181	5.83993
"TRINITY_DN2933_c18_g1_i6"	0.000744394	0	0.0104153
"TRINITY_DN2916_c2_g1_i5"	0	0	0.374819
"TRINITY_DN2916_c3_g3_i1"	0	0.374036	1.4718
"TRINITY_DN53114_c0_g1_i16"	46.3593	50.8685	59.6633
"TRINITY_DN53114_c0_g1_i10"	46.3593	50.8685	59.6633
"TRINITY_DN53149_c0_g2_i1"	0	0	0.540637
"TRINITY_DN70449_c0_g1_i1"	4.19297	4.59695	5.73665
"TRINITY_DN18965_c0_g3_i4"	0.707727	0.732912	1.0127
"TRINITY_DN86852_c2_g1_i14"	0	0	4.962
"TRINITY_DN77794_c2_g1_i3"	0	0	2.06343
"TRINITY_DN44233_c0_g1_i9"	0.0674039	0.0661736	0.146856
"TRINITY_DN44233_c0_g1_i3"	0.270145	0.531814	0.89558
"TRINITY_DN44224_c5_g1_i7"	228.6	231.688	340.952
"TRINITY_DN44244_c0_g1_i3"	0	0	0.109519
"TRINITY_DN44227_c5_g1_i3"	0	0	2.08886
"TRINITY_DN44245_c0_g1_i2"	0	0	0.268299
"TRINITY_DN9680_c1_g1_i3"	1.14378	0.826698	3.4262
"TRINITY_DN9699_c1_g1_i15"	0	0	0.261822
"TRINITY_DN9699_c0_g1_i5"	359.233	332.045	623.229
"TRINITY_DN9619_c0_g1_i2"	2.09886	0.481364	33.8622
"TRINITY_DN9650_c0_g1_i1"	0	0	0.241284
"TRINITY_DN9682_c0_g1_i2"	0.0341936	0.0223491	0.0735847
"TRINITY_DN9682_c0_g1_i4"	0.0341936	0.0223491	0.0735847
