"id073_TPM"	"id221_TPM"	"id427_TPM"
"TRINITY_DN88476_c0_g2_i1"	10.1997	0	11.2187
"TRINITY_DN88496_c0_g1_i1"	6.39133	0	8.92661
"TRINITY_DN21452_c0_g1_i7"	7.42758	0	7.48539
"TRINITY_DN21434_c0_g2_i3"	7.64087	0	13.545
"TRINITY_DN21483_c4_g1_i7"	2.387	0	8.19713
"TRINITY_DN21414_c0_g1_i7"	7.1431	0	24.7895
"TRINITY_DN21425_c2_g3_i2"	14.3822	1.02407	19.1785
"TRINITY_DN21425_c1_g1_i1"	5.55925	0	6.38663
"TRINITY_DN21488_c2_g2_i1"	5.28009	0	5.72459
"TRINITY_DN21460_c0_g1_i38"	10.1261	0	16.5908
"TRINITY_DN21458_c1_g1_i1"	7.10105	0.00829855	8.94942
"TRINITY_DN5644_c3_g1_i14"	5.88747	0	8.83442
"TRINITY_DN5612_c2_g1_i14"	8.11961	0	14.9861
"TRINITY_DN5621_c1_g1_i1"	6.01509	0	17.1709
"TRINITY_DN5600_c0_g1_i13"	182.655	1.80764	247.691
"TRINITY_DN5643_c3_g1_i10"	2.89296	0.12001	7.80128
"TRINITY_DN5643_c7_g1_i1"	6.36684	0	8.18212
"TRINITY_DN5601_c0_g1_i7"	8.08746	0.22157	15.6133
"TRINITY_DN5667_c2_g1_i1"	7.52873	0	11.9461
"TRINITY_DN5688_c0_g1_i1"	3.47246	0	8.62624
"TRINITY_DN37873_c1_g1_i1"	9.29329	0	14.9374
"TRINITY_DN37870_c0_g1_i2"	3.93408	0	7.08196
"TRINITY_DN37847_c1_g2_i2"	7.87346	0	11.3412
"TRINITY_DN37825_c0_g2_i1"	5.58099	0	9.57478
"TRINITY_DN37821_c0_g1_i10"	5.86173	0	6.71423
"TRINITY_DN37814_c0_g1_i3"	13.8568	5.08802	30.3312
"TRINITY_DN79315_c0_g2_i1"	38.3589	0	52.2865
"TRINITY_DN63083_c3_g1_i1"	12.6794	0	14.6524
"TRINITY_DN80225_c5_g1_i1"	4.31299	0	7.08254
"TRINITY_DN28708_c2_g1_i2"	4.53754	0	6.15826
"TRINITY_DN28721_c2_g2_i1"	26.0488	0	30.8727
"TRINITY_DN28760_c7_g1_i1"	25.2664	0	42.9289
"TRINITY_DN28791_c8_g1_i1"	4.70835	0	5.56263
"TRINITY_DN28777_c0_g2_i1"	374.462	2.75921	598.29
"TRINITY_DN28710_c0_g1_i5"	4.11713	0	8.80994
"TRINITY_DN28710_c0_g1_i2"	31.1652	0	31.7667
"TRINITY_DN28738_c0_g1_i1"	14.941	0.300565	20.4185
"TRINITY_DN28767_c1_g1_i1"	8.57099	0	14.8511
"TRINITY_DN28783_c1_g1_i3"	5.31146	0	10.0732
"TRINITY_DN28783_c1_g1_i5"	27.0653	0	36.2956
"TRINITY_DN28789_c1_g1_i1"	11.7452	0	36.455
"TRINITY_DN79422_c1_g1_i1"	16.2899	0	54.0199
"TRINITY_DN12498_c1_g1_i2"	4.77934	0	6.07594
"TRINITY_DN12400_c5_g1_i1"	24.4367	0	26.2147
"TRINITY_DN12477_c1_g2_i2"	3.52256	0.114984	8.64441
"TRINITY_DN12477_c0_g1_i1"	8.90188	0	12.8672
"TRINITY_DN12415_c0_g3_i1"	6.41833	0	12.2026
"TRINITY_DN96677_c6_g1_i1"	10.623	0	16.602
"TRINITY_DN4715_c2_g1_i4"	2.68887	0	7.42079
"TRINITY_DN4759_c0_g2_i2"	2.17821	0	8.19287
"TRINITY_DN4789_c15_g1_i4"	4.0956	0	7.27727
"TRINITY_DN4754_c7_g1_i1"	4.82917	0	5.32125
"TRINITY_DN4756_c0_g1_i12"	9.90155	0.338347	9.85859
"TRINITY_DN4738_c0_g1_i52"	10.8279	0	31.5054
"TRINITY_DN28854_c0_g2_i2"	5.45858	0	8.73031
"TRINITY_DN28837_c0_g1_i1"	3.58342	0	10.7537
"TRINITY_DN54089_c0_g1_i1"	5.20246	0.124058	5.50563
"TRINITY_DN54093_c6_g1_i1"	5.35922	1.05144	12.6193
"TRINITY_DN54005_c0_g1_i1"	67.1958	0.711086	208.157
"TRINITY_DN54027_c3_g1_i12"	5.81076	0	7.35022
"TRINITY_DN71240_c1_g2_i1"	5.505	0	6.09689
"TRINITY_DN71240_c1_g1_i1"	4.96123	0.0570606	19.3025
"TRINITY_DN71264_c2_g1_i2"	2.6037	0	9.71271
"TRINITY_DN71291_c1_g1_i12"	59.2268	0.32665	109.656
"TRINITY_DN71291_c1_g1_i6"	53.5365	0.847029	81.4665
"TRINITY_DN71291_c1_g1_i5"	9.98903	0	10.7484
"TRINITY_DN71291_c1_g1_i4"	42.6248	0	56.2194
"TRINITY_DN71291_c3_g1_i1"	5.46488	0	8.27085
"TRINITY_DN0_c137_g3_i2"	5.249	0	11.2487
"TRINITY_DN0_c1334_g2_i3"	29.166	1.39737	57.166
"TRINITY_DN0_c4051_g1_i1"	5.17883	0	5.14057
"TRINITY_DN0_c3848_g1_i4"	46.6289	0	109.152
"TRINITY_DN0_c432_g1_i1"	7.97691	0	15.2745
"TRINITY_DN0_c952_g2_i1"	83.2083	0	118.007
"TRINITY_DN0_c316_g3_i2"	4.21736	0	6.28201
"TRINITY_DN0_c0_g5_i1"	10.0091	0	13.5327
"TRINITY_DN0_c1054_g4_i4"	3.62072	0	14.1482
"TRINITY_DN0_c5270_g3_i2"	10.2625	0	29.1336
"TRINITY_DN0_c10674_g2_i3"	8.49024	0	9.13524
"TRINITY_DN0_c8931_g2_i1"	22.1658	0	43.7298
"TRINITY_DN4_c5_g2_i1"	12.1209	0	14.6317
"TRINITY_DN4_c1_g1_i51"	14.5827	0	19.6947
"TRINITY_DN4_c191_g2_i1"	3.37525	0.137819	8.00075
"TRINITY_DN4_c0_g2_i6"	16.8031	2.04538	19.6276
"TRINITY_DN4_c0_g2_i7"	44.9773	0.309788	47.164
"TRINITY_DN4_c0_g2_i8"	90.2948	0	127.973
"TRINITY_DN4_c11_g1_i17"	5.65074	0	6.88576
"TRINITY_DN4_c11_g1_i6"	2.65059	0	9.72583
"TRINITY_DN4_c80_g1_i3"	20.98	0	40.4264
"TRINITY_DN4_c0_g1_i31"	40.8612	0	59.7178
"TRINITY_DN4_c0_g1_i57"	18.1708	1.09856	28.326
"TRINITY_DN4_c0_g1_i8"	6.51965	0.202953	24.2255
"TRINITY_DN4_c0_g1_i35"	41.0061	0	58.9551
"TRINITY_DN4_c0_g1_i41"	6.22633	0	11.9387
"TRINITY_DN4_c0_g1_i64"	133.002	0	240.274
"TRINITY_DN4_c130_g1_i1"	6.11566	0	13.785
"TRINITY_DN4_c2_g2_i9"	237.652	0.713262	366.223
"TRINITY_DN4_c2_g2_i6"	338.847	2.58322	482.609
"TRINITY_DN4_c2_g2_i3"	124.016	0	173.018
"TRINITY_DN4_c2_g2_i4"	124.016	0	173.018
"TRINITY_DN4_c25_g1_i22"	28.0816	0	37.6641
"TRINITY_DN4_c25_g1_i27"	49.5298	0	84.4032
"TRINITY_DN4_c25_g1_i26"	2.55584	0	7.67779
"TRINITY_DN4_c25_g1_i4"	46.6551	0.758438	61.9282
"TRINITY_DN4_c25_g1_i6"	17.1056	0	31.3966
"TRINITY_DN4_c35_g1_i6"	80.8619	0	82.0443
"TRINITY_DN4_c35_g1_i7"	7.41757	0.414268	26.5353
"TRINITY_DN4_c35_g1_i19"	109.629	1.57123	128.98
"TRINITY_DN4_c35_g1_i21"	73.3345	0.556614	73.1505
"TRINITY_DN4_c35_g1_i25"	34.4272	0.330089	39.3609
"TRINITY_DN14_c58_g3_i1"	7.31515	0	8.21877
"TRINITY_DN14_c13_g1_i20"	16.1268	0	17.3005
"TRINITY_DN14_c34_g1_i18"	22.7263	0.399819	22.0815
"TRINITY_DN14_c36_g1_i15"	24.7187	0	32.0495
"TRINITY_DN14_c36_g1_i10"	65.4211	0	156.616
"TRINITY_DN14_c31_g1_i5"	28.7028	0	47.6817
"TRINITY_DN14_c26_g1_i2"	158.132	1.65822	325.247
"TRINITY_DN14_c26_g1_i1"	47.361	0	66.7718
"TRINITY_DN14_c15_g1_i9"	2.51595	0	9.51348
"TRINITY_DN14_c15_g1_i15"	87.0896	0	101.238
"TRINITY_DN14_c25_g1_i8"	36.3949	0	42.2211
"TRINITY_DN32_c28_g1_i11"	22.0293	0	42.2003
"TRINITY_DN32_c8_g1_i9"	16.894	0	25.7247
"TRINITY_DN32_c8_g1_i5"	36.1178	0	41.7802
"TRINITY_DN7_c13_g2_i1"	7.0809	0	12.8649
"TRINITY_DN10_c6_g2_i19"	5.45658	0	9.1532
"TRINITY_DN10_c6_g2_i3"	4.97494	0	5.96816
"TRINITY_DN10_c64_g1_i6"	90.5327	2.09769	204.473
"TRINITY_DN10_c1_g2_i10"	28.2496	0	28.1457
"TRINITY_DN10_c93_g1_i4"	10.3252	0	29.9464
"TRINITY_DN10_c393_g2_i1"	4.09415	0	8.71229
"TRINITY_DN10_c58_g1_i1"	6.99018	0	11.1692
"TRINITY_DN10_c0_g2_i53"	20.4066	0	53.5842
"TRINITY_DN10_c0_g2_i17"	62.5261	1.84326	70.7477
"TRINITY_DN10_c0_g2_i15"	373.222	2.26048	386.398
"TRINITY_DN10_c0_g2_i10"	4.51559	0.815069	10.8222
"TRINITY_DN10_c0_g2_i48"	49.0012	0.164687	58.9944
"TRINITY_DN10_c0_g2_i14"	140.415	1.93608	194.964
"TRINITY_DN10_c0_g2_i44"	8.14953	0.403599	9.23419
"TRINITY_DN10_c0_g2_i33"	19.5269	0	60.1065
"TRINITY_DN10_c252_g3_i1"	3.31914	0	8.6958
"TRINITY_DN52_c0_g1_i1"	6.06153	0	16.092
"TRINITY_DN52_c0_g1_i11"	9.84851	0.342495	13.5651
"TRINITY_DN52_c0_g1_i20"	9.09216	0	16.0785
"TRINITY_DN43_c0_g2_i8"	4.00834	0	6.79021
"TRINITY_DN43_c3_g1_i11"	3.1247	0	11.9847
