"073"	"221"	"427"
"TRINITY_DN0_c576_g1_i1"	0	20.9387	11.3
"TRINITY_DN7_c0_g3_i8"	0.000946977	70.3592	77.095
"TRINITY_DN3_c30_g2_i5"	0	21.6154	10.3479
"TRINITY_DN3823_c0_g2_i1"	0	1.32259	0.665435
"TRINITY_DN3821_c1_g1_i1"	0	10.0787	5.46907
"TRINITY_DN3837_c0_g1_i7"	0	0.0666027	0.0876294
"TRINITY_DN78683_c0_g1_i3"	8.1332	28.713	27.1826
"TRINITY_DN2969_c2_g2_i1"	0	0.204344	0.423544
"TRINITY_DN44188_c2_g1_i2"	0	0.328262	0.619004
"TRINITY_DN35135_c2_g1_i13"	0	4.71556	8.83395
"TRINITY_DN8786_c2_g1_i5"	0	0.438696	0.814934
"TRINITY_DN17025_c0_g1_i5"	6.15068	9.43567	8.40681
"TRINITY_DN50815_c0_g1_i4"	45.1117	70.5426	69.9021
"TRINITY_DN6088_c0_g1_i1"	0	0.259513	0.268588
"TRINITY_DN5114_c1_g1_i1"	0	7.70781	3.53056
"TRINITY_DN31947_c2_g1_i2"	0.768743	5.33862	3.79728
"TRINITY_DN63784_c0_g1_i4"	0.320269	2.30544	2.61796
"TRINITY_DN36624_c4_g1_i4"	0	94.1945	45.9994
"TRINITY_DN26866_c0_g1_i1"	0	0.916986	0.587989
"TRINITY_DN25948_c0_g1_i5"	0	3.11355	3.82691
"TRINITY_DN58514_c4_g1_i1"	4.00647	22.3116	14.2294
"TRINITY_DN49525_c0_g2_i1"	0	4.16529	2.88619
"TRINITY_DN47936_c1_g2_i1"	6.44446	18.4967	19.0511
"TRINITY_DN38930_c1_g1_i1"	0	0.227532	0.400375
"TRINITY_DN88633_c0_g2_i3"	0.45514	2.84402	4.74084
"TRINITY_DN4006_c13_g1_i2"	0	6.83416	7.34756
"TRINITY_DN11919_c1_g1_i4"	0.0581684	0.133445	0.115043
"TRINITY_DN18162_c7_g1_i6"	0.217821	9.78436	16.0931
