"id151_TPM"	"id254_TPM"	"id445_TPM"
"TRINITY_DN21442_c0_g2_i1"	0.480829	4.99489	7.20423
"TRINITY_DN5644_c15_g1_i1"	3.3511	5.20734	6.42115
"TRINITY_DN0_c2034_g1_i1"	5.58956	7.43231	8.68225
"TRINITY_DN4_c128_g2_i2"	3.93364	4.97974	5.4642
"TRINITY_DN10_c6_g2_i13"	1.55598	6.70443	6.06089
"TRINITY_DN9601_c0_g1_i6"	2.29649	4.34776	4.26878
"TRINITY_DN10823_c2_g1_i6"	1.83657	8.15622	8.52454
"TRINITY_DN10829_c0_g1_i3"	4.87579	11.1258	14.8296
"TRINITY_DN8787_c13_g1_i1"	3.95009	6.85621	7.09912
"TRINITY_DN2009_c0_g1_i15"	3.78514	6.6248	7.56844
"TRINITY_DN2010_c0_g1_i1"	13.5766	14.7681	14.6095
"TRINITY_DN2043_c10_g1_i16"	0.195226	4.87609	5.45986
"TRINITY_DN43312_c1_g1_i1"	7.19511	10.6359	12.1434
"TRINITY_DN17031_c0_g1_i12"	2.48285	9.0098	13.1468
"TRINITY_DN17080_c0_g1_i1"	8.95734	15.146	16.3082
"TRINITY_DN458_c6_g1_i2"	3.04141	5.49854	7.31675
"TRINITY_DN7885_c5_g1_i4"	0	6.38848	8.7376
"TRINITY_DN34332_c0_g1_i30"	5.4573	12.8914	11.8476
"TRINITY_DN34321_c0_g2_i3"	9.3487	31.7164	38.8934
"TRINITY_DN34337_c2_g1_i1"	6.79384	9.13308	9.22896
"TRINITY_DN6955_c1_g1_i4"	1.75088	4.55993	6.16715
"TRINITY_DN75134_c1_g1_i2"	0.183918	12.1984	12.5645
"TRINITY_DN92356_c1_g1_i5"	5.05951	32.2465	43.1519
"TRINITY_DN6015_c1_g1_i5"	0	5.17867	9.46907
"TRINITY_DN66111_c0_g1_i24"	2.38646	8.91732	7.85929
"TRINITY_DN5105_c5_g1_i18"	2.88593	11.9274	14.1011
"TRINITY_DN4254_c21_g1_i13"	15.5232	29.7213	30.9636
"TRINITY_DN14618_c0_g1_i4"	2.40026	8.4319	7.4212
"TRINITY_DN90889_c3_g1_i20"	21.045	56.721	79.5038
"TRINITY_DN55465_c0_g1_i16"	3.57381	23.4501	28.0682
"TRINITY_DN9114_c0_g1_i7"	2.97293	3.68651	3.65193
"TRINITY_DN30179_c0_g1_i16"	3.37217	4.6253	5.37278
"TRINITY_DN63784_c0_g1_i4"	27.9399	29.3766	30.0197
"TRINITY_DN12004_c1_g1_i7"	2.55583	5.73665	5.77805
"TRINITY_DN12056_c0_g1_i13"	10.1987	11.9162	12.5316
"TRINITY_DN11283_c1_g2_i4"	7.31477	49.7681	71.9611
"TRINITY_DN27640_c3_g1_i6"	0.740217	4.09917	5.3561
"TRINITY_DN18530_c1_g1_i3"	0.526344	4.60239	7.15447
"TRINITY_DN18579_c0_g1_i1"	2.96842	6.75399	7.35439
