"151"	"254"	"445"
"TRINITY_DN88474_c0_g1_i2"	84.5264	57.9113	33.1837
"TRINITY_DN21454_c1_g1_i2"	41.3967	24.778	0
"TRINITY_DN5651_c2_g3_i1"	1.30422	0	0
"TRINITY_DN5617_c0_g1_i1"	0.146643	0	0
"TRINITY_DN5632_c0_g2_i2"	31.3192	23.4024	6.77155
"TRINITY_DN5616_c0_g1_i12"	122.466	71.6389	58.0509
"TRINITY_DN37810_c4_g1_i3"	2.22544	0	0
"TRINITY_DN28722_c2_g1_i1"	335.254	167.398	53.3751
"TRINITY_DN12487_c0_g1_i1"	77.5661	45.277	13.983
"TRINITY_DN12416_c0_g1_i2"	117.623	101.372	84.7519
"TRINITY_DN4718_c4_g1_i2"	7.21471	5.10488	4.38254
"TRINITY_DN4727_c0_g1_i6"	30.8224	20.9503	17.2807
"TRINITY_DN4776_c3_g1_i6"	33.8055	8.436	11.9312
"TRINITY_DN4789_c6_g1_i1"	52.5095	25.1654	25.0531
"TRINITY_DN4735_c1_g2_i1"	0.0460276	0	0
"TRINITY_DN4739_c0_g3_i7"	4218.38	1871.11	501.79
"TRINITY_DN4739_c0_g1_i17"	6766.17	2560.51	537.449
"TRINITY_DN4739_c0_g1_i10"	5132.11	3700.33	716.244
"TRINITY_DN4777_c9_g1_i2"	1.01321	0	0
"TRINITY_DN4740_c0_g1_i4"	74.4301	8.48863	13.8928
"TRINITY_DN28877_c0_g1_i5"	3.24506	0	0
"TRINITY_DN54093_c2_g1_i4"	636.758	560.921	454.991
"TRINITY_DN54071_c1_g1_i6"	8.40362	2.50707	3.39847
"TRINITY_DN71291_c1_g1_i1"	0.909769	0	0
"TRINITY_DN19737_c0_g1_i1"	31.3515	9.2737	0
"TRINITY_DN19754_c7_g1_i1"	2019.28	900.841	324.977
"TRINITY_DN19771_c0_g1_i3"	44.1926	22.357	19.3025
"TRINITY_DN0_c1545_g2_i1"	74.5754	35.4884	8.61465
"TRINITY_DN0_c576_g1_i1"	19.2917	13.4635	5.58068
"TRINITY_DN57_c0_g1_i14"	0.0496951	0	0
"TRINITY_DN4_c44_g1_i2"	446.934	324.445	343.017
"TRINITY_DN4_c0_g2_i9"	2.85904e-08	0	0
"TRINITY_DN4_c0_g1_i35"	0.71162	0	0
"TRINITY_DN4_c25_g1_i6"	0.810157	0	0
"TRINITY_DN14_c11_g1_i4"	14.6958	1.92025	0.533539
"TRINITY_DN14_c36_g1_i4"	5.14262	3.16154	2.31127
"TRINITY_DN14_c31_g1_i1"	71.4554	33.6615	11.0438
"TRINITY_DN14_c26_g1_i1"	0.569565	0	0
"TRINITY_DN14_c15_g2_i7"	0.780371	0	0
"TRINITY_DN32_c8_g1_i6"	1.57324	0	0
"TRINITY_DN89_c6_g1_i2"	19.8476	10.2724	10.6447
"TRINITY_DN7_c1_g1_i4"	40.0123	33.2958	21.8244
"TRINITY_DN7_c1_g1_i7"	37.1757	23.4236	18.5056
"TRINITY_DN7_c0_g3_i10"	248.345	104.108	104.039
"TRINITY_DN7_c0_g3_i16"	4.17898	0.00527317	0.000597824
"TRINITY_DN7_c0_g3_i8"	60.8854	53.8202	38.7236
"TRINITY_DN7_c7_g1_i5"	64.6176	21.5485	18.9735
"TRINITY_DN77_c0_g2_i2"	69.9041	15.5843	18.169
"TRINITY_DN10_c0_g5_i2"	1.24174	0	0
"TRINITY_DN10_c739_g1_i1"	8174.08	6033.18	3625.75
"TRINITY_DN10_c37_g1_i1"	18.6154	9.66405	7.93058
"TRINITY_DN10_c12_g1_i21"	0.092671	0	0
"TRINITY_DN10_c0_g2_i53"	4.63651	2.20948	0
"TRINITY_DN10_c0_g2_i15"	31.0544	19.6759	2.96198
"TRINITY_DN96_c0_g1_i10"	49.0962	7.94466	12.1103
"TRINITY_DN64_c0_g1_i1"	0.0387459	0	0
"TRINITY_DN43_c1_g1_i5"	0.26289	0	0
"TRINITY_DN2_c0_g1_i1"	27.8889	9.10532	8.7928
"TRINITY_DN2_c14_g1_i13"	0.529041	0	0
"TRINITY_DN51_c12_g1_i4"	48.0822	16.2798	13.207
"TRINITY_DN3_c1_g4_i70"	1.56518	0	0
"TRINITY_DN3_c154_g1_i2"	108.575	8.4136	0
"TRINITY_DN3_c668_g2_i2"	177.454	74.1979	29.7416
"TRINITY_DN3_c0_g1_i22"	359.56	257.085	168.055
"TRINITY_DN3_c0_g1_i19"	681.871	459.631	238.261
"TRINITY_DN3_c0_g1_i82"	3.73009	1.33568	0.77118
"TRINITY_DN3_c0_g1_i83"	282.888	171.744	79.6968
"TRINITY_DN3_c37_g1_i3"	0.0136593	0	0
"TRINITY_DN3_c45_g1_i4"	8.57807	3.921e-08	0.000175505
