"113"	"222"	"425"
"TRINITY_DN4714_c2_g1_i1"	15.7122	10.6435	1.33781
"TRINITY_DN4_c2_g2_i9"	0.55663	0.61643	0.371478
"TRINITY_DN14_c25_g1_i8"	0.168149	0.187889	0.0576719
"TRINITY_DN48_c3_g1_i3"	0.679779	1.68342	0.00277035
"TRINITY_DN2_c19_g1_i6"	0.320166	0.337411	0
"TRINITY_DN3_c0_g1_i23"	4.1765	3.71001	1.50494
"TRINITY_DN3_c1117_g2_i1"	0.432122	0.536138	0.177026
"TRINITY_DN3_c1_g9_i2"	3.47163	3.50278	1.42448
"TRINITY_DN3_c1_g3_i25"	6.48357	6.1522	2.07218
"TRINITY_DN3803_c7_g1_i13"	0.646888	1.12743	0.0618458
"TRINITY_DN3803_c44_g1_i24"	38.6471	26.2664	5.99505
"TRINITY_DN3843_c1_g1_i9"	2.64574	2.68639	0.0662311
"TRINITY_DN27905_c0_g1_i4"	0.548382	1.11106	0
"TRINITY_DN95829_c0_g1_i1"	49.9555	36.8114	6.54362
"TRINITY_DN2910_c1_g1_i9"	56.3969	35.4505	0
"TRINITY_DN2933_c18_g1_i6"	0.00265673	0.00395969	0
"TRINITY_DN35130_c2_g1_i9"	34.3376	22.1221	4.55948e-05
"TRINITY_DN10818_c0_g1_i1"	9.29706	6.71971	6.71874e-05
"TRINITY_DN2042_c1_g2_i2"	0.299928	0.31086	0
"TRINITY_DN2042_c1_g2_i4"	1.48836	1.44661	1.1936
"TRINITY_DN2074_c8_g1_i4"	26.1366	21.337	1.57865
"TRINITY_DN429_c0_g1_i8"	1.6205	1.23754	0.0283592
"TRINITY_DN1137_c1_g1_i5"	0.142457	0.203287	0
"TRINITY_DN1165_c0_g1_i16"	4.60406	4.57932	1.59483
"TRINITY_DN1146_c4_g1_i1"	11.1525	21.1711	2.4985
"TRINITY_DN1146_c9_g1_i2"	3.06888	2.4153	0.268263
"TRINITY_DN1144_c0_g3_i1"	0.773911	0.609737	0.306361
"TRINITY_DN17107_c1_g1_i12"	6.784	10.058	1.31788
"TRINITY_DN34332_c0_g1_i37"	0.343846	0.626395	0.00147452
"TRINITY_DN25373_c0_g2_i1"	0.584153	1.01756	0
"TRINITY_DN41777_c0_g1_i20"	30.3836	19.6729	0
"TRINITY_DN41809_c1_g1_i6"	1.43279	1.30391	0.542371
"TRINITY_DN5156_c2_g2_i2"	0.220538	0.318386	0
"TRINITY_DN48086_c0_g3_i1"	3.93309	2.51415	0.121986
"TRINITY_DN40991_c1_g1_i3"	0.0239999	0.0151959	0
"TRINITY_DN89892_c3_g1_i1"	0.428334	0.553322	0.329352
"TRINITY_DN9114_c2_g1_i13"	2.35856	1.91707	0.882284
"TRINITY_DN12076_c1_g1_i1"	1.13419	2.51081	0
"TRINITY_DN62980_c0_g2_i1"	0.615719	0.45881	0
"TRINITY_DN36624_c4_g1_i4"	3.11768	7.39368	0
"TRINITY_DN36699_c0_g1_i14"	1.49204	1.2623	0.171137
"TRINITY_DN11244_c0_g1_i10"	18.6991	13.931	0.128667
"TRINITY_DN27686_c2_g1_i2"	0.260139	0.237429	0
"TRINITY_DN5482_c2_g1_i7"	0.424857	0.464186	0.182539
"TRINITY_DN3657_c1_g1_i3"	0.0221634	0.0146847	0.00136815
"TRINITY_DN3613_c14_g1_i1"	9.17085	9.77071	4.61898
