"113"	"222"	"425"
"TRINITY_DN5662_c21_g2_i1"	0	0.382065	0
"TRINITY_DN37828_c1_g1_i1"	0	0.143644	0
"TRINITY_DN79315_c0_g2_i1"	0	0.327885	0
"TRINITY_DN63083_c0_g5_i1"	0	0.110753	0
"TRINITY_DN28708_c1_g1_i6"	0	0.120732	0.000962823
"TRINITY_DN28764_c0_g1_i1"	0	0.00694273	0
"TRINITY_DN28779_c0_g1_i3"	1.52627e-06	6.72497	0.176153
"TRINITY_DN28767_c1_g1_i1"	0	0.128626	0
"TRINITY_DN96678_c2_g1_i1"	0	0.0909817	0
"TRINITY_DN71291_c1_g1_i12"	0	0.447099	0.075753
"TRINITY_DN71291_c1_g1_i4"	0	0.0546572	0
"TRINITY_DN0_c693_g1_i1"	0	0.745981	0
"TRINITY_DN0_c2480_g1_i2"	1.4935	1.84491	1.39353
"TRINITY_DN0_c718_g1_i1"	1.78943	3.97475	1.35897
"TRINITY_DN0_c8931_g2_i1"	0	12.2653	3.35539
"TRINITY_DN4_c1_g1_i35"	0	0.351714	0
"TRINITY_DN4_c1_g1_i53"	0.293569	0.821409	0.356264
"TRINITY_DN4_c388_g2_i1"	0	0.230079	0
"TRINITY_DN4_c0_g2_i7"	0	0.238893	0
"TRINITY_DN4_c0_g2_i8"	0	0.237336	0
"TRINITY_DN4_c0_g1_i31"	0.386308	0.835084	0.266045
"TRINITY_DN4_c130_g1_i3"	0	0.0913179	0
"TRINITY_DN4_c2_g2_i6"	0.166449	1.22797	0.304439
"TRINITY_DN4_c2_g2_i3"	0	0.476765	0
"TRINITY_DN4_c2_g2_i4"	0	0.476765	0
"TRINITY_DN4_c25_g1_i22"	0	0.167503	0
"TRINITY_DN4_c35_g1_i6"	0	0.363289	0.0623965
"TRINITY_DN4_c35_g1_i7"	0	0.0896816	0
"TRINITY_DN4_c35_g1_i21"	0	1.82759	0
"TRINITY_DN4_c35_g1_i13"	0	0.33953	0
"TRINITY_DN14_c36_g1_i10"	1.93003	4.05782	0.761018
"TRINITY_DN14_c31_g1_i1"	6.57538	10.1324	4.32779
"TRINITY_DN14_c26_g1_i2"	0	0.360364	0.0559087
"TRINITY_DN14_c15_g2_i7"	0	0.566329	0.0809615
"TRINITY_DN14_c15_g1_i13"	0	0.438657	0.0437798
"TRINITY_DN14_c15_g1_i15"	0	0.33396	0
"TRINITY_DN32_c8_g1_i6"	0	0.618175	0
"TRINITY_DN32_c8_g1_i10"	0	0.298244	0
"TRINITY_DN32_c8_g1_i13"	0	1.81648	0
"TRINITY_DN10_c6_g2_i10"	6.51132	13.9983	5.95424
"TRINITY_DN10_c64_g1_i2"	0	0.538937	0.0934663
"TRINITY_DN10_c0_g1_i4"	0	1.17529	0.0859508
"TRINITY_DN10_c12_g1_i21"	0	0.0083969	0
"TRINITY_DN43_c5_g1_i1"	0	0.47478	0
"TRINITY_DN2_c26_g2_i3"	0	0.631188	0
"TRINITY_DN2_c31_g1_i1"	0	0.193452	0
"TRINITY_DN2_c14_g1_i1"	0	0.907428	0
"TRINITY_DN2_c14_g1_i13"	0	0.117685	0
"TRINITY_DN3_c1_g5_i9"	0.124877	0.488998	0.0998635
"TRINITY_DN3_c34_g1_i7"	0	0.591546	0.0757737
"TRINITY_DN3_c0_g1_i82"	4.52172	8.44581	2.14061
"TRINITY_DN3_c45_g1_i7"	1.83006	3.6841	1.85333
"TRINITY_DN3_c21_g1_i1"	0	0.330434	0.0191741
"TRINITY_DN3_c0_g6_i2"	0.0406971	0.477459	0.0956512
"TRINITY_DN3_c0_g6_i5"	0	0.101919	0
"TRINITY_DN3_c0_g6_i3"	0	0.101919	0
"TRINITY_DN3_c0_g6_i6"	0.0406971	0.477459	0.0956512
"TRINITY_DN40_c1_g1_i8"	0	0.175698	0
