"173"	"272"
"TRINITY_DN21408_c3_g1_i1"	270.693	0
"TRINITY_DN5654_c0_g1_i10"	172.763	0
"TRINITY_DN5617_c0_g1_i1"	506.534	0
"TRINITY_DN37810_c4_g1_i3"	9560.48	0
"TRINITY_DN28726_c0_g1_i9"	141.088	0
"TRINITY_DN12476_c0_g1_i6"	220.368	0
"TRINITY_DN96656_c1_g2_i2"	307.612	1.1103
"TRINITY_DN4777_c9_g1_i2"	4798.55	0
"TRINITY_DN28898_c0_g2_i1"	165.627	0
"TRINITY_DN0_c2183_g1_i1"	212.764	5.71533
"TRINITY_DN28_c2_g1_i2"	133.299	2.82242
"TRINITY_DN71371_c0_g1_i10"	3068.12	0
"TRINITY_DN2912_c0_g1_i9"	146.436	0
"TRINITY_DN18980_c0_g1_i1"	141.804	0
"TRINITY_DN18998_c0_g1_i1"	214.268	0
"TRINITY_DN18998_c0_g1_i2"	653.005	0
"TRINITY_DN77704_c0_g1_i5"	2282.3	0
"TRINITY_DN44233_c0_g1_i3"	1091.44	0
"TRINITY_DN44224_c5_g1_i7"	704.779	15.9346
"TRINITY_DN44224_c5_g1_i1"	337.846	20.8021
"TRINITY_DN9674_c0_g1_i10"	182.266	0
"TRINITY_DN10878_c0_g1_i3"	368.047	0
"TRINITY_DN8767_c0_g1_i6"	226.182	0
"TRINITY_DN8745_c0_g1_i1"	303.031	0
"TRINITY_DN8745_c0_g1_i7"	397.468	0
"TRINITY_DN8745_c0_g2_i1"	446.376	0
"TRINITY_DN8725_c0_g1_i2"	219.357	0
"TRINITY_DN8725_c0_g1_i11"	140.817	0
"TRINITY_DN2034_c1_g1_i1"	195.969	0
"TRINITY_DN43338_c0_g1_i4"	6578.69	0
"TRINITY_DN43338_c0_g1_i2"	200.602	0
"TRINITY_DN17088_c1_g1_i5"	308.743	0.423654
"TRINITY_DN76962_c0_g1_i2"	166.793	0
"TRINITY_DN487_c0_g1_i18"	331.043	0
"TRINITY_DN487_c0_g1_i11"	203.257	0
"TRINITY_DN453_c0_g1_i1"	164.984	0
"TRINITY_DN403_c1_g1_i1"	267.871	0.0308236
"TRINITY_DN484_c0_g1_i2"	160.425	0
"TRINITY_DN484_c0_g1_i4"	459.106	0
"TRINITY_DN1103_c13_g1_i13"	439.374	0
"TRINITY_DN1103_c13_g1_i9"	453.671	0
"TRINITY_DN1103_c13_g1_i14"	398.983	0
"TRINITY_DN1130_c2_g1_i6"	424.304	0
"TRINITY_DN34352_c1_g1_i1"	2466.86	0
"TRINITY_DN6976_c0_g1_i19"	146.313	0.0227335
"TRINITY_DN42640_c0_g1_i14"	1641.82	0
"TRINITY_DN42640_c0_g1_i12"	332.994	0
"TRINITY_DN33522_c0_g1_i2"	149.928	0
"TRINITY_DN75134_c1_g1_i1"	236.981	11.3872
"TRINITY_DN50813_c4_g1_i1"	2699.24	0
"TRINITY_DN50809_c0_g1_i2"	905.203	0
"TRINITY_DN50861_c0_g1_i6"	1115.32	0
"TRINITY_DN41715_c0_g2_i3"	171.376	0
"TRINITY_DN15507_c0_g1_i5"	200.318	0
"TRINITY_DN15549_c0_g1_i2"	170.569	0
"TRINITY_DN809_c0_g1_i4"	438.307	0
"TRINITY_DN817_c0_g1_i5"	205.173	0.520922
"TRINITY_DN896_c14_g1_i1"	201.836	0
"TRINITY_DN5162_c0_g1_i1"	245.208	0
"TRINITY_DN40991_c1_g1_i3"	388.159	0.0186988
"TRINITY_DN91634_c0_g1_i12"	439.9	0
"TRINITY_DN4271_c0_g1_i10"	148.962	0
"TRINITY_DN4283_c0_g1_i27"	288.451	19.2183
"TRINITY_DN4260_c0_g1_i14"	440.35	0
"TRINITY_DN14614_c0_g1_i6"	179.935	0
"TRINITY_DN14614_c0_g1_i13"	319.132	0
"TRINITY_DN39089_c0_g1_i2"	161.051	0
"TRINITY_DN31975_c0_g1_i2"	262.383	0
"TRINITY_DN47266_c0_g1_i1"	645.843	0
"TRINITY_DN22913_c0_g1_i3"	540.002	0
"TRINITY_DN22913_c0_g1_i6"	208.237	0
"TRINITY_DN22913_c0_g1_i1"	231.558	0
"TRINITY_DN22913_c0_g1_i12"	1519.57	0
"TRINITY_DN22991_c1_g1_i4"	296.994	0
