"173"	"272"
"TRINITY_DN88415_c0_g1_i2"	0	20.3776
"TRINITY_DN21442_c0_g2_i1"	0	21.7811
"TRINITY_DN21434_c5_g1_i3"	4.5383	19.4833
"TRINITY_DN21430_c0_g1_i1"	0	20.7224
"TRINITY_DN5621_c1_g1_i1"	0	56.6322
"TRINITY_DN5600_c0_g1_i13"	0	221.042
"TRINITY_DN5662_c21_g2_i1"	0	34.5033
"TRINITY_DN37868_c0_g1_i2"	0	23.0599
"TRINITY_DN37814_c0_g1_i3"	1.91793	19.831
"TRINITY_DN37883_c1_g2_i7"	0	41.8294
"TRINITY_DN37828_c1_g1_i1"	0	27.14
"TRINITY_DN79315_c0_g2_i1"	0	37.2363
"TRINITY_DN63028_c0_g1_i2"	0.234821	217.58
"TRINITY_DN28721_c2_g2_i1"	0	19.0208
"TRINITY_DN28760_c7_g1_i1"	0	23.6446
"TRINITY_DN28777_c1_g1_i1"	0	16.6159
"TRINITY_DN28769_c0_g1_i1"	0	108.996
"TRINITY_DN28783_c1_g1_i5"	0	29.9794
"TRINITY_DN28789_c1_g1_i1"	0	20.8694
"TRINITY_DN4718_c4_g1_i2"	0	37.1309
"TRINITY_DN4739_c0_g1_i17"	0	42.3843
"TRINITY_DN28844_c0_g2_i1"	1.5274	25.4644
"TRINITY_DN28872_c0_g1_i14"	7.59081	35.2813
"TRINITY_DN28877_c0_g1_i5"	0	15.2539
"TRINITY_DN54071_c1_g1_i6"	3.32417	30.2008
"TRINITY_DN54005_c0_g1_i1"	2.68186	115.709
"TRINITY_DN54027_c3_g1_i12"	3.09211	5.95239
"TRINITY_DN71291_c1_g1_i12"	0	38.7475
"TRINITY_DN71291_c1_g1_i6"	0	31.4817
"TRINITY_DN71291_c1_g1_i4"	0	33.4867
"TRINITY_DN19737_c0_g1_i17"	5.71166	11.6482
"TRINITY_DN19737_c0_g1_i10"	2.4967	6.16702
"TRINITY_DN0_c65_g1_i6"	0	52.0423
"TRINITY_DN0_c1334_g2_i3"	0	23.5404
"TRINITY_DN0_c3848_g1_i4"	0	48.2734
"TRINITY_DN0_c952_g2_i1"	0	73.2397
"TRINITY_DN0_c489_g1_i2"	0	16.2215
"TRINITY_DN0_c1545_g2_i1"	5.91667	97.8044
"TRINITY_DN0_c718_g1_i1"	2.64924	12.9092
"TRINITY_DN0_c8931_g2_i1"	0	20.1421
"TRINITY_DN16_c3_g1_i1"	0	19.7923
"TRINITY_DN4_c1_g1_i53"	0.278765	21.951
"TRINITY_DN4_c9_g1_i2"	0	22.8687
"TRINITY_DN4_c0_g2_i7"	0	30.8769
"TRINITY_DN4_c0_g2_i8"	0	68.9669
"TRINITY_DN4_c0_g1_i31"	0.0659084	27.9809
"TRINITY_DN4_c0_g1_i12"	0	44.4656
"TRINITY_DN4_c0_g1_i35"	0.314578	23.1411
"TRINITY_DN4_c0_g1_i64"	0	95.0487
"TRINITY_DN4_c2_g2_i9"	0	63.7586
"TRINITY_DN4_c2_g2_i6"	0	126.76
"TRINITY_DN4_c2_g2_i3"	0	37.6323
"TRINITY_DN4_c2_g2_i4"	0	37.6323
"TRINITY_DN4_c25_g1_i27"	0	34.3319
"TRINITY_DN4_c25_g1_i4"	0	42.164
"TRINITY_DN4_c25_g1_i6"	0.526087	14.6756
"TRINITY_DN4_c35_g1_i6"	0	42.173
"TRINITY_DN4_c35_g1_i7"	0	17.8675
"TRINITY_DN4_c35_g1_i19"	1.717	33.7206
"TRINITY_DN4_c35_g1_i21"	0	66.3296
"TRINITY_DN4_c35_g1_i25"	0	23.9862
"TRINITY_DN4_c35_g1_i13"	0	18.0015
"TRINITY_DN14_c67_g1_i5"	0	39.9804
"TRINITY_DN14_c36_g1_i4"	3.25633	75.1766
"TRINITY_DN14_c36_g1_i10"	0	41.8098
"TRINITY_DN14_c31_g1_i5"	2.81088	9.75495
"TRINITY_DN14_c26_g1_i2"	0.0506946	47.7923
"TRINITY_DN14_c26_g1_i3"	0.0506946	16.6476
"TRINITY_DN14_c15_g2_i7"	0.637197	11.569
"TRINITY_DN14_c15_g1_i11"	0	20.1548
