"072"	"294"
"TRINITY_DN88474_c0_g1_i2"	8.81654	49.0842
"TRINITY_DN21406_c11_g1_i1"	36.4145	25.5715
"TRINITY_DN21430_c0_g1_i1"	1.10437	9.68356
"TRINITY_DN5600_c0_g1_i13"	0.755477	19.2408
"TRINITY_DN5622_c0_g1_i7"	12.3319	62.5612
"TRINITY_DN5616_c8_g1_i1"	18.3628	214.538
"TRINITY_DN5616_c0_g1_i3"	3.67941	29.6441
"TRINITY_DN5616_c0_g1_i12"	4.16381	139.429
"TRINITY_DN5616_c0_g3_i5"	16.6074	36.3286
"TRINITY_DN37810_c0_g1_i7"	5.80688	52.5337
"TRINITY_DN63028_c0_g1_i2"	1.27383	18.5218
"TRINITY_DN28742_c0_g1_i10"	14.638	52.7588
"TRINITY_DN28722_c2_g1_i1"	15.3334	108.45
"TRINITY_DN12483_c0_g1_i3"	3.524	31.1953
"TRINITY_DN12487_c0_g1_i1"	6.31021	33.9001
"TRINITY_DN4791_c0_g1_i1"	2.3471	52.6914
"TRINITY_DN4727_c0_g1_i6"	0	24.7999
"TRINITY_DN4796_c0_g1_i5"	12.7384	108.492
"TRINITY_DN4789_c0_g3_i1"	41.0607	45.673
"TRINITY_DN4712_c0_g1_i12"	27.8237	36.177
"TRINITY_DN4740_c0_g1_i4"	0.578994	28.1475
"TRINITY_DN28829_c0_g1_i7"	0.419014	13.2723
"TRINITY_DN19737_c0_g1_i17"	3.9026	31.5936
"TRINITY_DN19737_c0_g1_i10"	2.22034	76.1595
"TRINITY_DN19726_c0_g1_i1"	41.6415	29.2599
"TRINITY_DN19771_c0_g1_i3"	1.01068	22.9072
"TRINITY_DN0_c693_g1_i2"	6.69131	74.6779
"TRINITY_DN0_c1545_g2_i1"	36.9121	47.2702
"TRINITY_DN14_c1_g1_i5"	23.3228	49.3773
"TRINITY_DN14_c55_g3_i1"	4.6249	58.3506
"TRINITY_DN89_c2_g4_i5"	8.9956	47.7553
"TRINITY_DN7_c0_g3_i3"	55.1176	41.2268
"TRINITY_DN7_c0_g3_i16"	0.0269854	49.5543
"TRINITY_DN7_c5_g1_i1"	9.71255	88.595
"TRINITY_DN96_c0_g1_i6"	5.06783	36.8731
"TRINITY_DN96_c0_g1_i10"	1.27684	13.0808
"TRINITY_DN96_c0_g1_i9"	42.7944	31.6724
"TRINITY_DN3_c74_g1_i1"	16.8027	48.8323
"TRINITY_DN3_c16_g1_i16"	36.2133	25.6065
"TRINITY_DN3_c1_g1_i21"	1.65023	278.41
