"127"	"280"
"TRINITY_DN5600_c0_g1_i13"	24.7506	1272.69
"TRINITY_DN3_c1_g1_i21"	83.3023	7027.78
"TRINITY_DN9680_c1_g1_i3"	48.2396	655.132
"TRINITY_DN34321_c0_g2_i3"	65.8554	1968.23
"TRINITY_DN92356_c1_g1_i5"	93.7422	678.717
"TRINITY_DN92356_c1_g1_i12"	17.1243	1663.29
"TRINITY_DN4294_c3_g1_i7"	300.222	9316.67
"TRINITY_DN90889_c3_g1_i20"	139.658	3412.22
"TRINITY_DN11283_c1_g2_i4"	71.2541	1246.65
"TRINITY_DN17725_c1_g1_i12"	21.8364	664.928
"TRINITY_DN24175_c0_g1_i3"	49.0977	2025.13
"TRINITY_DN88652_c1_g1_i13"	29.2199	683.501
"TRINITY_DN53583_c1_g1_i3"	34.9098	912.329
"TRINITY_DN18184_c0_g1_i4"	60.4069	1309.47
"TRINITY_DN25681_c0_g2_i2"	102.26	3932.47
"TRINITY_DN5230_c8_g1_i17"	55.1597	1627.45
"TRINITY_DN65574_c0_g1_i8"	35.1535	961.96
"TRINITY_DN71155_c0_g1_i2"	25.9016	704.626
"TRINITY_DN86667_c1_g1_i22"	286.031	8421.97
"TRINITY_DN44091_c0_g2_i5"	320.96	7370.09
"TRINITY_DN67825_c1_g1_i5"	54.0525	1406.09
"TRINITY_DN42432_c0_g1_i17"	28.2645	726.452
"TRINITY_DN4157_c1_g1_i3"	17.5538	1133.08
"TRINITY_DN64332_c2_g1_i1"	96.4424	3184.8
"TRINITY_DN45566_c0_g1_i9"	53.9866	787.584
"TRINITY_DN87096_c0_g1_i1"	57.4529	971.561
"TRINITY_DN86288_c0_g1_i6"	43.6136	967.547
"TRINITY_DN10206_c6_g1_i9"	20.8323	1000.19
"TRINITY_DN34986_c2_g1_i13"	62.562	4290.67
"TRINITY_DN24002_c4_g1_i16"	363.521	9382.96
"TRINITY_DN19950_c2_g1_i2"	24.3004	726.984
"TRINITY_DN95960_c0_g1_i5"	24.2503	709.949
"TRINITY_DN7054_c0_g1_i10"	25.7769	660.237
"TRINITY_DN56434_c0_g1_i7"	23.7635	1906.39
"TRINITY_DN19415_c4_g1_i1"	18.7534	1768.1
"TRINITY_DN35928_c0_g2_i4"	204.786	5510.83
"TRINITY_DN15267_c0_g2_i2"	104.338	3327.7
"TRINITY_DN81418_c3_g1_i1"	34.3668	716.603
"TRINITY_DN81500_c0_g1_i4"	81.735	2286.86
"TRINITY_DN5312_c4_g1_i6"	29.6493	901.161
"TRINITY_DN66569_c2_g1_i7"	104.574	3371.87
"TRINITY_DN9339_c3_g1_i5"	24.1342	827.872
"TRINITY_DN13217_c0_g1_i2"	24.5102	624.437
"TRINITY_DN46853_c1_g1_i1"	233.492	6901.34
"TRINITY_DN136469_c1_g1_i8"	198.882	5451.72
"TRINITY_DN118486_c1_g1_i8"	30.5097	1028.09
"TRINITY_DN174753_c0_g2_i7"	49.2052	1527.26
"TRINITY_DN150923_c0_g1_i3"	107.809	2910.61
"TRINITY_DN123969_c0_g1_i3"	42.7342	2112.34
"TRINITY_DN135625_c0_g2_i3"	63.4848	1106.53
"TRINITY_DN105558_c0_g1_i2"	524.598	11445.6
"TRINITY_DN140269_c0_g1_i1"	23.874	833.238
"TRINITY_DN112480_c0_g1_i2"	62.2624	1387.62
"TRINITY_DN176571_c1_g2_i1"	71.3102	2119.53
"TRINITY_DN174202_c0_g1_i2"	35.4664	845.457
"TRINITY_DN196166_c1_g1_i3"	110.666	2848.84
"TRINITY_DN186334_c1_g1_i2"	22.4187	616.485
"TRINITY_DN195798_c1_g1_i2"	118.039	2598.64
"TRINITY_DN141779_c2_g1_i16"	102.985	3087.66
"TRINITY_DN117149_c0_g1_i4"	30.1712	2691.52
"TRINITY_DN123161_c1_g1_i23"	18.6637	731.098
"TRINITY_DN125566_c0_g1_i7"	38.8812	855.077
"TRINITY_DN189529_c1_g1_i1"	63.2813	658.592
"TRINITY_DN134765_c0_g1_i5"	20.9219	714.586
"TRINITY_DN134765_c0_g1_i6"	657.292	29257.1
"TRINITY_DN142345_c0_g1_i14"	37.9698	869.446
"TRINITY_DN135038_c1_g1_i18"	198.244	5227.4
"TRINITY_DN187544_c0_g1_i11"	27.5875	1202.24
"TRINITY_DN165627_c0_g1_i7"	33.1884	726.217
"TRINITY_DN128821_c0_g1_i1"	93.8064	3943.28
"TRINITY_DN135818_c0_g1_i6"	279.492	8398.95
"TRINITY_DN189392_c0_g1_i14"	33.3702	4492.99
