"132"	"334"	"485"
"TRINITY_DN22637_c0_g1_i2"	1.36496	0.798644	5.18317
"TRINITY_DN1532_c0_g2_i1"	8.45088	3.17454	26.5689
"TRINITY_DN1532_c0_g2_i2"	23.0248	2.81127	34.7868
"TRINITY_DN1613_c0_g1_i16"	5.95874	1.46194	7.19512
"TRINITY_DN177654_c0_g1_i1"	0.0733009	0	0.0799558
"TRINITY_DN2221_c0_g1_i5"	0	0	0.263826
"TRINITY_DN47952_c1_g1_i10"	9.85963	8.57966	16.3675
"TRINITY_DN7444_c13_g1_i1"	13.3666	12.4747	21.6242
"TRINITY_DN50831_c0_g1_i9"	3.02314	1.95309	4.78761
"TRINITY_DN104065_c0_g1_i1"	5.15711	4.53846	7.05082
"TRINITY_DN104065_c0_g1_i5"	1.47294	2.58201	4.28599
"TRINITY_DN557247_c0_g1_i1"	0	0	0.332182
"TRINITY_DN82044_c1_g1_i1"	1.21977	0.149538	6.14818
"TRINITY_DN160605_c0_g1_i1"	0	0	0.942236
