"151"	"254"	"445"
"TRINITY_DN10458_c1_g1_i1"	1.54009	0	0
"TRINITY_DN1532_c0_g2_i1"	45.6045	22.2202	26.0521
"TRINITY_DN1532_c0_g2_i2"	70.6103	23.727	43.4691
"TRINITY_DN12642_c1_g1_i13"	7.07739	0	0
"TRINITY_DN43336_c0_g1_i1"	9.42466	3.29426	0.438249
"TRINITY_DN1613_c0_g1_i16"	19.5185	9.18234	17.3769
"TRINITY_DN136504_c0_g1_i1"	0.410126	0	0
"TRINITY_DN2166_c0_g1_i9"	6.21676	0	0
"TRINITY_DN2221_c0_g1_i8"	2.27415	0	0
"TRINITY_DN2221_c0_g1_i17"	2.32776	0	0
"TRINITY_DN2221_c0_g1_i3"	0.379546	0	0
"TRINITY_DN2221_c0_g1_i4"	0.992327	0	0
"TRINITY_DN65080_c1_g1_i14"	0.622728	0	0.150158
"TRINITY_DN130132_c1_g1_i1"	5.74061	3.63898	5.26627
"TRINITY_DN13063_c1_g1_i1"	119.197	71.0723	33.8526
