"127"	"280"
"TRINITY_DN22637_c0_g1_i2"	1.23216	0.612905
"TRINITY_DN10458_c1_g1_i1"	3.26948	0.0341923
"TRINITY_DN12642_c1_g1_i13"	1.76848	0
"TRINITY_DN7323_c4_g1_i6"	6.19621	0.798708
"TRINITY_DN172337_c0_g1_i10"	4.31098	0
"TRINITY_DN2166_c0_g1_i9"	6.02195	0.223641
"TRINITY_DN2221_c0_g1_i8"	1.97728	0
"TRINITY_DN2221_c0_g1_i17"	4.16656	0
"TRINITY_DN50831_c0_g1_i9"	4.37299	0.592328
"TRINITY_DN104065_c0_g1_i1"	3.43332	1.22844
"TRINITY_DN130132_c1_g1_i1"	4.08437	0.938874
"TRINITY_DN104065_c0_g1_i5"	1.94193	1.14999
"TRINITY_DN82044_c1_g1_i1"	2.85567	0.660627
