"178"	"359"	"463"
"TRINITY_DN4711_c2_g1_i2"	1.03561	0	2.51376
"TRINITY_DN0_c0_g1_i34"	1.28735	0.00038905	3.20651
"TRINITY_DN11_c3_g1_i15"	11.8005	2.98542	14.1232
"TRINITY_DN91_c1_g1_i2"	1.38557	0.749212	1.45647
"TRINITY_DN447_c1_g1_i37"	1.33128	0	3.12019
"TRINITY_DN495_c1_g1_i12"	2.94367	1.79164	3.17625
"TRINITY_DN7865_c0_g2_i1"	3.61354	2.50006	4.75636
"TRINITY_DN38336_c0_g1_i1"	3.23757	0.275169	3.84097
"TRINITY_DN8280_c0_g1_i6"	1.74169	0.541585	2.8381
"TRINITY_DN5401_c0_g1_i2"	4.92038	0	4.83544
"TRINITY_DN9438_c0_g1_i1"	0.26551	0	0.268809
"TRINITY_DN14381_c0_g1_i1"	2.20975	0.52229	2.27056
"TRINITY_DN13537_c0_g1_i2"	0.4715	0	0.466094
"TRINITY_DN3924_c0_g1_i4"	234.474	153.878	275.323
"TRINITY_DN12650_c0_g1_i2"	5.42693	3.55108	6.36716
"TRINITY_DN12738_c0_g1_i3"	2.01829	0.212818	4.19687
"TRINITY_DN647_c2_g1_i3"	2.96515	2.21305	3.95596
"TRINITY_DN7932_c0_g1_i7"	3.20321	1.69119	4.947
"TRINITY_DN7932_c1_g1_i3"	3.55826	2.68239	4.29684
"TRINITY_DN10017_c0_g3_i1"	25.8813	9.64402	32.6656
"TRINITY_DN2505_c0_g1_i19"	19.1309	3.24186	25.7824
"TRINITY_DN9298_c0_g4_i1"	9.01925	4.74031	10.6943
"TRINITY_DN21336_c1_g1_i2"	3.51355	0.90959	6.46876
"TRINITY_DN21391_c0_g1_i9"	0.299327	0.21779	0.295434
"TRINITY_DN21363_c0_g1_i1"	11.1629	0	21.9256
"TRINITY_DN12204_c0_g1_i1"	18.2146	10.5345	19.49
"TRINITY_DN3769_c0_g1_i29"	0.166766	0	0.337112
"TRINITY_DN6895_c2_g1_i2"	1.66046	0.262191	1.9572
"TRINITY_DN15353_c0_g1_i1"	0.168558	0	0.33423
"TRINITY_DN23565_c0_g1_i3"	0.612969	0.374411	0.670042
"TRINITY_DN4175_c5_g2_i1"	1.51309	0	2.32625
"TRINITY_DN1491_c2_g1_i2"	2.05742	1.49777	2.68461
"TRINITY_DN9076_c1_g1_i1"	6.67068	3.27913	7.65623
"TRINITY_DN1766_c3_g1_i1"	11.8859	7.40846	13.9085
"TRINITY_DN6670_c0_g3_i1"	2.49071	0.483193	2.34298
"TRINITY_DN558_c0_g1_i2"	16.8033	6.49932	17.1455
"TRINITY_DN10991_c2_g2_i2"	1.10466	0.620985	1.69634
"TRINITY_DN2447_c0_g1_i13"	6.23158	2.36018	6.91334
"TRINITY_DN19600_c0_g1_i9"	2.08156	0.791249	3.52166
"TRINITY_DN1020_c0_g1_i51"	10.8537	9.21679	11.4622
"TRINITY_DN1095_c0_g1_i10"	1.47047	0	3.53275
"TRINITY_DN755_c0_g1_i7"	0.769671	0	1.16788
"TRINITY_DN718_c0_g1_i12"	3.17466	0	3.88809
"TRINITY_DN4433_c0_g1_i6"	0.575455	0	0.664108
"TRINITY_DN32249_c0_g1_i1"	0.242196	0	0.585947
"TRINITY_DN8420_c0_g1_i2"	4.22875	0.660372	5.47004
"TRINITY_DN8420_c0_g1_i3"	5.90849	2.72637	7.77551
