"id178_TPM"	"id359_TPM"	"id463_TPM"
"TRINITY_DN21483_c0_g1_i2"	0.249044	0.275169	7.922
"TRINITY_DN21490_c0_g1_i1"	0	3.36989	9.09117
"TRINITY_DN5661_c0_g4_i3"	0	0.857968	17.5141
"TRINITY_DN5618_c0_g1_i1"	0.1196	0	4.9327
"TRINITY_DN5671_c0_g1_i14"	0	1.10817	4.89283
"TRINITY_DN5671_c0_g1_i8"	0.21079	2.14517	3.6624
"TRINITY_DN5642_c0_g1_i1"	0	0.859723	10.0198
"TRINITY_DN5663_c0_g5_i1"	0	0	5.10465
"TRINITY_DN5662_c0_g1_i4"	0.515948	0.855661	4.82584
"TRINITY_DN37949_c0_g1_i1"	0	0	8.55261
"TRINITY_DN12427_c0_g1_i1"	0.386725	0	13.9017
"TRINITY_DN12414_c0_g3_i1"	0	0	5.38183
"TRINITY_DN12437_c0_g2_i1"	0.364187	1.76191	12.257
"TRINITY_DN12437_c1_g1_i1"	1.04741	2.60357	3.63391
"TRINITY_DN12462_c0_g1_i1"	0	1.10068	6.84173
"TRINITY_DN12405_c0_g2_i3"	0	0.935693	19.4762
"TRINITY_DN4706_c0_g4_i1"	11.6423	18.8506	29.0158
"TRINITY_DN4706_c1_g1_i3"	3.30479	10.815	32.5114
"TRINITY_DN4706_c0_g1_i2"	0.579591	0.620225	10.4488
"TRINITY_DN4718_c0_g1_i1"	1.15938	4.18867	77.3732
"TRINITY_DN4743_c0_g1_i14"	0.662719	1.74846	5.79226
"TRINITY_DN4714_c0_g1_i17"	2.72878e-05	15.321	132.404
"TRINITY_DN4714_c0_g1_i4"	0.0239526	7.81805	11.9295
"TRINITY_DN4730_c0_g2_i1"	0	1.07581	7.60378
"TRINITY_DN4744_c0_g1_i12"	0.210945	0.662516	10.6957
"TRINITY_DN4711_c1_g1_i2"	0	0.233767	5.80523
"TRINITY_DN4790_c0_g1_i1"	0.223181	0.0694171	24.8257
"TRINITY_DN4712_c0_g1_i1"	0.989931	4.95308	7.68316
"TRINITY_DN4783_c0_g1_i24"	0	0	7.4584
"TRINITY_DN28957_c0_g1_i1"	0.206251	0	26.232
"TRINITY_DN28946_c0_g1_i1"	8.71812	17.5043	23.7309
"TRINITY_DN19786_c0_g2_i1"	0	0.99031	4.65415
"TRINITY_DN0_c2_g1_i1"	8.06605	27.7355	52.972
"TRINITY_DN0_c2_g1_i2"	0	1.13707	4.49645
"TRINITY_DN0_c2_g1_i28"	2.66628	0	8.81852
"TRINITY_DN0_c2_g1_i35"	1.0564	6.87557	15.182
"TRINITY_DN0_c2_g1_i36"	0	1.02883	8.26605
