"id178_TPM"	"id359_TPM"	"id463_TPM"
"TRINITY_DN21470_c5_g1_i1"	4.66006	1.33976	0
"TRINITY_DN5653_c0_g2_i3"	13.8018	7.56652	5.49943
"TRINITY_DN5677_c0_g1_i3"	214.994	25.6178	4.59891
"TRINITY_DN12499_c0_g1_i1"	37.5191	10.1847	0
"TRINITY_DN4725_c0_g1_i1"	10.1557	0	1.21932
"TRINITY_DN4725_c0_g1_i3"	4.95066	0.796411	0
"TRINITY_DN4725_c0_g1_i4"	41.3371	11.0678	0
"TRINITY_DN4714_c0_g1_i2"	5.4367	1.39633	0
"TRINITY_DN4713_c0_g1_i1"	4.9279	1.22743	0
"TRINITY_DN4739_c0_g1_i1"	31.0989	6.7154	0.0262335
"TRINITY_DN4704_c4_g1_i2"	5.62583	1.13521	1.53811
"TRINITY_DN4704_c0_g1_i10"	2983.83	779.707	1.36306
"TRINITY_DN4704_c0_g1_i16"	2794.81	833.517	1.36306
"TRINITY_DN4756_c0_g1_i9"	6.51024	0.772648	0
"TRINITY_DN4712_c0_g4_i1"	6.1279	0.869641	0
"TRINITY_DN4740_c0_g1_i1"	8.25412	1.68068	0
"TRINITY_DN0_c2_g1_i16"	17.5085	14.8448	16.3822
"TRINITY_DN0_c2_g1_i33"	37.1902	22.0329	23.9448
"TRINITY_DN0_c2_g1_i43"	9.44169	0	0
"TRINITY_DN0_c8_g1_i1"	15.1755	2.58034	0
"TRINITY_DN0_c8_g1_i2"	9.10171	0	0
"TRINITY_DN57_c0_g1_i2"	8.54814	2.0683	0.0663392
"TRINITY_DN4_c0_g1_i29"	8.98371	0.752843	0
"TRINITY_DN77_c0_g1_i1"	194.602	50.6068	0
"TRINITY_DN2_c3_g1_i17"	8.59264	2.22266	0
"TRINITY_DN53_c0_g1_i1"	84.2697	0.079087	0.0446373
"TRINITY_DN18_c0_g1_i1"	43.5965	0	0
"TRINITY_DN91_c0_g2_i22"	7.20226	2.50448	3.60031
"TRINITY_DN3_c1_g1_i1"	7.52623	0	0
"TRINITY_DN3813_c0_g1_i2"	4.54949	1.43342	0
"TRINITY_DN3856_c0_g1_i2"	5.0552	0	0
"TRINITY_DN3831_c0_g1_i1"	183.443	39.915	10.088
"TRINITY_DN11680_c0_g1_i9"	7.78092	1.515	0
"TRINITY_DN11680_c1_g1_i1"	4.89175	1.54153	0
"TRINITY_DN11616_c0_g3_i2"	4.27265	0.79699	0
"TRINITY_DN11690_c0_g1_i4"	15.112	0	0.0387339
"TRINITY_DN11690_c0_g1_i5"	95.2851	0	0
"TRINITY_DN11690_c0_g1_i6"	310.014	0	0.255471
"TRINITY_DN11690_c0_g1_i7"	7.30899	0	0
"TRINITY_DN11690_c0_g1_i8"	21.953	0	0
"TRINITY_DN11615_c2_g1_i9"	19.2222	5.4452	0
"TRINITY_DN2973_c0_g1_i1"	11.4509	0	0
"TRINITY_DN2974_c0_g2_i1"	30.3466	14.5954	23.4665
"TRINITY_DN2994_c0_g1_i14"	3.86961	0.28522	2.96975
"TRINITY_DN2900_c0_g1_i8"	8.53814	0	0
"TRINITY_DN2993_c0_g1_i5"	7.79183	0.825	0
"TRINITY_DN19015_c2_g1_i1"	10.7859	8.13981	8.38226
"TRINITY_DN18958_c0_g2_i1"	7.11961	2.17059	0
"TRINITY_DN9655_c0_g1_i5"	6.36571	0	0
"TRINITY_DN35213_c0_g1_i1"	5.35286	0	0
"TRINITY_DN10810_c0_g1_i1"	25.0493	0	0
"TRINITY_DN10850_c0_g1_i10"	6.43486	3.18905	2.0006
"TRINITY_DN8702_c0_g2_i2"	10.3263	4.04791	1.16978
"TRINITY_DN8748_c0_g1_i1"	17.5507	4.6607	0
"TRINITY_DN8775_c0_g1_i2"	1889.18	605.643	0.18403
"TRINITY_DN2071_c0_g1_i1"	8.7784	1.48923	0
"TRINITY_DN2018_c0_g1_i1"	5.76617	0	0
"TRINITY_DN2068_c0_g1_i3"	9.06736	0.0573691	0
"TRINITY_DN2004_c0_g2_i2"	142.394	12.3221	6.74105
"TRINITY_DN2004_c8_g1_i1"	616.939	183.16	2.21489
"TRINITY_DN2080_c0_g1_i2"	4.5077	0.854759	0.230389
"TRINITY_DN17070_c0_g1_i4"	6.4538	1.7216	0
"TRINITY_DN466_c0_g2_i10"	24.3175	0	0.00819711
"TRINITY_DN466_c0_g2_i3"	9.66072	0	0
"TRINITY_DN466_c0_g1_i1"	6.31025	0.0321629	0
"TRINITY_DN468_c0_g1_i10"	2.44991	1.27697	2.14369
"TRINITY_DN489_c0_g1_i7"	4.41258	1.147	0
"TRINITY_DN436_c4_g4_i1"	14.1303	2.75491	0
"TRINITY_DN436_c1_g4_i1"	4.59263	1.14876	0
"TRINITY_DN461_c0_g1_i30"	18.2965	5.57337	0
"TRINITY_DN467_c1_g1_i1"	4.4739	1.09775	0
"TRINITY_DN435_c0_g1_i3"	8.93942	2.48701	0.0148562
"TRINITY_DN400_c0_g1_i1"	6.67511	2.25619	0.99871
"TRINITY_DN432_c0_g1_i5"	7.58281	0.703717	0.0229328
"TRINITY_DN430_c0_g1_i2"	5.76456	1.48774	0
"TRINITY_DN456_c0_g3_i1"	10.0611	2.24699	0
"TRINITY_DN465_c0_g2_i2"	6.1376	0	0
"TRINITY_DN488_c0_g1_i7"	15.6772	0.0991055	0
"TRINITY_DN478_c0_g1_i2"	5.82583	0.466571	0
"TRINITY_DN7814_c0_g1_i1"	188.651	46.6844	0
"TRINITY_DN7802_c0_g1_i1"	10.4259	1.23281	0.0346572
"TRINITY_DN7846_c0_g1_i1"	16.7907	0	0.02122
"TRINITY_DN7846_c0_g1_i2"	8.95609	0	0
"TRINITY_DN1152_c0_g1_i1"	384.047	0.638554	0.136267
"TRINITY_DN1196_c0_g1_i4"	4.68327	0.977308	0
"TRINITY_DN1196_c0_g1_i41"	5.03109	0.922574	0
"TRINITY_DN1192_c2_g1_i4"	2.98742	0.60322	2.73096
"TRINITY_DN1149_c0_g1_i1"	106.6	0	0
"TRINITY_DN1157_c0_g1_i2"	13.2081	4.23779	0
"TRINITY_DN34402_c0_g1_i1"	4.18965	0.867856	0
"TRINITY_DN6938_c0_g1_i1"	4.09824	1.37794	0.484948
"TRINITY_DN25406_c0_g1_i1"	11.9512	3.87338	0
"TRINITY_DN16297_c1_g1_i1"	2.88039	0.578571	1.87961
"TRINITY_DN16248_c0_g1_i1"	5.9219	0.0870946	0
"TRINITY_DN16312_c0_g1_i1"	3.28456	1.27841	2.32001
"TRINITY_DN33592_c0_g1_i1"	620.757	0	0
"TRINITY_DN15423_c0_g1_i2"	5.00801	1.32346	0
"TRINITY_DN6005_c0_g1_i1"	12.4886	0.608408	4.17642
"TRINITY_DN6010_c0_g1_i2"	10.0944	2.03224	0
"TRINITY_DN6008_c0_g1_i2"	26.8407	10.6316	5.06761
"TRINITY_DN6050_c0_g1_i1"	10.0359	1.68336	0
"TRINITY_DN6050_c0_g1_i2"	8.41014	1.97833	0
"TRINITY_DN15552_c0_g1_i1"	3.114	1.39303	2.36459
"TRINITY_DN32839_c0_g1_i1"	225.51	60.8445	1.38393
"TRINITY_DN32809_c0_g1_i1"	10.8746	0	0
"TRINITY_DN899_c1_g1_i2"	8.0807	3.31938	2.54353
"TRINITY_DN823_c1_g1_i1"	22.1691	0	0
"TRINITY_DN882_c2_g1_i11"	9779.89	3094.91	5.21828
"TRINITY_DN882_c2_g1_i9"	5998.8	1840.86	1.30384
"TRINITY_DN873_c0_g1_i1"	21.1837	0.196747	0
"TRINITY_DN5174_c0_g2_i1"	4.02445	0.95783	0.995026
"TRINITY_DN5167_c0_g2_i6"	5.09554	0.840935	0
"TRINITY_DN5104_c0_g1_i1"	17.1278	0.699105	0
"TRINITY_DN5178_c0_g2_i1"	12.4986	6.51571	4.32378
"TRINITY_DN5172_c2_g1_i1"	14.3314	3.50408	0
"TRINITY_DN5116_c1_g1_i4"	5.19482	1.10282	0
"TRINITY_DN4257_c0_g1_i1"	15.3069	0.143692	0
"TRINITY_DN22962_c0_g1_i3"	22.4435	3.67738	0.0803558
"TRINITY_DN13884_c0_g1_i1"	2.48579	1.26035	1.33844
"TRINITY_DN38351_c0_g1_i1"	143.212	0.330103	0
"TRINITY_DN38304_c0_g1_i1"	5.0761	0	0
"TRINITY_DN13976_c0_g1_i3"	27.5254	0	0
"TRINITY_DN13909_c0_g1_i4"	9.63152	0	0
"TRINITY_DN13937_c0_g1_i3"	5.91785	2.009	0.142462
"TRINITY_DN13937_c0_g2_i3"	5.97403	0.824262	0
"TRINITY_DN30142_c0_g1_i1"	9.41405	3.10027	0
"TRINITY_DN8260_c0_g1_i4"	5.74986	2.81539	3.42949
"TRINITY_DN8256_c0_g1_i15"	7.60443	2.29925	0
"TRINITY_DN8275_c0_g1_i1"	2.94605	0.542647	2.84651
"TRINITY_DN8271_c0_g1_i1"	11.348	0.204273	0
"TRINITY_DN12023_c1_g1_i1"	5.15251	0	0
"TRINITY_DN12074_c0_g1_i3"	5.6831	1.4646	0
"TRINITY_DN27613_c0_g1_i1"	4.56408	1.26648	0
"TRINITY_DN11250_c0_g1_i4"	5.46206	0.57815	0
"TRINITY_DN11215_c0_g2_i3"	20804.3	5539.14	0.960257
"TRINITY_DN11271_c0_g1_i1"	2.81182	0.4484	1.90961
"TRINITY_DN5401_c0_g1_i2"	4.92038	0	4.83544
"TRINITY_DN26806_c0_g1_i1"	5.54657	0	0
"TRINITY_DN26855_c0_g1_i1"	5.48105	0	0
"TRINITY_DN10476_c1_g2_i1"	7.49996	1.63874	0
"TRINITY_DN10463_c0_g1_i1"	6.00129	0	0
"TRINITY_DN10431_c0_g1_i2"	118.43	11.3092	0.0923177
"TRINITY_DN10499_c0_g1_i3"	2.40788	2.19912	2.265
"TRINITY_DN4501_c0_g1_i1"	6.90078	1.57615	0
"TRINITY_DN4542_c1_g1_i4"	96.4421	16.979	0
"TRINITY_DN4507_c0_g3_i1"	7.05267	0	0
"TRINITY_DN4541_c0_g1_i17"	2.39384	1.27023	1.62313
"TRINITY_DN4510_c0_g1_i7"	8.59998	5.95758	4.66019
"TRINITY_DN4505_c0_g1_i4"	11.4603	1.6206	0
"TRINITY_DN4527_c0_g1_i1"	337.374	72.5401	0
"TRINITY_DN17806_c0_g1_i7"	25.2088	2.29753	4.10972
"TRINITY_DN3664_c0_g2_i1"	13.9706	4.76867	2.36208
"TRINITY_DN3654_c0_g1_i1"	96.9094	0	0.175809
"TRINITY_DN3614_c4_g3_i1"	73.5845	22.4398	0
"TRINITY_DN3627_c0_g1_i1"	350.864	107.643	0
"TRINITY_DN3619_c0_g1_i1"	76.3019	0	0.0461394
"TRINITY_DN3602_c0_g1_i9"	17.5556	1.80955	0
"TRINITY_DN3682_c0_g1_i3"	11.4823	2.05416	0
"TRINITY_DN3690_c0_g1_i1"	142.931	0	0.122989
"TRINITY_DN2711_c0_g1_i1"	71.3789	0.601795	0.118902
"TRINITY_DN2781_c0_g1_i1"	59.8367	7.69148	0
"TRINITY_DN2701_c0_g1_i1"	65.987	0	0
"TRINITY_DN2766_c1_g1_i1"	2.49071	0.915815	2.15486
"TRINITY_DN2704_c0_g1_i7"	12.52	3.78512	0
