"id178_TPM"	"id359_TPM"	"id463_TPM"
"TRINITY_DN21478_c0_g1_i1"	1.37182	2.57568	1.38058
"TRINITY_DN21499_c0_g1_i1"	1.41605	12.3914	0
"TRINITY_DN21494_c1_g1_i2"	4.99227	12.1621	0
"TRINITY_DN21504_c1_g1_i1"	1.99177	6.50465	2.4084
"TRINITY_DN5656_c0_g1_i3"	69.5183	104.04	65.4865
"TRINITY_DN5633_c0_g1_i1"	14.0543	18.2593	0
"TRINITY_DN5633_c0_g1_i2"	4.72893	7.35432	3.13797
"TRINITY_DN5664_c0_g1_i1"	3.88829	7.93075	0
"TRINITY_DN5614_c0_g1_i1"	3.68256	8.68234	0
"TRINITY_DN5651_c0_g1_i1"	0.187067	14.5791	0
"TRINITY_DN5620_c0_g1_i1"	2.2315	3.93182	0
"TRINITY_DN5654_c0_g1_i7"	8.59189	19.7162	0
"TRINITY_DN5608_c0_g1_i1"	39.0864	66.1356	0.0389941
"TRINITY_DN5600_c0_g1_i1"	2.33899	3.87393	0
"TRINITY_DN5695_c0_g2_i1"	6.47149	11.6613	1.39851
"TRINITY_DN5695_c1_g1_i1"	3.47907	13.729	2.66248
"TRINITY_DN5695_c0_g3_i1"	21.7492	44.0393	0
"TRINITY_DN5650_c0_g1_i14"	2.86623	6.71022	0
"TRINITY_DN5650_c0_g1_i8"	2.86623	6.71022	0
"TRINITY_DN5617_c0_g1_i1"	17.0811	39.7202	0.0798493
"TRINITY_DN5696_c0_g1_i1"	3.38744	6.66066	0
"TRINITY_DN5696_c0_g1_i2"	3.38744	5.32853	0
"TRINITY_DN5624_c0_g1_i1"	8.26697	13.3461	0.0401239
"TRINITY_DN5660_c1_g1_i2"	8.19218	10.4878	0
"TRINITY_DN5660_c2_g1_i1"	8.01497	13.3134	0.415407
"TRINITY_DN5660_c2_g1_i2"	2.3306	7.79416	0
"TRINITY_DN5646_c1_g1_i1"	2.36737	5.26365	0
"TRINITY_DN5638_c1_g1_i2"	1.38199	3.86863	0
"TRINITY_DN5659_c0_g1_i1"	3.14056	8.99211	0
"TRINITY_DN5635_c0_g1_i1"	132.345	202.331	0.0596793
"TRINITY_DN5611_c0_g2_i2"	7.5429	11.1044	0
"TRINITY_DN5689_c0_g1_i1"	0.953775	5.29085	0
"TRINITY_DN37917_c0_g1_i1"	4.94258	7.94792	0
"TRINITY_DN28816_c0_g1_i1"	2.52351	16.464	0
"TRINITY_DN12423_c0_g2_i1"	4.71074	19.4537	3.72424
"TRINITY_DN12484_c0_g1_i1"	0.0196752	5.42372	0
"TRINITY_DN12455_c0_g1_i1"	7.33103	18.3878	0
"TRINITY_DN12428_c0_g1_i1"	3.36423	10.6901	0
"TRINITY_DN12451_c0_g1_i1"	8.41409	17.4571	0
"TRINITY_DN12415_c1_g1_i1"	7.02624	19.005	0.300957
"TRINITY_DN12415_c2_g1_i3"	12.6361	17.9475	0.395328
"TRINITY_DN12416_c0_g1_i1"	1.80889	25.7188	1.85004
"TRINITY_DN12488_c0_g1_i1"	2.66884	6.02522	0
"TRINITY_DN4715_c1_g1_i1"	4.13232	14.282	0
"TRINITY_DN4715_c7_g1_i1"	2.16864	4.82884	0
"TRINITY_DN4749_c0_g1_i1"	4.57086	6.00388	0
"TRINITY_DN4718_c0_g1_i2"	4.25967	6.60878	0
"TRINITY_DN4707_c0_g1_i2"	0.517429	10.9157	0
"TRINITY_DN4720_c0_g1_i1"	2.56541	3.38632	0
"TRINITY_DN4780_c0_g1_i2"	19.5962	237.791	14.0348
"TRINITY_DN4714_c0_g1_i6"	3.7069	9.39983	0
"TRINITY_DN4742_c0_g1_i1"	31.9522	117.61	0.145991
"TRINITY_DN4744_c0_g1_i11"	2.91274	4.09944	0.0532657
"TRINITY_DN4711_c4_g1_i2"	2.73638	11.4405	0
"TRINITY_DN4704_c2_g2_i1"	4.92847	9.58123	0.887868
"TRINITY_DN4704_c2_g1_i7"	3.46343	6.47122	0
"TRINITY_DN4733_c0_g1_i1"	6.30476	12.6248	0.0195797
"TRINITY_DN4736_c1_g1_i2"	1.68306	2.81085	1.89767
"TRINITY_DN4708_c0_g1_i1"	33.702	43.0334	0
"TRINITY_DN4752_c0_g1_i1"	2.32034	8.5849	0
"TRINITY_DN4702_c0_g1_i6"	6.36581	20.9722	0
"TRINITY_DN4712_c0_g1_i2"	1.24973	6.78992	2.34166
"TRINITY_DN4741_c2_g2_i1"	0.820051	6.73402	0
"TRINITY_DN4740_c0_g2_i8"	33.8607	167.956	16.3055
"TRINITY_DN4783_c0_g1_i22"	3.12817	6.10874	0
"TRINITY_DN4717_c0_g1_i1"	2.32266	12.3724	0.48937
"TRINITY_DN0_c0_g1_i39"	11.33	21.2443	0.192057
"TRINITY_DN0_c0_g1_i4"	6.48659	10.7316	3.12079
"TRINITY_DN0_c2_g1_i18"	5.20134	16.9925	2.86092
"TRINITY_DN0_c2_g1_i9"	8.44168	29.5645	12.5117
"TRINITY_DN0_c2_g3_i1"	24.4311	49.6489	10.9464
"TRINITY_DN0_c10_g1_i1"	9.24531	24.3322	0
"TRINITY_DN0_c55_g1_i1"	21.1641	64.7614	6.16072
"TRINITY_DN0_c55_g1_i3"	32.1741	94.9029	15.812
"TRINITY_DN0_c1_g1_i18"	3.90025	12.8117	4.10601
"TRINITY_DN0_c29_g1_i1"	2.10938	5.19924	0
"TRINITY_DN0_c3_g1_i1"	5.42698	62.2704	0.148138
"TRINITY_DN0_c2_g4_i1"	10350.8	34881.5	9.14076
"TRINITY_DN0_c127_g1_i3"	11.3762	15.8215	0
"TRINITY_DN0_c21_g1_i1"	10.5761	17.2161	0
"TRINITY_DN59_c0_g1_i1"	5.2041	8.29503	0.0207862
"TRINITY_DN65_c0_g1_i2"	1.53489	3.53855	0
"TRINITY_DN57_c0_g1_i1"	1.11897	13.9687	0
"TRINITY_DN57_c0_g1_i3"	0.244007	5.89658	0
"TRINITY_DN25_c0_g1_i1"	0	28.7673	1.65742e-06
"TRINITY_DN44_c12_g1_i1"	2.84156	6.88675	0
"TRINITY_DN4_c0_g1_i19"	2.03769	5.94829	0
"TRINITY_DN4_c0_g1_i3"	16.1261	21.4043	17.0671
"TRINITY_DN4_c0_g1_i5"	7.72199	52.4298	15.089
"TRINITY_DN32_c0_g1_i1"	2.43927	4.27486	0.00911119
"TRINITY_DN66_c0_g1_i21"	1.82353	4.36863	0
"TRINITY_DN89_c0_g1_i2"	1.49466	4.54484	0.636464
"TRINITY_DN56_c0_g1_i1"	2.90943	4.80189	0
"TRINITY_DN58_c0_g1_i2"	1.23392	8.22638	0
"TRINITY_DN37_c0_g1_i3"	1.12137	5.73694	0
"TRINITY_DN11_c0_g3_i1"	8.26871	25.4859	0.0732724
"TRINITY_DN85_c0_g1_i2"	4.55677	5.91635	0
"TRINITY_DN10_c0_g1_i1"	1.68791	3.63655	0
"TRINITY_DN48_c0_g1_i2"	2.42651	5.33425	0
"TRINITY_DN48_c1_g2_i4"	1.75345	4.38562	0
"TRINITY_DN48_c1_g1_i1"	5.57571	13.2094	2.53677
"TRINITY_DN17_c0_g2_i1"	17.2735	39.8308	0.0268161
"TRINITY_DN45_c0_g1_i1"	7.81933	16.7146	0.0285604
"TRINITY_DN21_c0_g1_i1"	9.91476	12.8721	0
"TRINITY_DN21_c0_g1_i2"	1.80914	3.67725	0
"TRINITY_DN79_c0_g1_i1"	5.12182	7.5291	0
