"id118_TPM"	"id349_TPM"	"id481_TPM"
"TRINITY_DN5685_c0_g1_i1"	3.7399	2.69241	1.21872
"TRINITY_DN5660_c2_g2_i1"	3.05192	2.32365	1.63546
"TRINITY_DN4744_c0_g1_i17"	5.01393	0.712168	0
"TRINITY_DN4704_c4_g1_i3"	24.2905	17.1072	14.2145
"TRINITY_DN4704_c2_g1_i3"	7.94611	4.31806	1.25327
"TRINITY_DN4767_c0_g1_i1"	4.04707	3.80658	1.22815
"TRINITY_DN19730_c3_g1_i1"	4.55831	3.42348	0
"TRINITY_DN0_c2_g1_i6"	11.2285	8.71469	3.85571
"TRINITY_DN4_c0_g1_i1"	9.09526	4.38242	0
"TRINITY_DN4_c0_g1_i8"	24.2932	4.90711	2.96985
"TRINITY_DN97_c0_g1_i16"	4.36571	3.62898	0.530486
"TRINITY_DN97_c0_g1_i19"	5.40992	4.49472	3.02008
"TRINITY_DN1_c499_g1_i1"	41.5079	21.2058	15.2708
"TRINITY_DN1_c3_g1_i3"	13.4839	12.7974	6.15194
"TRINITY_DN3801_c0_g2_i1"	32.9486	25.1062	20.3175
"TRINITY_DN3853_c0_g1_i3"	38.4695	32.7175	27.3611
"TRINITY_DN3831_c0_g1_i1"	66.727	41.5852	10.4001
"TRINITY_DN11656_c1_g1_i1"	3.73521	1.84562	1.00438
"TRINITY_DN11615_c2_g1_i9"	14.5226	4.7345	1.62712
"TRINITY_DN2901_c0_g1_i4"	4.98926	4.63267	0.995177
"TRINITY_DN2924_c1_g1_i3"	3.22905	1.91912	1.28377
"TRINITY_DN2970_c0_g1_i5"	53.5272	31.991	21.1436
"TRINITY_DN2974_c0_g1_i2"	46.1063	13.0053	8.30643
"TRINITY_DN9680_c0_g1_i11"	29.975	27.9168	26.1096
"TRINITY_DN9650_c0_g1_i2"	6.53693	2.29347	0.934192
"TRINITY_DN9690_c0_g2_i1"	3.14045	1.91767	1.27904
"TRINITY_DN9657_c2_g2_i1"	3.11267	2.52225	1.39378
"TRINITY_DN8702_c0_g1_i5"	4.94597	4.52609	3.71743
"TRINITY_DN8701_c0_g1_i4"	15.9944	4.11343	2.60156
"TRINITY_DN2091_c3_g1_i1"	85.4969	27.718	12.8947
"TRINITY_DN2061_c1_g1_i6"	8.68555	2.27348	0
"TRINITY_DN17116_c0_g1_i2"	4.89885	3.84855	0.291675
"TRINITY_DN461_c43_g1_i1"	4.02108	3.45161	1.16784
"TRINITY_DN461_c0_g1_i12"	11.9574	6.50437	1.1984
"TRINITY_DN461_c0_g1_i7"	131.479	36.8586	22.0628
"TRINITY_DN461_c3_g3_i1"	4.66363	1.86473	0.900421
