"id118_TPM"	"id349_TPM"	"id481_TPM"
"TRINITY_DN21478_c0_g1_i1"	3.87154	53.9809	95.018
"TRINITY_DN21536_c0_g2_i1"	0	3.20837	2.83113
"TRINITY_DN21481_c3_g1_i1"	1.05659	5.89109	4.43803
"TRINITY_DN21465_c0_g1_i1"	0	8.71971	7.99396
"TRINITY_DN21504_c1_g1_i1"	5.86564	8.12374	8.35656
"TRINITY_DN5656_c0_g1_i3"	122.238	604.045	793.602
"TRINITY_DN5661_c0_g1_i1"	0	21.8287	14.8024
"TRINITY_DN5661_c0_g1_i4"	0	35.7327	25.0236
"TRINITY_DN5661_c0_g1_i5"	0.15992	15.0512	14.8322
"TRINITY_DN5661_c0_g1_i6"	0	6.93509	5.12258
"TRINITY_DN5661_c0_g4_i3"	0	64.2322	62.3957
"TRINITY_DN5677_c0_g2_i8"	0	2.23957	2.98762
"TRINITY_DN5660_c1_g1_i2"	2.45603	12.3075	9.83151
"TRINITY_DN5671_c0_g1_i1"	0.64775	14.222	10.8262
"TRINITY_DN5671_c0_g1_i11"	0	6.34277	4.32711
"TRINITY_DN5671_c0_g1_i12"	1.03769	40.5969	39.1389
"TRINITY_DN5671_c0_g1_i17"	0	2.60045	4.12345
"TRINITY_DN5671_c0_g1_i2"	0	2.64874	2.47269
"TRINITY_DN5671_c0_g1_i20"	0.118249	3.27219	5.12665
"TRINITY_DN5652_c0_g1_i1"	0.310879	3.37182	4.36878
"TRINITY_DN5687_c0_g1_i2"	0	3.20209	2.07869
"TRINITY_DN5687_c0_g1_i8"	0	3.63636	2.7407
"TRINITY_DN5616_c0_g1_i1"	0	8.05865	5.49225
"TRINITY_DN5616_c0_g1_i5"	0	7.1942	6.81113
"TRINITY_DN5616_c0_g1_i7"	0	7.1942	6.81113
"TRINITY_DN5699_c0_g1_i3"	0.150733	15.9367	23.1757
"TRINITY_DN5699_c0_g1_i5"	0	8.96173	8.08543
"TRINITY_DN37897_c0_g1_i1"	1.24562	15.6518	23.9483
"TRINITY_DN28851_c0_g1_i1"	0	5.72508	8.27276
"TRINITY_DN28859_c0_g1_i1"	1.08507	11.5522	8.46852
"TRINITY_DN12423_c0_g2_i1"	6.21688	55.5621	57.0622
"TRINITY_DN12455_c0_g3_i1"	0.25118	5.16775	4.1973
"TRINITY_DN12455_c0_g2_i1"	0.707042	2.56775	2.76151
"TRINITY_DN12465_c0_g1_i1"	0	3.29713	5.48466
"TRINITY_DN12408_c0_g2_i2"	0	3.37658	2.56402
"TRINITY_DN12451_c0_g1_i1"	1.91204	5.98356	7.94841
"TRINITY_DN12437_c0_g1_i3"	1.00996	3.81869	2.96697
"TRINITY_DN12503_c3_g1_i1"	0	6.0758	6.30487
"TRINITY_DN12432_c0_g2_i1"	0	7.85809	7.20788
"TRINITY_DN4703_c0_g1_i1"	0.0780121	79.6892	57.5235
"TRINITY_DN4724_c0_g1_i1"	1.20756	7.8283	6.71469
"TRINITY_DN4743_c0_g1_i14"	4.52772	143.734	126.086
"TRINITY_DN4748_c0_g1_i10"	0.0633731	3.86614	3.31107
"TRINITY_DN4748_c0_g1_i2"	0.0398783	3.06777	3.37018
"TRINITY_DN4787_c0_g2_i4"	0.176498	8.16311	5.60707
"TRINITY_DN4714_c0_g1_i2"	7.37382	54.5458	58.3712
"TRINITY_DN4714_c0_g1_i6"	1.3956	3.05632	4.00379
"TRINITY_DN4730_c0_g1_i7"	0	12.5213	9.40636
"TRINITY_DN4730_c0_g2_i1"	0	23.3018	21.0215
"TRINITY_DN4754_c0_g1_i2"	3.8767	38.2565	42.7144
"TRINITY_DN4744_c0_g2_i2"	0	4.18565	4.80259
"TRINITY_DN4711_c4_g1_i2"	1.26734	11.3407	15.8993
"TRINITY_DN4711_c1_g1_i3"	0	3.28074	2.17391
"TRINITY_DN4712_c0_g2_i1"	0.866054	24.3997	39.7806
"TRINITY_DN4712_c0_g1_i1"	3.1233	41.264	33.3705
"TRINITY_DN4712_c0_g1_i2"	6.78663	25.6687	22.0907
"TRINITY_DN4712_c4_g1_i1"	0.553292	56.8021	42.4821
"TRINITY_DN4712_c2_g1_i1"	1.07784	2.69001	2.08637
"TRINITY_DN4740_c0_g1_i1"	3.98945	8.41482	6.97051
"TRINITY_DN4783_c0_g1_i13"	0.177568	52.1846	32.0795
"TRINITY_DN4783_c0_g1_i5"	0	4.32937	3.52228
"TRINITY_DN4763_c0_g1_i1"	1.1796	3.51266	3.70984
"TRINITY_DN28945_c0_g1_i1"	0.833612	6.58923	10.3164
"TRINITY_DN19728_c0_g1_i1"	0.223222	2.37486	2.80959
"TRINITY_DN19730_c1_g1_i1"	0.42157	4.51654	3.34754
"TRINITY_DN19730_c2_g1_i1"	6.23255	104.118	89.0352
"TRINITY_DN19747_c0_g1_i4"	1.44498	21.7866	17.6327
"TRINITY_DN19747_c0_g1_i7"	0.257314	31.3426	26.7032
"TRINITY_DN0_c4_g1_i4"	0	11.1337	7.01638
"TRINITY_DN0_c9_g1_i7"	0	3.55688	2.25887
"TRINITY_DN0_c127_g2_i1"	0.175562	4.95586	6.03082
"TRINITY_DN0_c0_g1_i24"	0.153975	7.49946	6.33969
"TRINITY_DN0_c0_g1_i4"	6.94944	57.2828	95.0742
"TRINITY_DN0_c0_g1_i41"	1.55574	6.77678	5.71562
"TRINITY_DN0_c2_g1_i2"	3.10974	30.316	20.5233
"TRINITY_DN0_c2_g1_i37"	0	10.45	13.8085
"TRINITY_DN0_c2_g1_i39"	0	17.4785	14.2843
"TRINITY_DN0_c2_g1_i4"	3.94261	197.528	288.428
"TRINITY_DN0_c2_g1_i9"	7.84222	137.52	103.292
"TRINITY_DN0_c5_g3_i1"	0	5.42669	9.84987
"TRINITY_DN0_c51_g1_i1"	0.701029	32.9745	45.4838
"TRINITY_DN0_c138_g1_i1"	1.34715	105.502	154.294
"TRINITY_DN0_c2_g3_i1"	19.9032	126.257	88.6223
"TRINITY_DN0_c0_g2_i1"	0.534269	6.5792	6.27438
"TRINITY_DN0_c147_g1_i1"	0.33363	4.02939	6.87348
"TRINITY_DN0_c58_g1_i1"	9.41757	160.425	197.273
