"id132_TPM"	"id334_TPM"	"id485_TPM"
"TRINITY_DN21536_c0_g1_i3"	3.34761	1.75457	2.39851
"TRINITY_DN21494_c1_g1_i2"	6.0859	2.79678	3.14714
"TRINITY_DN21504_c1_g1_i1"	41.0144	14.6897	14.6304
"TRINITY_DN5653_c0_g2_i1"	11.7476	4.38541	7.43521
"TRINITY_DN5633_c0_g1_i1"	10.7633	3.45505	4.83694
"TRINITY_DN5644_c0_g1_i1"	9.04599	3.01457	5.54487
"TRINITY_DN5669_c0_g1_i1"	3.31973	1.08996	0.991858
"TRINITY_DN5608_c0_g1_i1"	22.5538	11.5327	14.5322
"TRINITY_DN5695_c0_g1_i1"	16.1219	7.89197	10.2553
"TRINITY_DN5695_c1_g1_i1"	14.9248	5.34222	6.78162
"TRINITY_DN5650_c0_g1_i14"	6.31281	1.47671	2.3498
"TRINITY_DN5650_c0_g1_i8"	6.31281	1.47671	2.3498
"TRINITY_DN5658_c1_g1_i2"	11.9922	3.10081	4.95312
"TRINITY_DN5611_c0_g2_i2"	19.6461	2.63467	9.66109
"TRINITY_DN5626_c0_g1_i5"	4.67129	0.89125	1.97697
"TRINITY_DN28802_c0_g1_i1"	18.5716	6.61906	9.80844
"TRINITY_DN12416_c0_g1_i1"	10.4601	7.7439	7.1923
"TRINITY_DN4706_c0_g1_i2"	2.43612	1.57139	1.45238
"TRINITY_DN4724_c0_g1_i1"	7.51902	1.7376	2.13909
"TRINITY_DN4714_c0_g1_i5"	144	74.3302	63.3168
"TRINITY_DN4744_c0_g1_i11"	6.43591	3.2278	4.05753
"TRINITY_DN4757_c0_g1_i1"	6.9598	4.99806	4.70808
"TRINITY_DN4711_c8_g1_i1"	5.39397	1.72746	1.06666
"TRINITY_DN4704_c4_g1_i1"	16.217	4.86667	6.50984
"TRINITY_DN4704_c4_g1_i2"	6.83049	3.6174	3.00295
"TRINITY_DN4704_c2_g1_i3"	8.91378	0	0
"TRINITY_DN4736_c1_g1_i2"	3.91173	2.57773	2.39443
"TRINITY_DN4736_c1_g2_i1"	5.37402	2.36375	3.21198
"TRINITY_DN4712_c0_g4_i1"	11.6709	2.39063	3.99798
"TRINITY_DN4740_c0_g2_i8"	143.001	121.744	131.132
"TRINITY_DN4767_c0_g1_i1"	7.18906	1.77248	2.97854
"TRINITY_DN28946_c0_g1_i1"	12.7858	5.76968	7.69186
"TRINITY_DN28911_c0_g1_i1"	4.21061	1.91774	1.9559
"TRINITY_DN19730_c3_g1_i1"	13.3706	2.55079	5.21503
"TRINITY_DN19757_c1_g1_i1"	8.67884	3.69264	4.34202
"TRINITY_DN0_c2_g1_i4"	6.73331	0.934528	0
"TRINITY_DN0_c2_g1_i6"	7.7944	7.07001	7.22479
"TRINITY_DN0_c235_g1_i1"	7.01795	2.64488	3.40488
"TRINITY_DN0_c58_g1_i1"	7.3616	4.6245	4.50526
"TRINITY_DN0_c8_g1_i2"	44.3053	0	0
"TRINITY_DN0_c8_g1_i3"	14.1121	0	0.0614881
