"id073_TPM"	"id221_TPM"	"id427_TPM"
"TRINITY_DN21536_c0_g1_i3"	0.0373317	8.3131	0.709705
"TRINITY_DN21505_c1_g1_i1"	6.88024	644.486	0.724688
"TRINITY_DN21517_c0_g1_i1"	0	5.12531	0
"TRINITY_DN21494_c1_g1_i3"	0	11.2626	0
"TRINITY_DN21470_c0_g1_i1"	0.103212	23.9657	0
"TRINITY_DN21470_c1_g1_i1"	0	8.57073	0
"TRINITY_DN21470_c6_g1_i1"	0	8.84976	0
"TRINITY_DN5680_c0_g1_i1"	0	10.1785	0
"TRINITY_DN5653_c0_g1_i1"	2.63767	19.7688	4.10283
"TRINITY_DN5653_c0_g2_i3"	0	13.4544	0
"TRINITY_DN5633_c0_g1_i1"	1.60925	22.3554	21.8107
"TRINITY_DN5664_c0_g1_i1"	2.60813	23.1326	0.467662
"TRINITY_DN5669_c0_g1_i1"	0	12.9524	0.588691
"TRINITY_DN5654_c0_g1_i7"	0	10.0761	2.72317
"TRINITY_DN5608_c0_g1_i1"	1.71588	8.30952	1.02448
"TRINITY_DN5697_c1_g2_i1"	0.089414	9.58217	0
"TRINITY_DN5672_c0_g1_i5"	0.30303	6.02183	1.28563
"TRINITY_DN5695_c0_g2_i1"	0.111702	21.371	7.57715
"TRINITY_DN5695_c0_g1_i1"	5.27013	7.31818	0
"TRINITY_DN5695_c0_g3_i1"	1.107	54.3477	2.6127
"TRINITY_DN5634_c0_g1_i1"	0.0658609	8.63986	0.0460581
"TRINITY_DN5649_c0_g1_i14"	1.36733	5.88393	2.40632
"TRINITY_DN5649_c0_g1_i21"	0.508613	38.2083	4.5866
"TRINITY_DN5649_c0_g1_i6"	0	7.29791	2.78335
"TRINITY_DN5617_c0_g1_i1"	3.53725	44.1935	4.98742
"TRINITY_DN5677_c0_g1_i3"	10.5241	805.963	5.44075
"TRINITY_DN5624_c0_g1_i1"	0	10.2959	0
"TRINITY_DN5660_c2_g2_i1"	0.803015	13.6622	5.15572
"TRINITY_DN5660_c1_g1_i2"	1.34923	17.0206	13.9141
"TRINITY_DN5683_c0_g1_i1"	0	42.3072	0
"TRINITY_DN5646_c0_g1_i1"	0	11.7445	0
"TRINITY_DN5646_c1_g1_i1"	2.04635	5.79719	2.26226
"TRINITY_DN5638_c1_g1_i2"	0	13.4714	0
"TRINITY_DN5681_c0_g1_i1"	8.39649	20.9942	18.3454
"TRINITY_DN5622_c0_g1_i1"	2.39082	20.7217	0
"TRINITY_DN5684_c0_g2_i1"	0	16.3423	0
"TRINITY_DN5635_c0_g1_i1"	0.92043	112.406	0.419021
"TRINITY_DN37897_c0_g1_i1"	0	10.1673	2.33226
"TRINITY_DN28830_c0_g1_i1"	3.92716	192.728	1.1094
"TRINITY_DN12425_c0_g1_i1"	0	5.56341	0
"TRINITY_DN12417_c1_g1_i1"	2.24444	3.82792	3.96861
"TRINITY_DN12499_c0_g1_i1"	0.729017	14.8165	0
"TRINITY_DN12451_c0_g1_i1"	1.51475	3.68222	0.307315
"TRINITY_DN12415_c2_g1_i3"	0.267351	13.6546	1.18048
"TRINITY_DN12503_c1_g1_i3"	0.454373	3.80981	2.20191
"TRINITY_DN4725_c0_g1_i1"	0	32.731	6.49641
"TRINITY_DN4725_c0_g1_i4"	2.5172	37.3342	0
"TRINITY_DN4791_c0_g1_i4"	0	7.98392	2.6523
"TRINITY_DN4760_c0_g1_i5"	0	6.8477	0
"TRINITY_DN4749_c0_g3_i1"	0.831057	18.809	2.03939
"TRINITY_DN4718_c0_g1_i2"	0.226847	10.9471	5.81887
"TRINITY_DN4718_c2_g2_i1"	0	7.84979	1.40723
"TRINITY_DN4751_c0_g1_i1"	0.129406	5.78231	0
"TRINITY_DN4766_c0_g3_i1"	0	12.1671	0.800757
"TRINITY_DN4759_c0_g1_i2"	0	8.17354	0
"TRINITY_DN4759_c0_g1_i5"	0	5.23624	0.994889
