"id151_TPM"	"id254_TPM"	"id445_TPM"
"TRINITY_DN21504_c1_g1_i1"	5.14782	9.07866	11.3096
"TRINITY_DN5656_c0_g1_i3"	75.1246	150.08	127.948
"TRINITY_DN5695_c1_g1_i1"	10.3621	14.7008	15.4937
"TRINITY_DN4775_c0_g1_i1"	4.21608	7.94418	7.05215
"TRINITY_DN4766_c0_g1_i1"	3.94786	4.88621	5.57067
"TRINITY_DN4714_c2_g1_i1"	13.2402	27.0895	29.0807
"TRINITY_DN4744_c0_g1_i17"	5.80985	8.78216	10.8695
"TRINITY_DN4704_c2_g1_i4"	2.38154	4.30454	4.43523
"TRINITY_DN4741_c0_g2_i1"	2.1966	7.07625	5.2934
"TRINITY_DN28926_c0_g1_i1"	5.9216	8.83956	9.2948
"TRINITY_DN0_c0_g1_i28"	2.64937	6.37011	5.82958
"TRINITY_DN0_c2_g1_i1"	17.6543	44.0651	50.7766
"TRINITY_DN0_c5_g1_i1"	0.712929	2.69078	3.74
"TRINITY_DN0_c176_g1_i1"	24.6035	37.2109	35.5043
"TRINITY_DN0_c57_g2_i1"	1.31531	2.12734	1.94089
"TRINITY_DN57_c0_g3_i1"	1.72795	1.81555	1.8127
"TRINITY_DN4_c7_g2_i2"	2.11959	5.58826	4.25543
"TRINITY_DN4_c0_g1_i1"	5.64206	8.25354	8.02758
"TRINITY_DN96_c0_g1_i2"	0.871108	2.10307	2.98697
"TRINITY_DN70_c12_g1_i6"	0.93234	2.58144	2.43949
"TRINITY_DN97_c0_g1_i9"	0	2.77527	2.5272
"TRINITY_DN5_c5_g1_i12"	2.35292	3.08447	3.21359
"TRINITY_DN2_c2_g1_i21"	27.9419	85.0047	60.8608
"TRINITY_DN87_c1_g1_i1"	0.385975	4.23243	3.02041
"TRINITY_DN19_c0_g2_i1"	5.92545	9.30602	11.7454
"TRINITY_DN91_c25_g1_i7"	3.12745	4.6477	5.60176
"TRINITY_DN3_c2_g1_i1"	1.22242	2.91054	3.27749
"TRINITY_DN1_c238_g1_i1"	0.515518	3.58475	3.61681
"TRINITY_DN1_c0_g1_i20"	5.47418	10.8266	10.8067
"TRINITY_DN1_c0_g1_i41"	0.0472733	2.36701	2.6427
"TRINITY_DN3839_c0_g1_i2"	41.5705	68.1233	66.9496
"TRINITY_DN3816_c0_g1_i1"	2.0434	2.86932	3.1196
"TRINITY_DN3813_c0_g1_i1"	1.84475	7.43141	5.80668
"TRINITY_DN3845_c0_g1_i1"	3.92351	5.07879	4.66752
"TRINITY_DN3800_c0_g1_i3"	1.05281	4.15758	6.17448
"TRINITY_DN3846_c0_g1_i1"	1.19535	2.62117	3.01331
"TRINITY_DN28056_c0_g1_i1"	0.97527	2.11951	1.9951
"TRINITY_DN28056_c0_g1_i2"	0.97527	2.11951	1.9951
"TRINITY_DN11692_c0_g2_i1"	0.845281	2.94224	2.23057
"TRINITY_DN11692_c0_g1_i4"	11.1648	30.7133	32.1366
"TRINITY_DN11624_c1_g2_i2"	2.6728	6.84236	7.24899
"TRINITY_DN11662_c0_g1_i2"	0.689038	3.55887	2.74996
"TRINITY_DN11642_c1_g1_i3"	2.9907	7.13991	6.2284
"TRINITY_DN2975_c0_g1_i6"	1.3485	3.96509	2.92843
"TRINITY_DN2901_c0_g1_i4"	1.69978	7.08304	10.9038
"TRINITY_DN2959_c1_g1_i13"	1.65009	3.9603	4.92669
"TRINITY_DN2909_c0_g1_i1"	1.29786	3.05294	2.93001
"TRINITY_DN2909_c0_g1_i2"	1.29786	3.05294	2.93001
"TRINITY_DN2909_c0_g1_i5"	1.29786	3.05294	2.93001
"TRINITY_DN2993_c0_g2_i1"	2.25366	3.64666	3.5543
"TRINITY_DN19020_c0_g1_i1"	1.48982	5.47005	3.92735
"TRINITY_DN18965_c0_g1_i1"	4.79796	7.53952	6.99149
"TRINITY_DN18944_c1_g1_i1"	5.38741	10.482	9.78812
"TRINITY_DN9680_c0_g1_i5"	0.248832	3.25146	3.24123
