"151"	"254"	"445"
"TRINITY_DN5656_c0_g1_i3"	75.1246	150.08	127.948
"TRINITY_DN0_c0_g1_i28"	2.64937	6.37011	5.82958
"TRINITY_DN0_c162_g1_i1"	1.26788	21.6923	9.984
"TRINITY_DN0_c13_g1_i4"	2.93127	6.30741	4.15193
"TRINITY_DN0_c176_g1_i1"	24.6035	37.2109	35.5043
"TRINITY_DN0_c1_g1_i18"	4.6659	8.97738	6.89798
"TRINITY_DN0_c29_g1_i3"	2.22645	13.8843	8.41167
"TRINITY_DN4_c7_g2_i2"	2.11959	5.58826	4.25543
"TRINITY_DN11_c0_g2_i2"	2.03528	25.829	12.4356
"TRINITY_DN70_c1_g1_i9"	0	2.50197	0.848909
"TRINITY_DN2_c2_g1_i21"	27.9419	85.0047	60.8608
"TRINITY_DN87_c1_g1_i1"	0.385975	4.23243	3.02041
"TRINITY_DN1_c1_g2_i4"	0	2.84472	1.6511
"TRINITY_DN1_c0_g1_i20"	5.47418	10.8266	10.8067
"TRINITY_DN3839_c0_g1_i2"	41.5705	68.1233	66.9496
"TRINITY_DN3895_c0_g1_i1"	170.543	389.043	254.492
"TRINITY_DN3873_c0_g1_i6"	1.82906	4.50429	2.95436
"TRINITY_DN28056_c0_g1_i1"	0.97527	2.11951	1.9951
"TRINITY_DN28056_c0_g1_i2"	0.97527	2.11951	1.9951
"TRINITY_DN11606_c1_g2_i1"	5.57278	11.411	7.65323
"TRINITY_DN11642_c1_g1_i3"	2.9907	7.13991	6.2284
"TRINITY_DN18965_c0_g1_i1"	4.79796	7.53952	6.99149
"TRINITY_DN18944_c1_g1_i1"	5.38741	10.482	9.78812
"TRINITY_DN9645_c1_g1_i2"	1.72862	5.84615	3.67491
"TRINITY_DN9680_c0_g1_i11"	24.5133	85.7729	56.0396
"TRINITY_DN10816_c0_g1_i5"	6.57174	17.4272	14.7736
"TRINITY_DN8792_c0_g1_i9"	1.01225	7.60881	5.2355
"TRINITY_DN2041_c0_g1_i8"	31.2231	40.5814	35.1143
"TRINITY_DN2029_c3_g1_i2"	0	0.415953	0.407084
"TRINITY_DN2051_c1_g1_i7"	4.6695	16.0856	8.52117
"TRINITY_DN2060_c0_g2_i1"	5.64075	27.7061	14.6203
"TRINITY_DN455_c0_g1_i19"	0.0845463	1.33559	0.786623
"TRINITY_DN1196_c0_g1_i33"	1.07015	5.7765	3.57175
"TRINITY_DN17194_c0_g2_i3"	0.241691	0.876806	0.66969
"TRINITY_DN17127_c0_g1_i1"	2.05294	5.17841	3.78052
"TRINITY_DN16377_c0_g1_i1"	6.32022	18.3109	13.216
"TRINITY_DN6000_c0_g2_i1"	0.296488	2.24443	1.12543
"TRINITY_DN6055_c0_g1_i1"	2.14572	4.00646	3.85492
"TRINITY_DN6034_c0_g1_i1"	0.471778	1.92042	1.86319
"TRINITY_DN15545_c0_g1_i1"	0.566288	2.41029	1.62283
"TRINITY_DN5141_c0_g1_i6"	16.0968	45.97	26.9612
"TRINITY_DN5163_c0_g2_i3"	5.1857	11.1331	7.57822
"TRINITY_DN5150_c0_g1_i1"	10.0483	65.5845	50.3427
"TRINITY_DN5167_c0_g2_i2"	0.590703	3.97941	3.92255
"TRINITY_DN5133_c1_g1_i3"	1.68474	5.9702	3.17764
"TRINITY_DN32064_c0_g1_i1"	1.8444	4.8639	3.01078
"TRINITY_DN13821_c0_g1_i5"	0.683376	9.46138	7.63826
"TRINITY_DN13839_c0_g1_i3"	2.93471	4.32262	4.14704
"TRINITY_DN9118_c0_g3_i1"	0	19.0009	19.1008
"TRINITY_DN37407_c0_g1_i1"	13.221	26.2394	19.1023
"TRINITY_DN8286_c0_g1_i2"	31.9765	44.744	36.8655
"TRINITY_DN8256_c0_g1_i6"	0.793895	10.6767	5.90543
"TRINITY_DN8257_c0_g1_i2"	8.11713	47.9111	22.2219
"TRINITY_DN28403_c0_g1_i1"	149.867	663.588	375.906
"TRINITY_DN12103_c1_g1_i3"	12.5492	35.4477	34.8041
