"id173_TPM"	"id272_TPM"
"TRINITY_DN21505_c1_g1_i1"	79.8584	410.683
"TRINITY_DN5656_c0_g1_i3"	143.76	774.65
"TRINITY_DN28830_c0_g1_i1"	336.758	33.1414
"TRINITY_DN4704_c0_g1_i10"	869.319	134.415
"TRINITY_DN4704_c0_g1_i16"	869.319	134.415
"TRINITY_DN0_c55_g1_i4"	380.169	1299.5
"TRINITY_DN54_c7_g1_i1"	567.083	157.607
"TRINITY_DN3831_c0_g1_i1"	833.325	120.07
"TRINITY_DN2944_c0_g1_i1"	78.041	488.229
"TRINITY_DN2904_c0_g1_i10"	476.365	16.8453
"TRINITY_DN2904_c0_g1_i18"	468.196	14.6783
"TRINITY_DN18923_c2_g1_i1"	833.503	194.205
"TRINITY_DN18929_c0_g1_i2"	426.607	52.6865
"TRINITY_DN18985_c6_g1_i1"	3508.54	53.1368
"TRINITY_DN8792_c0_g1_i15"	231.391	4053.58
"TRINITY_DN8775_c0_g1_i2"	319.624	54.4772
"TRINITY_DN2004_c8_g1_i1"	2425.66	80.6064
"TRINITY_DN2091_c3_g1_i1"	627.425	35.6102
"TRINITY_DN495_c0_g1_i8"	190.349	5717.03
"TRINITY_DN479_c0_g3_i3"	1363.02	280.512
"TRINITY_DN17138_c0_g3_i1"	1861.18	65.4704
"TRINITY_DN16400_c0_g1_i3"	409.64	34.7693
"TRINITY_DN24601_c0_g1_i1"	1490.42	695.107
"TRINITY_DN15530_c0_g1_i2"	428.05	393.721
"TRINITY_DN32839_c0_g1_i1"	74.2173	496.2
"TRINITY_DN892_c2_g1_i1"	347.516	30.5574
"TRINITY_DN14728_c1_g1_i1"	69.3584	598.364
"TRINITY_DN23009_c0_g1_i1"	375.357	51.239
"TRINITY_DN13942_c0_g1_i1"	796.589	113.824
"TRINITY_DN30075_c1_g1_i1"	562.732	161.284
"TRINITY_DN21102_c1_g1_i1"	198.289	915.392
"TRINITY_DN28403_c0_g1_i1"	86.2195	2813.69
"TRINITY_DN11215_c0_g2_i3"	6504.96	52.4336
"TRINITY_DN3614_c1_g1_i2"	1302.14	41.4625
"TRINITY_DN3627_c0_g1_i1"	1452.42	21.8887
"TRINITY_DN3627_c0_g1_i2"	1220.86	15.2939
"TRINITY_DN3653_c0_g1_i2"	568.907	25.1522
"TRINITY_DN3653_c0_g1_i4"	469.608	23.5098
"TRINITY_DN2704_c0_g1_i4"	204.129	532.559
"TRINITY_DN24189_c0_g1_i1"	376.434	2058.15
"TRINITY_DN7679_c0_g1_i3"	439.867	843.667
"TRINITY_DN15167_c0_g1_i1"	264.425	926.206
"TRINITY_DN15137_c0_g1_i1"	535.668	15.6233
"TRINITY_DN6773_c0_g1_i1"	875.798	44.1761
"TRINITY_DN23359_c5_g1_i4"	737.557	166.14
"TRINITY_DN14298_c11_g2_i1"	587.736	192.12
"TRINITY_DN14237_c0_g1_i2"	293.353	21.1647
"TRINITY_DN203_c0_g1_i1"	89.7678	399.552
"TRINITY_DN276_c0_g1_i19"	278.489	3043.98
"TRINITY_DN14396_c0_g1_i4"	223.27	1854.96
"TRINITY_DN13470_c0_g1_i14"	524.77	365.73
"TRINITY_DN13470_c0_g1_i4"	566.846	22.6479
"TRINITY_DN3924_c0_g1_i1"	245.642	1911.68
"TRINITY_DN604_c0_g1_i4"	848.689	139.54
"TRINITY_DN641_c1_g2_i2"	53.4319	800.787
"TRINITY_DN3161_c1_g1_i6"	86.3707	2423.14
"TRINITY_DN3161_c1_g3_i1"	322.671	500.825
"TRINITY_DN27239_c0_g1_i1"	307.109	13.4371
"TRINITY_DN7992_c0_g2_i3"	375.028	16.5322
"TRINITY_DN26504_c0_g1_i2"	389.942	30.079
"TRINITY_DN26464_c20_g1_i1"	981.977	273.624
