"173"	"272"
"TRINITY_DN21478_c0_g1_i1"	2.77954	61.9525
"TRINITY_DN21444_c0_g2_i1"	1.7602	127.791
"TRINITY_DN21490_c0_g1_i1"	0	27.5554
"TRINITY_DN21494_c1_g1_i2"	9.39463	28.0025
"TRINITY_DN5653_c0_g4_i1"	2.65269	31.0203
"TRINITY_DN5653_c0_g2_i3"	5.09546	33.3798
"TRINITY_DN5633_c0_g1_i1"	10.9411	43.0091
"TRINITY_DN5661_c0_g1_i4"	0	28.4992
"TRINITY_DN5661_c0_g4_i3"	0	46.8761
"TRINITY_DN5651_c0_g1_i1"	0	24.7218
"TRINITY_DN5695_c1_g1_i1"	9.10969	37.0399
"TRINITY_DN5649_c0_g1_i26"	0.493819	33.5338
"TRINITY_DN5617_c0_g1_i1"	5.67992	26.2379
"TRINITY_DN5677_c0_g1_i2"	0	37.0674
"TRINITY_DN5677_c0_g1_i4"	0	13.7429
"TRINITY_DN5660_c2_g1_i1"	1.43432	17.3538
"TRINITY_DN5671_c0_g1_i12"	0.717974	29.628
"TRINITY_DN5671_c0_g1_i8"	2.14417	109.498
"TRINITY_DN5642_c0_g1_i1"	0	48.5532
"TRINITY_DN5642_c0_g1_i3"	0	15.4769
"TRINITY_DN5681_c0_g1_i1"	1.49735	31.288
"TRINITY_DN5611_c0_g2_i2"	2.03482	15.0046
"TRINITY_DN37977_c0_g1_i1"	1.39577	121.461
"TRINITY_DN12423_c0_g2_i1"	1.84185	36.8497
"TRINITY_DN12437_c0_g2_i1"	0	38.6108
"TRINITY_DN12462_c0_g1_i1"	3.50184	38.5843
"TRINITY_DN12415_c0_g1_i13"	14.4273	56.4486
"TRINITY_DN12416_c0_g1_i1"	1.77706	44.7074
"TRINITY_DN12405_c0_g2_i3"	0	139.415
"TRINITY_DN4706_c0_g4_i1"	28.6188	203.744
"TRINITY_DN4706_c1_g1_i3"	3.97901	168.388
"TRINITY_DN4706_c0_g1_i1"	0	14.8311
"TRINITY_DN4706_c0_g1_i2"	0.0903449	51.6979
"TRINITY_DN4703_c0_g1_i1"	0	41.2379
"TRINITY_DN4718_c0_g1_i1"	0	208.736
"TRINITY_DN4718_c1_g1_i1"	0	41.3265
"TRINITY_DN4743_c0_g1_i14"	1.29582	143.218
"TRINITY_DN4780_c0_g1_i2"	7.44226	110.081
"TRINITY_DN4714_c0_g1_i17"	23.0235	545.432
"TRINITY_DN4714_c0_g1_i2"	0	42.3733
"TRINITY_DN4714_c0_g1_i4"	0	46.9305
"TRINITY_DN4730_c0_g2_i1"	0	21.1936
"TRINITY_DN4754_c0_g1_i2"	7.90472	68.3412
"TRINITY_DN4744_c0_g1_i5"	1.69958	23.1308
"TRINITY_DN4711_c2_g1_i2"	0.470263	17.9639
"TRINITY_DN4704_c4_g1_i2"	11.7703	21.2844
"TRINITY_DN4704_c2_g2_i1"	0	163.847
"TRINITY_DN4704_c2_g1_i1"	2.82403	43.6122
"TRINITY_DN4704_c2_g1_i4"	15.5887	22.9785
"TRINITY_DN4704_c2_g1_i6"	13.9765	84.6361
"TRINITY_DN4702_c0_g1_i6"	11.8212	61.9749
"TRINITY_DN4712_c0_g2_i1"	1.79004	19.0605
"TRINITY_DN4712_c0_g1_i1"	0.661293	61.1289
"TRINITY_DN4712_c0_g1_i2"	3.16545	35.1832
"TRINITY_DN4712_c4_g1_i1"	0	23.1432
"TRINITY_DN4783_c0_g1_i13"	10.1153	46.2322
"TRINITY_DN28946_c0_g1_i1"	21.8838	152.665
"TRINITY_DN19730_c2_g1_i1"	4.34293	106.614
"TRINITY_DN19786_c0_g2_i1"	0	12.8629
"TRINITY_DN19747_c0_g1_i7"	0	11.5115
"TRINITY_DN0_c0_g1_i28"	3.56152	29.5806
"TRINITY_DN0_c0_g1_i39"	24.1682	31.1973
"TRINITY_DN0_c0_g1_i4"	3.43505	66.5951
