"173"	"272"
"TRINITY_DN21505_c1_g1_i1"	79.8584	410.683
"TRINITY_DN5656_c0_g1_i3"	143.76	774.65
"TRINITY_DN0_c55_g1_i4"	380.169	1299.5
"TRINITY_DN2944_c0_g1_i1"	78.041	488.229
"TRINITY_DN9651_c0_g1_i2"	31.1118	5660.42
"TRINITY_DN8792_c0_g1_i15"	231.391	4053.58
"TRINITY_DN495_c0_g1_i8"	190.349	5717.03
"TRINITY_DN24601_c0_g1_i1"	1490.42	695.107
"TRINITY_DN15530_c0_g1_i2"	428.05	393.721
"TRINITY_DN32839_c0_g1_i1"	74.2173	496.2
"TRINITY_DN14728_c1_g1_i1"	69.3584	598.364
"TRINITY_DN21102_c1_g1_i1"	198.289	915.392
"TRINITY_DN28403_c0_g1_i1"	86.2195	2813.69
"TRINITY_DN2704_c0_g1_i4"	204.129	532.559
"TRINITY_DN24189_c0_g1_i1"	376.434	2058.15
"TRINITY_DN7679_c0_g1_i3"	439.867	843.667
"TRINITY_DN15167_c0_g1_i1"	264.425	926.206
"TRINITY_DN203_c0_g1_i1"	89.7678	399.552
"TRINITY_DN276_c0_g1_i19"	278.489	3043.98
"TRINITY_DN14396_c0_g1_i4"	223.27	1854.96
"TRINITY_DN13470_c0_g1_i14"	524.77	365.73
"TRINITY_DN3924_c0_g1_i1"	245.642	1911.68
"TRINITY_DN641_c1_g2_i2"	53.4319	800.787
"TRINITY_DN3161_c1_g1_i6"	86.3707	2423.14
"TRINITY_DN3161_c1_g3_i1"	322.671	500.825
"TRINITY_DN10093_c0_g1_i2"	114.923	37140.5
"TRINITY_DN5297_c1_g1_i1"	83.531	1133.02
"TRINITY_DN3463_c0_g1_i4"	75.7248	463.583
"TRINITY_DN14988_c0_g2_i1"	70.4444	710.706
"TRINITY_DN38529_c8_g1_i1"	766.774	957.566
"TRINITY_DN6529_c0_g1_i1"	416.685	545.659
"TRINITY_DN6554_c0_g1_i4"	59.6701	1276.92
"TRINITY_DN19658_c0_g2_i1"	87.8569	1043.81
"TRINITY_DN10743_c0_g1_i6"	124.92	454.875
"TRINITY_DN5913_c0_g2_i4"	731.72	747.709
"TRINITY_DN32702_c12_g1_i1"	443.32	406.289
"TRINITY_DN23640_c0_g2_i1"	237.382	2773.91
"TRINITY_DN4105_c0_g1_i1"	115.374	804.272
"TRINITY_DN1469_c0_g1_i1"	96.4621	702.133
"TRINITY_DN8102_c0_g1_i13"	106.449	1068.96
"TRINITY_DN11012_c1_g1_i1"	56.3908	617.958
"TRINITY_DN10268_c0_g3_i2"	33.967	5339.21
"TRINITY_DN10204_c2_g1_i1"	777.303	1181.91
"TRINITY_DN25947_c0_g1_i1"	28.6104	6759.61
"TRINITY_DN16905_c21_g1_i1"	512.757	520.739
"TRINITY_DN24062_c0_g1_i1"	185.91	792.969
"TRINITY_DN14167_c2_g1_i1"	99.2484	807.365
"TRINITY_DN21561_c0_g1_i2"	105.116	836.375
"TRINITY_DN568_c0_g1_i24"	930.115	499.631
"TRINITY_DN593_c0_g1_i17"	53.6148	4856.97
"TRINITY_DN1280_c0_g2_i1"	257.798	1002.29
"TRINITY_DN1280_c0_g3_i1"	278.984	1030.1
"TRINITY_DN1290_c0_g1_i13"	207.113	1682.12
"TRINITY_DN17250_c1_g1_i3"	170.048	819.785
"TRINITY_DN915_c1_g1_i2"	632.621	350.779
"TRINITY_DN6102_c5_g1_i1"	76.5436	794.005
"TRINITY_DN6120_c0_g1_i2"	611.231	299.931
"TRINITY_DN32986_c1_g1_i1"	123.312	648.708
"TRINITY_DN2431_c0_g2_i3"	87.1421	1061.37
"TRINITY_DN1546_c0_g1_i5"	476.737	335.882
"TRINITY_DN12149_c0_g2_i1"	12.3745	9147.92
"TRINITY_DN12187_c0_g1_i1"	50.6843	7132.99
"TRINITY_DN20496_c0_g1_i1"	152.321	833.799
"TRINITY_DN5580_c0_g2_i2"	415.103	653.69
"TRINITY_DN5534_c0_g1_i1"	81.7483	1759.75
"TRINITY_DN9505_c0_g1_i5"	71.7495	753.882
"TRINITY_DN1828_c0_g1_i1"	177.576	1746.09
"TRINITY_DN15234_c0_g1_i2"	134.611	1866.9
"TRINITY_DN5882_c1_g1_i5"	24.563	18888.8
"TRINITY_DN5075_c1_g1_i1"	74.8771	623.8
"TRINITY_DN773_c1_g1_i1"	250.33	841.386
"TRINITY_DN773_c1_g1_i2"	601.891	1209.36
"TRINITY_DN736_c6_g1_i1"	65.007	815.122
"TRINITY_DN19031_c0_g1_i1"	273.465	2019.56
"TRINITY_DN16726_c0_g1_i1"	106.982	2157.53
"TRINITY_DN1696_c2_g1_i2"	368.392	901.203
"TRINITY_DN40403_c0_g1_i1"	267.721	534.551
"TRINITY_DN14064_c1_g2_i1"	456.545	1333.74
"TRINITY_DN29646_c1_g1_i1"	123.474	520.491
