"173"	"272"
"TRINITY_DN5677_c0_g1_i3"	1768.79	1762.88
"TRINITY_DN0_c2_g4_i1"	1397.95	1342.57
"TRINITY_DN20674_c0_g1_i1"	3200.4	606.203
"TRINITY_DN2088_c1_g1_i2"	9556	7488.76
"TRINITY_DN461_c0_g1_i46"	13926.1	1845.75
"TRINITY_DN495_c55_g1_i2"	682.548	3953.01
"TRINITY_DN25384_c7_g1_i1"	4519.14	1182.97
"TRINITY_DN16400_c0_g1_i12"	2762.22	947.112
"TRINITY_DN882_c2_g1_i5"	4928.54	28575.7
"TRINITY_DN882_c2_g1_i8"	6968.6	1121.81
"TRINITY_DN22962_c0_g1_i3"	668.863	3400.14
"TRINITY_DN14298_c0_g1_i4"	71174.1	11444.1
"TRINITY_DN14298_c0_g1_i6"	33256.7	4150.61
"TRINITY_DN14367_c0_g2_i1"	55034.3	20405.4
"TRINITY_DN14367_c0_g3_i1"	8316.79	3744.59
"TRINITY_DN14367_c0_g3_i4"	3150.44	1279.31
"TRINITY_DN13470_c0_g1_i8"	2659.45	1237.77
"TRINITY_DN3924_c0_g1_i4"	944.889	2406.42
"TRINITY_DN12750_c0_g3_i2"	1741.4	8847.34
"TRINITY_DN691_c1_g1_i3"	870.573	2356.65
"TRINITY_DN26475_c9_g1_i1"	2924.49	572.999
"TRINITY_DN21367_c0_g1_i2"	3962.75	3399.64
"TRINITY_DN11420_c1_g1_i3"	5297.46	4574.68
"TRINITY_DN5906_c2_g1_i3"	1030.74	4681.16
"TRINITY_DN23640_c0_g2_i2"	4647.88	14352.2
"TRINITY_DN22004_c0_g1_i1"	2827.56	621.265
"TRINITY_DN35324_c5_g1_i1"	2043.35	864.808
"TRINITY_DN21226_c12_g1_i1"	9336.1	2083.2
"TRINITY_DN21323_c0_g1_i6"	2687.04	1099.06
"TRINITY_DN21312_c1_g1_i1"	7728.38	1495.41
"TRINITY_DN20453_c0_g1_i1"	739.69	2748.74
"TRINITY_DN14445_c1_g2_i1"	847.222	3379.71
"TRINITY_DN10107_c0_g1_i2"	2447.33	1632.68
"TRINITY_DN10107_c0_g2_i1"	3772.55	2415
"TRINITY_DN26653_c0_g1_i1"	13045.7	16142.5
"TRINITY_DN38625_c12_g1_i1"	3223.94	1887.75
