"072"	"294"
"TRINITY_DN21470_c0_g1_i1"	19.0572	31.6347
"TRINITY_DN5656_c0_g1_i3"	160.757	86.5182
"TRINITY_DN5654_c0_g1_i7"	19.9353	36.2912
"TRINITY_DN5608_c0_g1_i1"	39.643	35.9292
"TRINITY_DN5634_c0_g1_i1"	22.1936	76.5528
"TRINITY_DN5649_c0_g1_i21"	18.8182	137.895
"TRINITY_DN5617_c0_g1_i1"	11.3638	89.4742
"TRINITY_DN5635_c0_g1_i1"	59.3403	71.0114
"TRINITY_DN12416_c0_g1_i1"	13.0127	16.7999
"TRINITY_DN4725_c0_g1_i4"	49.57	10.2749
"TRINITY_DN4706_c0_g4_i1"	32.942	18.6516
"TRINITY_DN4714_c2_g1_i1"	60.333	18.9986
"TRINITY_DN4714_c0_g1_i5"	74.1064	85.9093
"TRINITY_DN4735_c0_g1_i1"	165.59	126.989
"TRINITY_DN4739_c0_g1_i1"	137.728	4.02954
"TRINITY_DN4704_c4_g1_i3"	123.725	20.9251
"TRINITY_DN4704_c0_g1_i4"	82.1109	69.97
"TRINITY_DN4704_c14_g1_i1"	15.1616	53.8593
"TRINITY_DN4704_c2_g1_i5"	49.8461	102.207
"TRINITY_DN4702_c0_g1_i6"	31.6012	8.37827
"TRINITY_DN4740_c0_g2_i8"	195.418	58.7882
"TRINITY_DN4740_c0_g1_i1"	26.0141	1.05744
"TRINITY_DN19730_c2_g1_i1"	10.3285	21.5945
"TRINITY_DN0_c0_g1_i12"	62.636	0
"TRINITY_DN0_c0_g1_i34"	36.7107	0.948165
"TRINITY_DN0_c0_g1_i39"	48.133	18.8529
"TRINITY_DN0_c2_g1_i1"	16.7119	26.8953
"TRINITY_DN0_c2_g1_i43"	94.0809	11.5575
"TRINITY_DN0_c2_g1_i6"	39.693	12.5885
"TRINITY_DN0_c2_g1_i9"	9.52847	19.7578
"TRINITY_DN0_c2_g3_i1"	38.1365	24.9561
"TRINITY_DN0_c176_g1_i1"	23.3732	44.1114
"TRINITY_DN0_c55_g1_i1"	244.821	28.4245
"TRINITY_DN0_c55_g1_i3"	169.812	66.0378
"TRINITY_DN0_c1_g1_i31"	23.9625	24.6969
"TRINITY_DN0_c150_g1_i1"	19.7934	44.4413
"TRINITY_DN0_c58_g1_i1"	35.9631	18.4909
"TRINITY_DN0_c19_g2_i1"	27.2218	86.0766
"TRINITY_DN0_c21_g1_i1"	28.6343	8.48843
"TRINITY_DN44_c0_g1_i1"	35.674	0.768399
"TRINITY_DN4_c0_g1_i29"	43.5506	1.40208
"TRINITY_DN4_c0_g1_i3"	49.1786	32.4039
"TRINITY_DN4_c0_g1_i5"	50.4059	26.7876
"TRINITY_DN4_c0_g1_i8"	80.7805	6.72076
"TRINITY_DN77_c0_g1_i1"	189.197	35.7333
"TRINITY_DN11_c1_g1_i6"	12.0746	37.322
"TRINITY_DN11_c3_g1_i15"	259.782	5.19763
"TRINITY_DN11_c0_g1_i5"	25.7567	36.6088
"TRINITY_DN12_c0_g1_i4"	32.8263	0
"TRINITY_DN97_c0_g1_i12"	143.832	16.3491
"TRINITY_DN5_c5_g1_i3"	11.4132	22.1918
"TRINITY_DN2_c2_g1_i17"	19.922	94.2627
"TRINITY_DN2_c3_g1_i12"	35.1926	43.9743
"TRINITY_DN2_c3_g1_i13"	31.5877	25.3372
"TRINITY_DN2_c3_g1_i8"	104.279	111.752
"TRINITY_DN63_c0_g1_i1"	127.483	62.1267
"TRINITY_DN80_c0_g1_i1"	14.1181	40.9776
"TRINITY_DN80_c0_g2_i1"	22.1915	29.0191
"TRINITY_DN87_c0_g1_i1"	65.2959	51.5106
"TRINITY_DN87_c0_g1_i2"	65.2959	51.5106
"TRINITY_DN90_c0_g2_i1"	91.4899	212.324
"TRINITY_DN90_c0_g3_i1"	69.0392	97.4473
"TRINITY_DN91_c2_g1_i1"	58.2808	76.9605
"TRINITY_DN50_c0_g1_i1"	49.5389	8.48782
"TRINITY_DN95_c0_g2_i1"	123.921	17.6829
"TRINITY_DN78_c0_g1_i1"	16.0089	55.0743
"TRINITY_DN1_c2_g1_i35"	45.1087	34.2805
"TRINITY_DN1_c84_g1_i1"	13.1511	69.2738
"TRINITY_DN1_c48_g1_i1"	108.703	19.6781
"TRINITY_DN1_c499_g1_i1"	14.2674	21.3101
"TRINITY_DN3801_c0_g2_i1"	166.281	95.4722
"TRINITY_DN3835_c0_g1_i1"	103.935	132.842
"TRINITY_DN3853_c0_g1_i3"	28.6727	26.1364
"TRINITY_DN3815_c0_g2_i3"	19.1732	26.733
"TRINITY_DN3829_c0_g1_i1"	45.5648	51.7532
"TRINITY_DN3831_c0_g1_i1"	1276.52	22.8493
"TRINITY_DN3859_c0_g1_i2"	33.4874	0.193157
"TRINITY_DN11613_c1_g2_i1"	52.2757	8.82689
"TRINITY_DN11682_c0_g1_i1"	24.0942	52.878
"TRINITY_DN11661_c1_g1_i1"	37.097	1.7946
"TRINITY_DN11692_c0_g1_i4"	39.2466	6.78732
"TRINITY_DN11615_c2_g1_i9"	61.3956	12.1896
"TRINITY_DN2983_c0_g1_i2"	49.9975	73.1208
"TRINITY_DN2930_c0_g1_i1"	12.2197	100.725
"TRINITY_DN2924_c2_g1_i1"	14.4868	81.514
"TRINITY_DN2980_c0_g1_i2"	98.2805	26.3062
"TRINITY_DN2940_c0_g1_i1"	15.4758	44.4757
"TRINITY_DN2964_c0_g1_i1"	281.871	39.8869
"TRINITY_DN2964_c0_g1_i5"	87.9688	25.7437
"TRINITY_DN2986_c0_g1_i2"	59.2371	49.9612
"TRINITY_DN2904_c0_g1_i17"	143.403	31.7734
"TRINITY_DN2904_c0_g1_i3"	143.403	31.7734
"TRINITY_DN2904_c0_g1_i8"	106.976	30.9037
"TRINITY_DN2970_c0_g1_i2"	82.3157	18.8603
"TRINITY_DN2970_c0_g1_i5"	78.175	41.6723
"TRINITY_DN2974_c0_g1_i2"	159.722	22.8954
"TRINITY_DN2974_c0_g1_i4"	58.6616	7.16985
"TRINITY_DN2900_c0_g1_i5"	38.6272	0
"TRINITY_DN2942_c0_g1_i1"	267.11	79.3841
"TRINITY_DN2916_c1_g1_i1"	29.7782	40.0428
"TRINITY_DN18923_c0_g1_i3"	45.9225	65.0286
"TRINITY_DN18971_c0_g1_i1"	83.0016	0.00239385
"TRINITY_DN9680_c0_g1_i11"	36.7269	45.4474
"TRINITY_DN9637_c1_g1_i4"	64.176	0
"TRINITY_DN9650_c0_g1_i2"	41.0686	1.4955
"TRINITY_DN9697_c0_g2_i1"	15.2613	24.0016
"TRINITY_DN9657_c2_g1_i1"	77.8504	184.763
"TRINITY_DN9610_c0_g1_i1"	17.6744	31.2789
"TRINITY_DN10819_c0_g1_i1"	45.5783	8.88169
"TRINITY_DN10839_c0_g1_i5"	13.5469	36.0727
"TRINITY_DN10890_c1_g2_i3"	244.457	90.597
"TRINITY_DN10816_c0_g1_i5"	69.8606	33.5787
"TRINITY_DN10870_c0_g1_i4"	41.7879	85.6303
