"127"	"280"
"TRINITY_DN5656_c0_g1_i3"	208.264	1006.11
"TRINITY_DN5617_c0_g1_i1"	16.6212	54.7381
"TRINITY_DN28830_c0_g1_i1"	679.082	81.9833
"TRINITY_DN12423_c0_g2_i1"	36.3306	60.3626
"TRINITY_DN12415_c0_g1_i13"	7.71366	32.8903
"TRINITY_DN4706_c1_g1_i3"	78.0059	74.832
"TRINITY_DN4743_c0_g1_i14"	6.95927	182.655
"TRINITY_DN4714_c0_g1_i17"	11.141	103.038
"TRINITY_DN4754_c0_g1_i2"	13.5282	61.5881
"TRINITY_DN4704_c0_g1_i10"	717.869	88.1901
"TRINITY_DN4704_c2_g2_i1"	5.27511	205.884
"TRINITY_DN4702_c0_g1_i6"	13.7827	38.0347
"TRINITY_DN4740_c0_g2_i8"	118.774	218.69
"TRINITY_DN28946_c0_g1_i1"	195.47	133.729
"TRINITY_DN19730_c2_g1_i1"	36.2192	108.972
"TRINITY_DN19786_c0_g2_i1"	6.85035	156.827
"TRINITY_DN0_c0_g1_i4"	14.9717	177.826
"TRINITY_DN0_c2_g1_i1"	60.6866	1260.44
"TRINITY_DN0_c2_g1_i16"	8.07435	34.6453
"TRINITY_DN0_c2_g1_i24"	19.1736	57.7478
"TRINITY_DN0_c2_g1_i33"	12.5526	58.8323
"TRINITY_DN0_c2_g1_i4"	6.89427	342.421
"TRINITY_DN0_c2_g1_i9"	22.8301	126.672
"TRINITY_DN0_c138_g1_i1"	4.72744	179.266
"TRINITY_DN0_c2_g3_i1"	107.396	115.265
"TRINITY_DN0_c60_g3_i1"	14.4202	182.306
"TRINITY_DN0_c55_g1_i1"	72.5556	69.7821
"TRINITY_DN0_c55_g1_i3"	94.4888	118.767
"TRINITY_DN0_c55_g1_i4"	104.217	312.631
"TRINITY_DN0_c58_g1_i1"	11.1932	260.295
"TRINITY_DN0_c23_g1_i1"	10.6802	52.3818
"TRINITY_DN0_c19_g2_i1"	27.1268	58.6454
"TRINITY_DN0_c378_g1_i1"	4.47389	190.572
"TRINITY_DN0_c57_g1_i3"	12.2298	138.625
"TRINITY_DN25_c0_g1_i2"	32.2062	83.211
"TRINITY_DN4_c0_g1_i5"	31.094	35.0222
"TRINITY_DN11_c0_g1_i5"	50.523	888.936
"TRINITY_DN11_c16_g1_i2"	9.60232	210.146
"TRINITY_DN48_c1_g1_i1"	7.10586	30.1372
"TRINITY_DN5_c82_g1_i1"	8.77199	39.1899
"TRINITY_DN5_c5_g1_i3"	50.7515	70.7135
"TRINITY_DN2_c2_g1_i17"	59.0397	272.73
"TRINITY_DN2_c0_g3_i1"	7.23589	32.7794
"TRINITY_DN2_c3_g1_i4"	14.6305	25.507
"TRINITY_DN2_c0_g2_i1"	62.7519	802.734
"TRINITY_DN63_c0_g1_i1"	763.84	109.967
"TRINITY_DN22_c0_g1_i2"	13.4432	67.0034
"TRINITY_DN1_c263_g1_i1"	13.6482	165.219
"TRINITY_DN1_c559_g1_i1"	324.262	66.2197
"TRINITY_DN1_c0_g1_i15"	18.1325	55.6462
"TRINITY_DN1_c0_g1_i2"	10.5266	24.3917
"TRINITY_DN1_c0_g1_i20"	12.6356	62.1739
"TRINITY_DN1_c0_g1_i43"	8.10552	80.7378
"TRINITY_DN1_c3_g1_i6"	11.3914	27.1288
"TRINITY_DN54_c7_g1_i1"	441.345	123.016
"TRINITY_DN3839_c0_g1_i1"	40.1599	117.824
"TRINITY_DN3839_c0_g1_i2"	55.7614	120.303
"TRINITY_DN3841_c0_g1_i6"	5.94682	111.297
"TRINITY_DN11678_c0_g3_i1"	5.10927	142.484
"TRINITY_DN11692_c0_g1_i4"	27.8288	29.6123
"TRINITY_DN11692_c0_g1_i7"	16.3628	34.5846
"TRINITY_DN11642_c1_g1_i4"	34.8766	333.173
"TRINITY_DN2930_c0_g1_i1"	310.447	105.157
"TRINITY_DN2904_c0_g1_i10"	329.941	82.1199
"TRINITY_DN2904_c0_g1_i6"	600.558	73.1043
"TRINITY_DN2916_c1_g1_i1"	27.338	86.2518
"TRINITY_DN18926_c1_g1_i1"	325.069	83.8626
"TRINITY_DN18960_c0_g1_i2"	13.1487	39.1713
"TRINITY_DN18985_c0_g1_i1"	354.118	96.6236
"TRINITY_DN18944_c1_g1_i1"	21.0572	53.6054
"TRINITY_DN18937_c0_g1_i5"	10.622	39.3808
"TRINITY_DN9657_c0_g1_i1"	362.646	81.7268
"TRINITY_DN10889_c0_g1_i10"	562.731	105.447
"TRINITY_DN10802_c1_g3_i1"	21.8148	37.8078
"TRINITY_DN10802_c1_g1_i1"	10.6802	30.4303
"TRINITY_DN2029_c2_g1_i1"	4.63193	311.246
"TRINITY_DN2071_c0_g2_i2"	9.25993	324.297
"TRINITY_DN2027_c0_g1_i1"	5.76289	357.542
"TRINITY_DN2060_c0_g2_i1"	7.7169	284.081
"TRINITY_DN2004_c0_g2_i1"	355.216	69.3851
"TRINITY_DN2004_c2_g1_i4"	48.3018	100.852
"TRINITY_DN2004_c1_g1_i3"	10.0843	86.0338
"TRINITY_DN2089_c0_g1_i2"	363.959	127.609
"TRINITY_DN26210_c0_g1_i1"	26.4019	42.515
"TRINITY_DN17060_c0_g1_i1"	82.8871	94.2541
"TRINITY_DN17096_c0_g1_i1"	68.151	97.2777
"TRINITY_DN17087_c1_g2_i1"	8.41058	119.655
"TRINITY_DN468_c1_g1_i1"	23.3686	53.7238
"TRINITY_DN418_c0_g1_i6"	14.8111	44.9173
"TRINITY_DN461_c0_g2_i1"	6.96037	28.5445
"TRINITY_DN474_c0_g2_i1"	10.8549	186.298
"TRINITY_DN474_c0_g1_i13"	12.0304	36.0702
"TRINITY_DN495_c1_g1_i15"	23.1626	41.6944
"TRINITY_DN484_c0_g1_i4"	131.256	74.8734
"TRINITY_DN455_c41_g1_i1"	7.18445	56.8034
"TRINITY_DN7875_c1_g2_i1"	5.12023	285.569
"TRINITY_DN7894_c0_g1_i4"	10.512	23.4199
"TRINITY_DN1154_c0_g1_i5"	35.0815	30.7567
"TRINITY_DN1183_c0_g1_i1"	64.0606	92.5225
"TRINITY_DN1183_c0_g1_i6"	476.71	58.1252
"TRINITY_DN1195_c1_g1_i5"	7.98937	49.6724
"TRINITY_DN1153_c0_g1_i4"	239.149	87.1711
"TRINITY_DN1114_c0_g1_i21"	4.27226	269.57
"TRINITY_DN1142_c0_g1_i11"	8.05231	60.3476
"TRINITY_DN1196_c216_g1_i1"	7.33147	38.3419
"TRINITY_DN1196_c0_g1_i2"	6.46052	30.4262
"TRINITY_DN1196_c0_g1_i9"	14.7895	50.0342
"TRINITY_DN1175_c27_g1_i1"	8.68583	28.3337
"TRINITY_DN1150_c0_g1_i1"	32.7179	71.8973
"TRINITY_DN1150_c0_g1_i3"	32.7179	215.672
"TRINITY_DN17217_c1_g1_i2"	14.2497	54.7427
"TRINITY_DN6909_c0_g1_i1"	52.7155	785.377
"TRINITY_DN6959_c0_g2_i1"	8.01847	140.385
"TRINITY_DN6967_c3_g1_i1"	7.90719	80.6756
"TRINITY_DN6943_c0_g1_i2"	5.26633	205.469
"TRINITY_DN6985_c0_g1_i1"	25.6607	79.4266
"TRINITY_DN6960_c2_g1_i1"	255.14	60.471
"TRINITY_DN25398_c0_g1_i1"	267.138	72.0028
"TRINITY_DN16305_c0_g1_i1"	19.3637	28.2556
"TRINITY_DN16313_c0_g1_i1"	292.019	69.7747
"TRINITY_DN16386_c1_g3_i1"	51.4562	121.835
"TRINITY_DN16341_c0_g1_i1"	5.61573	309.381
"TRINITY_DN16341_c0_g2_i1"	6.80978	73.7485
"TRINITY_DN16377_c0_g1_i1"	11.664	60.2829
"TRINITY_DN24576_c0_g1_i1"	8.31443	217.567
"TRINITY_DN24601_c0_g1_i1"	398.48	67.9936
"TRINITY_DN15493_c0_g2_i2"	17.7033	38.4907
"TRINITY_DN15494_c0_g1_i3"	60.7976	84.2567
"TRINITY_DN6086_c0_g2_i1"	12.604	48.9349
"TRINITY_DN6076_c0_g1_i16"	319.18	102.134
"TRINITY_DN15538_c0_g1_i9"	6.48534	32.1911
"TRINITY_DN15526_c0_g1_i1"	288.445	203.909
"TRINITY_DN15580_c0_g1_i1"	4.66443	267.453
"TRINITY_DN15594_c2_g1_i1"	73.4589	117.13
"TRINITY_DN893_c1_g2_i1"	413.224	1866.17
"TRINITY_DN882_c2_g1_i9"	241.777	79.915
"TRINITY_DN872_c3_g1_i1"	67.6822	91.211
"TRINITY_DN892_c2_g1_i1"	326.769	54.9033
"TRINITY_DN894_c0_g1_i6"	8.86573	124.33
"TRINITY_DN5141_c0_g1_i6"	33.749	198.812
"TRINITY_DN5127_c0_g1_i10"	314.366	78.381
"TRINITY_DN5128_c4_g1_i1"	6.19094	75.0165
"TRINITY_DN5162_c0_g1_i2"	19.3839	162.987
"TRINITY_DN5168_c0_g1_i2"	351.455	76.559
"TRINITY_DN5150_c0_g1_i2"	2.78857	285.58
"TRINITY_DN5115_c1_g1_i2"	301.368	101.214
"TRINITY_DN5133_c1_g1_i3"	6.43816	65.2207
"TRINITY_DN5149_c2_g1_i1"	12.6404	225.942
"TRINITY_DN5189_c2_g1_i1"	6.97001	47.113
"TRINITY_DN4246_c1_g1_i1"	281.914	78.0749
"TRINITY_DN4299_c1_g1_i1"	20.65	33.6605
"TRINITY_DN4275_c0_g1_i1"	281.711	67.6862
"TRINITY_DN14671_c5_g1_i1"	381.197	85.5416
"TRINITY_DN39105_c0_g1_i1"	16.3626	135.911
"TRINITY_DN14717_c1_g1_i1"	3.53397	301.928
"TRINITY_DN14728_c1_g1_i1"	228.262	247.232
"TRINITY_DN31971_c0_g1_i1"	265.463	186.486
"TRINITY_DN23009_c0_g1_i1"	552.353	92.7437
"TRINITY_DN38225_c0_g1_i1"	6.66769	58.5108
"TRINITY_DN13892_c0_g1_i1"	7.14951	224.985
"TRINITY_DN13859_c0_g1_i1"	328.42	52.3643
"TRINITY_DN13819_c3_g3_i1"	7.79589	105.483
"TRINITY_DN13909_c0_g1_i3"	22.0958	52.6376
"TRINITY_DN9133_c0_g1_i2"	169.947	176.884
"TRINITY_DN9110_c0_g1_i7"	15.0241	40.8858
"TRINITY_DN21102_c1_g1_i1"	378.931	262.173
"TRINITY_DN21103_c3_g1_i1"	34.1096	38.8754
"TRINITY_DN21132_c0_g1_i3"	269.716	65.0295
"TRINITY_DN8214_c0_g1_i4"	8.38307	353.736
"TRINITY_DN8257_c0_g1_i2"	10.1472	254.129
"TRINITY_DN12103_c1_g1_i3"	13.1315	124.636
"TRINITY_DN12092_c0_g1_i3"	522.688	48.3213
"TRINITY_DN12087_c1_g1_i1"	7.50964	37.5004
"TRINITY_DN19375_c0_g1_i8"	28.9575	32.3304
"TRINITY_DN19396_c1_g1_i2"	88.0337	305.362
"TRINITY_DN20313_c0_g1_i1"	20.5675	197.92
"TRINITY_DN20297_c0_g1_i1"	451.482	114.141
"TRINITY_DN20297_c0_g1_i2"	517.183	77.2622
"TRINITY_DN36776_c0_g1_i1"	19.5284	89.1663
"TRINITY_DN27590_c0_g1_i1"	6.69908	49.2369
"TRINITY_DN11215_c0_g1_i1"	6.98081	30.8524
"TRINITY_DN11272_c1_g1_i4"	7.09334	211.275
"TRINITY_DN11272_c1_g1_i5"	5.1281	100.092
"TRINITY_DN18549_c0_g1_i2"	6.66395	30.8668
"TRINITY_DN18599_c0_g1_i2"	37.687	227.565
"TRINITY_DN5407_c0_g1_i11"	10.6914	34.0956
"TRINITY_DN5407_c0_g1_i5"	11.4885	23.5186
"TRINITY_DN5464_c1_g2_i1"	53.3902	164.579
"TRINITY_DN26764_c0_g1_i1"	553.062	66.1419
"TRINITY_DN10491_c0_g1_i1"	19.517	197.316
"TRINITY_DN10414_c0_g1_i4"	8.65321	156.838
"TRINITY_DN4532_c0_g1_i2"	10.0984	28.0477
"TRINITY_DN4554_c0_g2_i1"	42.704	300.633
"TRINITY_DN4552_c0_g1_i3"	9.81121	33.3913
"TRINITY_DN4508_c0_g1_i5"	26.938	177.608
"TRINITY_DN4542_c0_g1_i3"	12.2767	31.6761
"TRINITY_DN4542_c0_g1_i8"	11.1592	38.749
"TRINITY_DN4507_c1_g1_i1"	39.0963	31.2586
"TRINITY_DN4573_c0_g1_i2"	37.2362	82.3631
"TRINITY_DN4598_c0_g1_i3"	27.5704	40.073
"TRINITY_DN26899_c0_g1_i1"	509.747	134.909
"TRINITY_DN17808_c0_g1_i1"	4.7772	260.649
"TRINITY_DN17798_c0_g3_i1"	4.24348	306.107
"TRINITY_DN3614_c3_g1_i1"	20.4465	45.346
"TRINITY_DN3614_c4_g4_i2"	84.9353	831.046
"TRINITY_DN3653_c0_g1_i2"	292.515	93.391
"TRINITY_DN26029_c0_g1_i1"	150.844	182.908
"TRINITY_DN2769_c0_g1_i8"	11.2615	23.5807
"TRINITY_DN2716_c0_g1_i3"	271.557	58.6453
"TRINITY_DN2704_c1_g1_i10"	3.04301	259.506
"TRINITY_DN2704_c0_g1_i4"	129.738	77.9329
"TRINITY_DN16989_c0_g1_i1"	45.7959	179.256
"TRINITY_DN16934_c1_g1_i1"	31.2028	53.3509
"TRINITY_DN16961_c1_g1_i1"	218.761	233.669
"TRINITY_DN9454_c0_g1_i5"	22.1336	228.255
"TRINITY_DN9477_c0_g1_i1"	405.272	151.39
"TRINITY_DN9451_c1_g1_i5"	44.2478	1078.56
"TRINITY_DN9474_c0_g1_i1"	4.37342	240.195
"TRINITY_DN9460_c1_g1_i2"	139.577	99.3459
"TRINITY_DN9421_c1_g3_i3"	16.1323	41.2205
"TRINITY_DN8548_c0_g1_i1"	28.1893	190.563
"TRINITY_DN8548_c0_g1_i3"	5.91799	251.672
"TRINITY_DN8574_c0_g4_i1"	9.56082	60.5152
"TRINITY_DN8525_c0_g1_i4"	27.6141	42.3521
"TRINITY_DN8580_c0_g2_i9"	6.25544	68.6587
"TRINITY_DN7678_c0_g2_i1"	3.13655	265.945
"TRINITY_DN7678_c0_g2_i5"	11.1337	218.957
"TRINITY_DN7662_c1_g1_i1"	14.2116	81.7789
"TRINITY_DN15210_c0_g2_i3"	9.95758	201.12
"TRINITY_DN15171_c0_g1_i5"	15.785	222.108
"TRINITY_DN14228_c0_g1_i3"	4.31704	172.466
"TRINITY_DN14236_c0_g1_i1"	11.6391	22.2849
"TRINITY_DN14262_c1_g1_i1"	59.0694	223.963
"TRINITY_DN14263_c0_g2_i1"	11.077	38.5112
"TRINITY_DN258_c6_g1_i2"	14.3404	96.4554
"TRINITY_DN238_c3_g1_i1"	14.233	126.504
"TRINITY_DN238_c1_g1_i1"	44.5434	1436.49
"TRINITY_DN222_c0_g1_i2"	48.6709	710.829
"TRINITY_DN222_c0_g1_i8"	34.7603	74.5897
"TRINITY_DN203_c0_g1_i1"	258.509	91.9765
"TRINITY_DN276_c0_g1_i19"	683.233	1050.71
