"id178_TPM"	"id359_TPM"	"id463_TPM"
"TRINITY_DN21483_c0_g1_i2"	0.249044	0.275169	7.922
"TRINITY_DN5661_c0_g4_i3"	0	0.857968	17.5141
"TRINITY_DN5618_c0_g1_i1"	0.1196	0	4.9327
"TRINITY_DN5663_c0_g5_i1"	0	0	5.10465
"TRINITY_DN37949_c0_g1_i1"	0	0	8.55261
"TRINITY_DN12427_c0_g1_i1"	0.386725	0	13.9017
"TRINITY_DN12414_c0_g3_i1"	0	0	5.38183
"TRINITY_DN12405_c0_g2_i3"	0	0.935693	19.4762
"TRINITY_DN4706_c0_g1_i2"	0.579591	0.620225	10.4488
"TRINITY_DN4718_c0_g1_i1"	1.15938	4.18867	77.3732
"TRINITY_DN4744_c0_g1_i12"	0.210945	0.662516	10.6957
"TRINITY_DN4711_c1_g1_i2"	0	0.233767	5.80523
"TRINITY_DN4790_c0_g1_i1"	0.223181	0.0694171	24.8257
"TRINITY_DN4783_c0_g1_i24"	0	0	7.4584
"TRINITY_DN28957_c0_g1_i1"	0.206251	0	26.232
"TRINITY_DN0_c2_g1_i28"	2.66628	0	8.81852
"TRINITY_DN0_c2_g1_i37"	0.84842	0.741584	10.2319
"TRINITY_DN0_c2_g1_i4"	3.15773	4.34081	23.6389
"TRINITY_DN0_c5_g3_i2"	0	0	12.7708
"TRINITY_DN0_c1_g1_i34"	1.46004	0	5.22619
"TRINITY_DN0_c378_g1_i1"	3.90037	14.2836	847.294
"TRINITY_DN0_c57_g1_i2"	0	0	22.7221
"TRINITY_DN44_c6_g3_i1"	0	0.354018	7.68231
"TRINITY_DN4_c0_g1_i27"	0.378478	1.03433	16.5192
"TRINITY_DN11_c3_g1_i15"	11.8005	2.98542	14.1232
"TRINITY_DN70_c1_g1_i1"	0.543907	1.3323e-08	52.8892
"TRINITY_DN70_c1_g1_i18"	0.960983	2.39131	50.7445
"TRINITY_DN70_c1_g1_i25"	0	0	78.2911
"TRINITY_DN70_c1_g1_i30"	0	0.182206	19.6017
"TRINITY_DN70_c1_g1_i33"	0	0	9.96148
"TRINITY_DN70_c1_g1_i6"	0	0	19.1135
"TRINITY_DN70_c5_g1_i7"	0.292679	0.278791	9.26785
"TRINITY_DN2_c14_g3_i1"	0.395506	2.39569	52.4889
"TRINITY_DN2_c2_g1_i22"	0.00135732	0	52.2782
"TRINITY_DN63_c0_g1_i13"	15.2923	17.3819	49.9232
"TRINITY_DN63_c0_g1_i14"	0	0.309953	23.9512
"TRINITY_DN63_c0_g1_i15"	0.745517	0	35.0354
"TRINITY_DN63_c0_g1_i16"	1.67601	4.59993	121.773
"TRINITY_DN63_c0_g1_i18"	0.215779	1.62689	22.0956
"TRINITY_DN63_c0_g1_i6"	1.95103	2.57866	67.7879
"TRINITY_DN91_c25_g1_i4"	0	0	5.2429
"TRINITY_DN1_c2_g1_i16"	0	0	5.74466
"TRINITY_DN1_c2_g1_i23"	0	0.540377	9.46346
"TRINITY_DN1_c2_g1_i32"	0	0	5.19625
"TRINITY_DN1_c263_g1_i1"	11.0914	21.2585	391.136
"TRINITY_DN1_c166_g1_i1"	4.82926	8.49912	239.319
"TRINITY_DN1_c5_g4_i1"	0	0.493495	8.6319
"TRINITY_DN1_c120_g3_i1"	1.26748	0.702468	7.37564
"TRINITY_DN1_c0_g1_i29"	2.68645	3.03867	12.8131
"TRINITY_DN1_c0_g1_i3"	0	0	8.45569
"TRINITY_DN1_c1_g1_i11"	0	0.348186	12.6295
"TRINITY_DN1_c1_g1_i18"	0.561908	1.29381	42.1414
"TRINITY_DN1_c1_g1_i20"	0.411854	0	16.2617
"TRINITY_DN1_c104_g1_i3"	0	0.630852	15.2541
"TRINITY_DN1_c100_g1_i1"	1.87707	1.02132	4.47213
"TRINITY_DN3888_c0_g1_i5"	0	0	5.28563
"TRINITY_DN3839_c2_g1_i2"	0	0	6.51841
"TRINITY_DN3867_c0_g1_i1"	0	0	28.285
"TRINITY_DN3865_c0_g1_i1"	0	0	15.6646
"TRINITY_DN3868_c2_g1_i26"	0	0	14.6509
