"118"	"349"	"481"
"TRINITY_DN21505_c1_g1_i1"	116.168	0.634126	7.58016
"TRINITY_DN5677_c0_g1_i3"	1416.42	5.1061	17.6778
"TRINITY_DN5658_c1_g1_i2"	7671.93	1.61937	314.558
"TRINITY_DN5623_c0_g1_i1"	0.0931423	0	0
"TRINITY_DN5689_c0_g1_i1"	2.05411	1.06565	0.702667
"TRINITY_DN4706_c0_g4_i1"	677.527	123.657	132.498
"TRINITY_DN4701_c1_g2_i2"	0.726082	0	0
"TRINITY_DN4704_c4_g1_i3"	24.2905	17.1072	14.2145
"TRINITY_DN4704_c0_g1_i10"	2518.52	3.8922	288.99
"TRINITY_DN4704_c0_g1_i16"	2581.05	3.8922	288.99
"TRINITY_DN4704_c0_g1_i4"	116.11	0.114348	12.7358
"TRINITY_DN4767_c0_g1_i1"	4.04707	3.80658	1.22815
"TRINITY_DN28946_c0_g1_i1"	131.848	138.886	105.871
"TRINITY_DN0_c2_g1_i30"	5.21277	0	0
"TRINITY_DN0_c2_g1_i6"	11.2285	8.71469	3.85571
"TRINITY_DN0_c21_g1_i1"	38.9196	0.294857	2.3903
"TRINITY_DN4_c0_g1_i29"	18.314	0.782408	0
"TRINITY_DN4_c0_g1_i8"	24.2932	4.90711	2.96985
"TRINITY_DN7_c0_g1_i1"	0.0941219	0	0
"TRINITY_DN77_c0_g1_i1"	55.6125	0.752199	6.60781
"TRINITY_DN42_c0_g1_i1"	0.0405933	0	0
"TRINITY_DN12_c0_g1_i4"	7.52757	0	0
"TRINITY_DN97_c0_g1_i19"	5.40992	4.49472	3.02008
"TRINITY_DN63_c0_g1_i1"	960.097	55.175	37.9388
"TRINITY_DN1_c499_g1_i1"	41.5079	21.2058	15.2708
"TRINITY_DN1_c3_g1_i3"	13.4839	12.7974	6.15194
"TRINITY_DN54_c0_g1_i1"	0.746876	0.0296815	0.0787468
"TRINITY_DN3801_c0_g2_i1"	32.9486	25.1062	20.3175
"TRINITY_DN3853_c0_g1_i3"	38.4695	32.7175	27.3611
"TRINITY_DN3856_c0_g1_i1"	2.00446	1.11138	1.02063
"TRINITY_DN3831_c0_g1_i1"	66.727	41.5852	10.4001
"TRINITY_DN3859_c0_g1_i2"	2.43351	1.52698	0.52027
"TRINITY_DN11613_c1_g2_i1"	11.7272	0.316398	0.60393
"TRINITY_DN11661_c1_g1_i1"	2.3533	0.890489	0.188596
"TRINITY_DN11690_c0_g1_i4"	0.23024	0	0
"TRINITY_DN11615_c2_g1_i9"	14.5226	4.7345	1.62712
"TRINITY_DN2946_c0_g3_i1"	13.454	0	0.114465
"TRINITY_DN2946_c0_g1_i1"	19.1547	0.420069	0.41823
"TRINITY_DN2980_c0_g1_i2"	0.179985	0	0
"TRINITY_DN2964_c0_g1_i1"	60.507	0.091847	6.40716
"TRINITY_DN2925_c0_g1_i1"	0.438633	0	0
"TRINITY_DN2904_c0_g1_i10"	538.628	0	54.1966
"TRINITY_DN2904_c0_g1_i12"	0.2623	0	0
"TRINITY_DN2904_c0_g1_i17"	159.669	0	3.06836
"TRINITY_DN2904_c0_g1_i18"	6.64879	0	3.32041e-09
"TRINITY_DN2904_c0_g1_i19"	252.888	0	20.7113
"TRINITY_DN2904_c0_g1_i3"	159.669	0	3.06836
"TRINITY_DN2904_c0_g1_i6"	984.728	2.44372	49.8108
"TRINITY_DN2904_c0_g1_i9"	95.8682	0	9.20136
"TRINITY_DN2970_c0_g1_i5"	53.5272	31.991	21.1436
"TRINITY_DN2974_c0_g1_i2"	46.1063	13.0053	8.30643
"TRINITY_DN2974_c0_g1_i4"	13.2471	2.43106	2.61312
"TRINITY_DN2974_c0_g1_i5"	4.0658	1.21243	1.12814
"TRINITY_DN2994_c0_g1_i4"	53.4871	0	3.16384
"TRINITY_DN2993_c0_g1_i5"	2.82188	0.642071	0.353408
"TRINITY_DN18971_c0_g1_i1"	45.1574	5.34677	6.57028
"TRINITY_DN9680_c0_g1_i11"	29.975	27.9168	26.1096
"TRINITY_DN9656_c0_g1_i1"	0.203869	0	0
"TRINITY_DN9650_c0_g1_i2"	6.53693	2.29347	0.934192
"TRINITY_DN10819_c0_g1_i1"	18.8427	0.170157	2.30756
"TRINITY_DN10881_c0_g1_i1"	0.0782715	0	0
"TRINITY_DN8705_c0_g1_i1"	12426.1	60.1185	1085.71
"TRINITY_DN8701_c0_g1_i4"	15.9944	4.11343	2.60156
"TRINITY_DN8792_c0_g1_i9"	10.8028	0.157283	0.967663
"TRINITY_DN8775_c0_g1_i2"	1420.4	1.39078	118.209
"TRINITY_DN2091_c3_g1_i1"	85.4969	27.718	12.8947
"TRINITY_DN2014_c3_g1_i3"	0.912452	0	0
