"118"	"349"	"481"
"TRINITY_DN21504_c1_g1_i1"	5.86564	8.12374	8.35656
"TRINITY_DN5656_c0_g1_i3"	122.238	604.045	793.602
"TRINITY_DN5661_c0_g1_i4"	0	35.7327	25.0236
"TRINITY_DN5661_c0_g4_i3"	0	64.2322	62.3957
"TRINITY_DN5660_c1_g1_i2"	2.45603	12.3075	9.83151
"TRINITY_DN5671_c0_g1_i12"	1.03769	40.5969	39.1389
"TRINITY_DN12423_c0_g2_i1"	6.21688	55.5621	57.0622
"TRINITY_DN4703_c0_g1_i1"	0.0780121	79.6892	57.5235
"TRINITY_DN4743_c0_g1_i14"	4.52772	143.734	126.086
"TRINITY_DN4714_c2_g1_i1"	11.0015	30.2277	21.5616
"TRINITY_DN4714_c0_g1_i2"	7.37382	54.5458	58.3712
"TRINITY_DN4714_c0_g1_i4"	0	67.6851	33.9731
"TRINITY_DN4730_c0_g2_i1"	0	23.3018	21.0215
"TRINITY_DN4754_c0_g1_i2"	3.8767	38.2565	42.7144
"TRINITY_DN4711_c4_g1_i2"	1.26734	11.3407	15.8993
"TRINITY_DN4712_c0_g1_i1"	3.1233	41.264	33.3705
"TRINITY_DN4712_c0_g1_i2"	6.78663	25.6687	22.0907
"TRINITY_DN4712_c4_g1_i1"	0.553292	56.8021	42.4821
"TRINITY_DN4740_c0_g1_i1"	3.98945	8.41482	6.97051
"TRINITY_DN4783_c0_g1_i13"	0.177568	52.1846	32.0795
"TRINITY_DN19730_c2_g1_i1"	6.23255	104.118	89.0352
"TRINITY_DN19747_c0_g1_i7"	0.257314	31.3426	26.7032
"TRINITY_DN0_c2_g1_i2"	3.10974	30.316	20.5233
"TRINITY_DN0_c2_g1_i24"	3.4633	81.5416	43.7768
"TRINITY_DN0_c2_g1_i31"	1.11148	22.2948	12.5731
"TRINITY_DN0_c2_g1_i37"	0	10.45	13.8085
"TRINITY_DN0_c2_g1_i4"	3.94261	197.528	288.428
"TRINITY_DN0_c2_g1_i9"	7.84222	137.52	103.292
"TRINITY_DN0_c51_g1_i1"	0.701029	32.9745	45.4838
"TRINITY_DN0_c138_g1_i1"	1.34715	105.502	154.294
"TRINITY_DN0_c2_g3_i1"	19.9032	126.257	88.6223
"TRINITY_DN0_c60_g3_i1"	4.6207	341.078	172.558
