"073"	"221"	"427"
"TRINITY_DN4701_c1_g2_i2"	0.605062	0	0
"TRINITY_DN0_c21_g1_i1"	0.108762	0	0
"TRINITY_DN7_c0_g1_i1"	0.0441073	0	0
"TRINITY_DN17_c0_g2_i1"	0.0671589	0.0551788	0
"TRINITY_DN42_c0_g1_i1"	0.0191554	0	0
"TRINITY_DN12_c0_g1_i2"	0.107403	0	0
"TRINITY_DN53_c0_g1_i1"	0.049953	0	0
"TRINITY_DN18_c0_g1_i1"	0.0306505	0	0
"TRINITY_DN90_c0_g3_i2"	0.700043	0	0
"TRINITY_DN1_c1_g2_i1"	23.0911	0.000198906	0
"TRINITY_DN1_c559_g1_i1"	196.592	185.747	138.717
"TRINITY_DN75_c5_g1_i1"	0.109899	0	0
"TRINITY_DN3828_c0_g1_i1"	0.0470058	0	0
"TRINITY_DN28016_c0_g1_i1"	0.0879686	0	0
"TRINITY_DN11627_c0_g1_i3"	4.02567	2.74547	0
"TRINITY_DN11682_c0_g1_i1"	0.180239	0	0
"TRINITY_DN11690_c0_g1_i4"	0.115849	0	0
"TRINITY_DN2925_c0_g1_i1"	0.354637	0	0
"TRINITY_DN2904_c0_g1_i18"	0.519635	0	0
"TRINITY_DN9659_c1_g1_i1"	0.191728	0	0
"TRINITY_DN10810_c0_g1_i1"	0.0326994	0	0
"TRINITY_DN10870_c0_g1_i1"	0.389792	3.23184e-08	0
"TRINITY_DN2004_c3_g3_i1"	8.8535	0.671526	0
"TRINITY_DN2004_c1_g1_i2"	8.80678	0.987871	0.00452672
"TRINITY_DN2028_c0_g1_i1"	0.0730997	0	0
"TRINITY_DN2088_c1_g1_i10"	40.6405	0.634371	0
"TRINITY_DN495_c55_g1_i2"	2713.07	2037.49	298.408
"TRINITY_DN7802_c0_g1_i1"	0.086491	0	0
"TRINITY_DN7868_c0_g1_i21"	0.0217564	0	0
"TRINITY_DN1145_c0_g1_i3"	0.0249003	0	0
"TRINITY_DN1152_c0_g1_i1"	0.437952	0	0
"TRINITY_DN1196_c0_g1_i29"	6.82492	0.375251	0.238906
"TRINITY_DN1149_c0_g1_i1"	0.0311476	0	0
"TRINITY_DN1150_c0_g1_i1"	28.7145	0	0.2025
"TRINITY_DN1150_c0_g1_i6"	28.7145	0	0.000296995
"TRINITY_DN33592_c0_g1_i1"	0.0550964	0	0
"TRINITY_DN15494_c0_g1_i7"	0.220952	0	0
"TRINITY_DN15530_c0_g1_i2"	1123.57	924.906	53.6221
"TRINITY_DN899_c1_g2_i1"	0.727738	0.437675	0.155053
"TRINITY_DN842_c0_g1_i1"	3.87155	1.01811	0
"TRINITY_DN877_c0_g1_i55"	0.205519	0.000415546	0
"TRINITY_DN852_c0_g1_i1"	0.0208039	0	0
"TRINITY_DN866_c0_g2_i4"	0.0434989	0.0189917	0
"TRINITY_DN5121_c0_g1_i1"	0.367614	0	0
"TRINITY_DN5148_c0_g1_i16"	13.5559	0.149875	1.43237e-07
"TRINITY_DN13976_c0_g1_i3"	0.0794995	0	0
"TRINITY_DN9133_c0_g1_i2"	62.9621	34.8908	10.9378
"TRINITY_DN9162_c2_g1_i1"	0.0253843	0	0
"TRINITY_DN37400_c0_g1_i1"	2.40278	0	0
"TRINITY_DN8234_c0_g1_i1"	0.535568	0	0
"TRINITY_DN12035_c0_g1_i1"	2.60747	0	0
"TRINITY_DN27691_c0_g1_i1"	0.135858	0	0
"TRINITY_DN27668_c0_g1_i1"	0.103346	0	0
"TRINITY_DN5447_c0_g1_i2"	0.0373317	0	0
"TRINITY_DN5447_c0_g2_i1"	0.0180468	0	0
"TRINITY_DN5447_c0_g2_i6"	0.0180468	0	0
"TRINITY_DN5459_c0_g1_i4"	6.96045	0	8.91913e-06
"TRINITY_DN35973_c0_g1_i1"	0.262544	0	0
"TRINITY_DN35958_c0_g1_i1"	0.198155	0	0
"TRINITY_DN26819_c0_g1_i1"	0.0639445	0	0
"TRINITY_DN10500_c0_g1_i1"	0.0399832	0	0
"TRINITY_DN4570_c0_g1_i1"	0.0967294	0	0
"TRINITY_DN4507_c0_g3_i1"	11.3	2.17648e-06	0.00500422
"TRINITY_DN3695_c1_g1_i2"	2.16645	0	0
"TRINITY_DN3654_c0_g1_i1"	0.0877304	0	0
"TRINITY_DN3619_c0_g1_i1"	0.115748	0	0
"TRINITY_DN3631_c0_g1_i1"	0.567025	0	0
"TRINITY_DN3601_c0_g1_i4"	5.39552e-05	0	0
"TRINITY_DN3688_c0_g1_i1"	0.045777	0	0
"TRINITY_DN2711_c0_g1_i1"	0.921117	0	0
"TRINITY_DN2718_c0_g1_i15"	0.0118256	0	0
"TRINITY_DN2795_c0_g1_i1"	0.0641959	0	0
"TRINITY_DN8564_c0_g1_i1"	0.0386577	0	0
"TRINITY_DN24201_c1_g1_i1"	0.118113	0	0
"TRINITY_DN6789_c0_g1_i2"	1.84072	0	0
"TRINITY_DN6786_c0_g1_i1"	0.0109621	0	0
"TRINITY_DN6785_c0_g1_i1"	0.0412981	0	0
"TRINITY_DN6774_c0_g1_i4"	1.05793	0.521358	0.329736
"TRINITY_DN266_c0_g1_i1"	0.0527807	0	0
"TRINITY_DN261_c0_g1_i1"	0.0128621	0	0
"TRINITY_DN298_c0_g1_i1"	0.0960025	0	0
"TRINITY_DN226_c0_g1_i19"	23.1723	0	0
"TRINITY_DN237_c0_g3_i3"	0.297233	0	0
"TRINITY_DN283_c0_g1_i1"	0.0117006	0	0
"TRINITY_DN247_c0_g2_i1"	0.293294	0.0416637	0
"TRINITY_DN40712_c0_g1_i1"	0.239666	0	0
"TRINITY_DN14355_c0_g1_i1"	0.0665445	0	0
"TRINITY_DN30795_c0_g1_i1"	0.0802814	0	0
"TRINITY_DN30864_c0_g1_i1"	0.139934	0	0
"TRINITY_DN3978_c0_g1_i1"	0.0455627	0	0
"TRINITY_DN3950_c0_g1_i4"	0.130755	0	0
"TRINITY_DN3932_c0_g1_i1"	0.0273798	0	0
"TRINITY_DN4089_c0_g1_i1"	0.322949	0	0
"TRINITY_DN4049_c0_g1_i1"	0.055283	0	0
"TRINITY_DN4090_c0_g1_i1"	0.0290354	0	0
"TRINITY_DN12711_c0_g1_i14"	0.115066	0	0
"TRINITY_DN12711_c0_g1_i7"	0.40484	0	0
"TRINITY_DN602_c0_g1_i1"	0.0394995	0	0
"TRINITY_DN3100_c0_g1_i1"	0.0751178	0	0
"TRINITY_DN7915_c0_g1_i1"	0.0990776	0	0
"TRINITY_DN18180_c0_g1_i1"	0.525997	0.0370994	0
"TRINITY_DN8084_c0_g1_i3"	0.18096	0	0
"TRINITY_DN17366_c0_g1_i3"	3.5619e-06	0	0
"TRINITY_DN17391_c0_g1_i1"	1.94832	0	0
"TRINITY_DN5238_c0_g1_i2"	0.0105104	0	0
"TRINITY_DN33934_c0_g1_i1"	0.0898974	0	0
"TRINITY_DN15729_c0_g3_i1"	2.80636	0	0
"TRINITY_DN3438_c0_g1_i11"	55.1788	29.3942	7.62529
"TRINITY_DN3468_c2_g1_i1"	1.80285	0	0
"TRINITY_DN3409_c0_g1_i1"	0.0794995	0	0
"TRINITY_DN3443_c0_g5_i1"	0.0896246	0	0
"TRINITY_DN2578_c0_g2_i3"	15.8005	0	0.0992462
"TRINITY_DN2574_c0_g1_i1"	0.0275182	0	0
"TRINITY_DN2557_c0_g1_i1"	0.233942	0	0
"TRINITY_DN14939_c0_g1_i14"	0.0402403	0	0
"TRINITY_DN8330_c0_g2_i1"	0.0370502	0	0
"TRINITY_DN13019_c0_g1_i1"	0.327896	0	0
"TRINITY_DN7403_c0_g1_i1"	1.8599	0	0
"TRINITY_DN30457_c0_g1_i1"	0.562144	0	0
"TRINITY_DN6589_c1_g1_i4"	2.85907	0	0
"TRINITY_DN11519_c0_g1_i1"	0.0984799	0	0
"TRINITY_DN10649_c0_g1_i1"	0.0225098	0	0
"TRINITY_DN10619_c0_g1_i1"	0.0400814	0	0
"TRINITY_DN2851_c0_g2_i3"	2.07796	0	0
"TRINITY_DN2820_c0_g1_i1"	0.0135115	0	0
"TRINITY_DN2803_c0_g1_i2"	0.036661	0	0
"TRINITY_DN1915_c0_g1_i6"	0.0375295	0	0
"TRINITY_DN1951_c0_g2_i5"	0.0288944	0	0
"TRINITY_DN5955_c0_g1_i1"	0.0354663	0	0
"TRINITY_DN40979_c0_g1_i1"	0.210609	0	0
"TRINITY_DN4110_c0_g1_i2"	0.356834	0	0
"TRINITY_DN4128_c0_g1_i1"	0.0369097	0	0
"TRINITY_DN3245_c0_g1_i3"	4.44631	3.58014	0.400891
"TRINITY_DN3213_c0_g1_i1"	0.109488	0	0
"TRINITY_DN21976_c0_g1_i2"	6.92133	2.27988	0
"TRINITY_DN1403_c0_g2_i1"	0.0747738	0	0
"TRINITY_DN9024_c0_g1_i3"	15.8359	0	0.0847968
"TRINITY_DN19235_c0_g1_i1"	0.127063	0	0
"TRINITY_DN36531_c0_g1_i1"	0.168781	0	0
"TRINITY_DN8144_c0_g1_i1"	0.228485	0	0
"TRINITY_DN11034_c0_g1_i2"	2.73273	1.58145	0
"TRINITY_DN11073_c0_g1_i1"	0.0284287	0	0
"TRINITY_DN27507_c0_g1_i1"	0.117645	0	0
"TRINITY_DN7248_c0_g1_i6"	0.816353	0	0
"TRINITY_DN10222_c0_g1_i7"	2.07762	0.274445	0.0574628
"TRINITY_DN10326_c1_g1_i1"	0.709353	0	0
"TRINITY_DN10353_c0_g1_i2"	0.226373	0	0
"TRINITY_DN17711_c0_g1_i5"	0.0676464	0	0
"TRINITY_DN17711_c0_g1_i6"	0.0493276	0	0
"TRINITY_DN3561_c0_g1_i1"	0.0482563	0	0
"TRINITY_DN3543_c0_g1_i1"	0.0134558	0	0
"TRINITY_DN3572_c0_g1_i13"	0.042116	0	0
"TRINITY_DN3593_c0_g1_i17"	0.000326868	0	0
"TRINITY_DN2671_c0_g1_i2"	0.0772426	0	0
"TRINITY_DN2626_c0_g1_i1"	0.0624762	0	0
"TRINITY_DN2685_c0_g1_i1"	0.15522	0	0
"TRINITY_DN2624_c0_g1_i1"	0.167913	0	0
"TRINITY_DN33110_c0_g1_i1"	0.114775	0	0
"TRINITY_DN1726_c0_g2_i2"	0.354898	0	0
"TRINITY_DN39625_c0_g1_i1"	0.452745	0	0
"TRINITY_DN6611_c1_g1_i2"	6.94431	2.31055	1.65744
"TRINITY_DN22388_c0_g1_i1"	0.113974	0	0
"TRINITY_DN5711_c0_g1_i1"	0.17689	0	0
"TRINITY_DN29733_c0_g1_i1"	0.0996635	0	0
"TRINITY_DN29724_c0_g1_i1"	0.0455627	0	0
"TRINITY_DN172_c0_g1_i26"	0.0690645	0	0
"TRINITY_DN168_c0_g1_i1"	0.0315615	0	0
"TRINITY_DN138_c1_g1_i5"	0.103506	0	0
"TRINITY_DN119_c0_g1_i3"	0.063695	0	0
"TRINITY_DN114_c0_g1_i1"	0.033161	0	0
"TRINITY_DN176_c0_g1_i19"	0.482655	0	0
"TRINITY_DN30719_c0_g1_i2"	0.0427024	0	0
"TRINITY_DN4852_c0_g1_i1"	0.285104	0	0
"TRINITY_DN38062_c0_g1_i1"	0.0791143	0	0
"TRINITY_DN19959_c0_g1_i1"	0.203273	0	0
"TRINITY_DN19984_c0_g1_i1"	0.0740312	0	0
"TRINITY_DN36094_c0_g1_i1"	0.994313	0.192541	0
"TRINITY_DN3064_c0_g1_i1"	0.0376763	0	0
"TRINITY_DN3022_c0_g1_i1"	0.0624762	0	0
"TRINITY_DN598_c0_g1_i1"	0.0483993	0	0
"TRINITY_DN507_c0_g3_i2"	1.13171	0.837076	0.695221
"TRINITY_DN548_c0_g1_i5"	77.6627	44.9966	17.6054
