"id072_TPM"	"id294_TPM"
"TRINITY_DN21517_c0_g2_i1"	24.6925	27.3645
"TRINITY_DN21517_c0_g1_i1"	16.3085	18.8826
"TRINITY_DN21494_c1_g1_i3"	9.86988	8.0886
"TRINITY_DN5656_c0_g1_i3"	160.757	86.5182
"TRINITY_DN5633_c0_g1_i1"	24.8055	17.9273
"TRINITY_DN5633_c0_g1_i2"	19.2275	4.86804
"TRINITY_DN5608_c0_g1_i1"	39.643	35.9292
"TRINITY_DN5695_c0_g1_i2"	13.891	14.95
"TRINITY_DN5695_c1_g1_i1"	14.615	11.2579
"TRINITY_DN5632_c0_g1_i14"	13.9004	9.69573
"TRINITY_DN5635_c0_g1_i1"	59.3403	71.0114
"TRINITY_DN28802_c0_g1_i1"	12.6083	8.84079
"TRINITY_DN12499_c0_g1_i1"	21.9717	20.1005
"TRINITY_DN12416_c0_g1_i1"	13.0127	16.7999
"TRINITY_DN4725_c0_g1_i1"	32.5017	2.98392
"TRINITY_DN4725_c0_g1_i4"	49.57	10.2749
"TRINITY_DN4706_c0_g4_i1"	32.942	18.6516
"TRINITY_DN4714_c2_g1_i1"	60.333	18.9986
"TRINITY_DN4714_c0_g1_i4"	15.9303	10.2409
"TRINITY_DN4714_c0_g1_i5"	74.1064	85.9093
"TRINITY_DN4735_c0_g1_i1"	165.59	126.989
"TRINITY_DN4739_c0_g1_i1"	137.728	4.02954
"TRINITY_DN4757_c0_g1_i1"	23.6081	4.56499
"TRINITY_DN4704_c4_g1_i1"	20.4445	2.56216
"TRINITY_DN4704_c4_g1_i2"	10.4167	8.03574
"TRINITY_DN4704_c4_g1_i3"	123.725	20.9251
"TRINITY_DN4704_c0_g1_i4"	82.1109	69.97
"TRINITY_DN4704_c2_g1_i1"	34.3792	5.67305
"TRINITY_DN4704_c2_g1_i5"	49.8461	102.207
"TRINITY_DN4704_c2_g1_i6"	16.8811	7.47433
"TRINITY_DN4704_c2_g1_i7"	18.7402	7.03467
"TRINITY_DN4702_c0_g1_i6"	31.6012	8.37827
"TRINITY_DN4712_c0_g4_i1"	12.7122	5.68291
"TRINITY_DN4792_c0_g1_i1"	20.1308	10.9615
"TRINITY_DN4792_c0_g2_i1"	22.942	7.16244
"TRINITY_DN4740_c0_g2_i8"	195.418	58.7882
"TRINITY_DN4740_c0_g1_i1"	26.0141	1.05744
"TRINITY_DN4783_c0_g1_i21"	20.3396	8.27669
"TRINITY_DN4774_c0_g1_i1"	24.0786	10.5597
"TRINITY_DN4767_c0_g1_i1"	20.5893	2.40257
"TRINITY_DN28946_c0_g1_i1"	18.8781	10.5927
"TRINITY_DN0_c0_g1_i12"	62.636	0
"TRINITY_DN0_c0_g1_i34"	36.7107	0.948165
"TRINITY_DN0_c0_g1_i39"	48.133	18.8529
"TRINITY_DN0_c2_g1_i16"	28.3929	12.1574
"TRINITY_DN0_c2_g1_i18"	12.8197	2.52676
"TRINITY_DN0_c2_g1_i30"	34.8609	4.06487
"TRINITY_DN0_c2_g1_i33"	32.7611	16.9868
"TRINITY_DN0_c2_g1_i35"	13.9112	7.85939
"TRINITY_DN0_c2_g1_i40"	32.0188	10.2177
"TRINITY_DN0_c2_g1_i43"	94.0809	11.5575
"TRINITY_DN0_c2_g1_i6"	39.693	12.5885
"TRINITY_DN0_c235_g1_i1"	25.9623	10.2888
"TRINITY_DN0_c2_g3_i1"	38.1365	24.9561
"TRINITY_DN0_c55_g1_i1"	244.821	28.4245
"TRINITY_DN0_c55_g1_i3"	169.812	66.0378
"TRINITY_DN0_c1_g1_i16"	16.4948	2.8591
"TRINITY_DN0_c1_g1_i18"	17.3616	5.33918
"TRINITY_DN0_c1_g1_i31"	23.9625	24.6969
"TRINITY_DN0_c58_g1_i1"	35.9631	18.4909
"TRINITY_DN0_c19_g2_i1"	27.2218	86.0766
"TRINITY_DN0_c21_g1_i1"	28.6343	8.48843
"TRINITY_DN47_c0_g1_i1"	27.536	2.39917
"TRINITY_DN44_c0_g1_i1"	35.674	0.768399
"TRINITY_DN44_c0_g1_i5"	20.7444	2.00614
"TRINITY_DN4_c0_g1_i1"	14.0227	5.42466
"TRINITY_DN4_c0_g1_i15"	33.9517	16.308
"TRINITY_DN4_c0_g1_i29"	43.5506	1.40208
"TRINITY_DN4_c0_g1_i3"	49.1786	32.4039
"TRINITY_DN4_c0_g1_i5"	50.4059	26.7876
"TRINITY_DN4_c0_g1_i7"	12.2922	8.8079
"TRINITY_DN4_c0_g1_i8"	80.7805	6.72076
"TRINITY_DN77_c0_g1_i1"	189.197	35.7333
"TRINITY_DN11_c3_g1_i15"	259.782	5.19763
"TRINITY_DN11_c3_g1_i18"	28.4807	6.49961
"TRINITY_DN48_c1_g1_i1"	9.50536	6.58021
"TRINITY_DN20_c0_g1_i1"	16.763	5.77845
"TRINITY_DN12_c0_g1_i4"	32.8263	0
"TRINITY_DN70_c2_g1_i3"	25.0072	11.7284
"TRINITY_DN97_c0_g1_i12"	143.832	16.3491
"TRINITY_DN97_c0_g1_i15"	21.5942	7.4826
"TRINITY_DN97_c0_g1_i19"	33.0301	15.7182
"TRINITY_DN97_c0_g1_i3"	27.5169	10.363
"TRINITY_DN5_c6_g1_i18"	14.0276	7.22887
"TRINITY_DN2_c16_g1_i1"	12.9347	5.53889
"TRINITY_DN2_c0_g3_i1"	11.227	7.65219
"TRINITY_DN2_c3_g1_i12"	35.1926	43.9743
"TRINITY_DN2_c3_g1_i13"	31.5877	25.3372
"TRINITY_DN2_c3_g1_i4"	24.676	16.5217
"TRINITY_DN2_c3_g1_i8"	104.279	111.752
"TRINITY_DN63_c0_g1_i1"	127.483	62.1267
"TRINITY_DN63_c0_g1_i13"	17.1399	11.1906
"TRINITY_DN87_c0_g1_i1"	65.2959	51.5106
"TRINITY_DN87_c0_g1_i2"	65.2959	51.5106
"TRINITY_DN90_c0_g2_i1"	91.4899	212.324
"TRINITY_DN90_c0_g3_i1"	69.0392	97.4473
"TRINITY_DN91_c2_g1_i1"	58.2808	76.9605
"TRINITY_DN50_c0_g1_i1"	49.5389	8.48782
