"127"	"280"
"TRINITY_DN5677_c0_g1_i3"	1449.07	309.193
"TRINITY_DN4706_c0_g4_i1"	811.91	264.448
"TRINITY_DN4704_c0_g1_i16"	717.869	148.604
"TRINITY_DN1_c2_g1_i35"	687.079	160.554
"TRINITY_DN20674_c0_g1_i1"	1445.69	164.141
"TRINITY_DN18923_c2_g1_i1"	1138.8	354.694
"TRINITY_DN18929_c0_g1_i2"	1634.91	394.775
"TRINITY_DN18931_c1_g1_i1"	1052.3	154.609
"TRINITY_DN2004_c8_g1_i1"	1059.98	251.084
"TRINITY_DN461_c0_g1_i46"	1100.97	417.959
"TRINITY_DN462_c2_g1_i1"	605.627	173.996
"TRINITY_DN479_c0_g3_i3"	1982.91	472.427
"TRINITY_DN1196_c0_g1_i46"	1649.6	191.85
"TRINITY_DN17138_c0_g3_i1"	1908.14	490.595
"TRINITY_DN16400_c0_g1_i3"	665.859	133.396
"TRINITY_DN15530_c0_g1_i2"	851.221	242.773
"TRINITY_DN13942_c0_g1_i1"	1784.26	446.912
"TRINITY_DN21109_c0_g1_i2"	7649.97	46.5773
"TRINITY_DN12092_c3_g1_i1"	1426.8	208.759
"TRINITY_DN19405_c0_g2_i1"	896.953	235.326
"TRINITY_DN11215_c0_g2_i3"	1880.82	121.519
"TRINITY_DN4588_c0_g1_i2"	1446.61	259.696
"TRINITY_DN3653_c5_g1_i1"	565.184	153.767
"TRINITY_DN15167_c0_g1_i1"	1123.59	461.781
"TRINITY_DN32422_c0_g1_i1"	3981.16	215.901
"TRINITY_DN23359_c5_g1_i4"	969.346	175.813
"TRINITY_DN23359_c14_g1_i1"	1027.12	160.993
"TRINITY_DN14367_c0_g3_i3"	1834.52	301.115
"TRINITY_DN14367_c0_g3_i4"	1943.8	356.525
"TRINITY_DN14396_c0_g1_i4"	1117.22	356.537
"TRINITY_DN39055_c0_g1_i1"	627.529	181.584
"TRINITY_DN604_c0_g1_i10"	1011.02	158.175
"TRINITY_DN604_c0_g1_i4"	2019.01	419.322
"TRINITY_DN691_c1_g1_i3"	2049.29	268.752
"TRINITY_DN691_c1_g1_i5"	1397.73	137.266
"TRINITY_DN3161_c1_g3_i1"	673.336	245.688
"TRINITY_DN35500_c0_g1_i1"	625.533	136.044
"TRINITY_DN26464_c20_g1_i1"	1737.72	440.211
"TRINITY_DN26508_c9_g1_i1"	818.812	269.471
"TRINITY_DN17326_c0_g1_i1"	655.895	144.999
"TRINITY_DN17326_c2_g1_i1"	709.039	167.859
"TRINITY_DN23997_c0_g1_i1"	1609.02	246.663
"TRINITY_DN38529_c8_g1_i1"	1934.24	306.725
"TRINITY_DN8315_c0_g1_i5"	1935.24	412.39
"TRINITY_DN7402_c3_g1_i3"	1255.55	272.204
"TRINITY_DN6529_c0_g1_i1"	702.772	150.54
"TRINITY_DN21368_c0_g1_i1"	1673.71	386.877
"TRINITY_DN21428_c1_g1_i1"	1840.73	543.18
"TRINITY_DN21428_c0_g1_i1"	1484.25	442.971
"TRINITY_DN2869_c0_g1_i6"	772.595	156.102
"TRINITY_DN10745_c0_g1_i2"	947.125	362.237
"TRINITY_DN32756_c5_g1_i1"	1762.57	438.653
"TRINITY_DN32702_c12_g1_i1"	1020.24	294.439
"TRINITY_DN32768_c2_g1_i1"	666.238	198.262
"TRINITY_DN9915_c3_g1_i1"	1303.03	177.905
"TRINITY_DN2325_c0_g1_i1"	817.916	218.614
"TRINITY_DN1460_c4_g1_i1"	878.462	190.837
"TRINITY_DN7297_c1_g2_i2"	869.491	295.089
"TRINITY_DN3593_c0_g1_i25"	1583.77	250.94
"TRINITY_DN16905_c2_g1_i10"	2261.33	312.671
"TRINITY_DN16905_c2_g1_i8"	1324.11	194.272
